"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0065003","protein-containing complex assembly",1608,218,143.32,13,0.00322,6.4e-11,"AAR2,ABT1,ACAD9,ADCY8,ADD2,ADRM1,AGO2,AIMP2,AJUBA,ALOX5AP,AP2M1,APOA1,ARC,ARPC5L,ASB2,ASF1B,ATL3,BAD,BAK1,BOP1,CAPZB,CARD9,CCL24,CCL26,CDC42EP1,CDC42EP4,CDT1,CELF4,CENPA,CENPW,CENPX,CFAP100,CHCHD10,CHCHD7,CHRAC1,COA4,COA8,COPS7A,COX17,COX7A2,COX7A2L,CPTP,CSF2,CSF3,CSNK2B,CXCL12,DAAM2,DAXX,DMAC1,DNAH17,ECSIT,EHD1,EHD4,EIF3I,EIF3K,EIF4G1,EIF6,ELN,ESR1,FADD,FAF1,FAM107A,FARSA,FBLIM1,FKBP4,FMC1,FN1,FSCN1,GAS7,GEMIN7,GNL3L,GPAA1,GRWD1,GSDMD,GSK3B,H1-10,H1-3,H1-4,H2AX,H2BC11,H2BC17,H2BC21,H2BC8,H3C12,H3C14,H3C15,H3C7,H3C8,H4C11,H4C14,H4C15,H4C2,H4C3,H4C4,H4C6,H4C8,H4C9,HAX1,HCK,HIGD2A,HJURP,HLA-DPB1,HLA-DRB3,HSD17B10,HSF1,IKBKE,INF2,ISY1,KCNA5,KCNF1,KCNG1,KCNQ3,KCTD1,KCTD10,KRT5,LCP1,LMO4,LSM2,LSM4,MAT2A,MCM2,MCTS1,MED27,MED8,MRPL20,MRTO4,MTLN,NDUFA1,NDUFA11,NDUFA3,NDUFA8,NDUFA9,NDUFAF4,NDUFB11,NDUFB2,NDUFB4,NDUFB7,NDUFB9,NDUFC2,NDUFS3,NDUFS5,NDUFS7,NDUFS8,NHERF2,NLRP3,NOP2,P2RX7,PDZD11,PEF1,PEX5,PFN1,PLEK,POLE3,PPIH,PREX1,PRMT5,PRPF19,PRPF6,PRUNE1,PSRC1,PUF60,RAB5IF,RAD51,RAMACL,REPS2,RPL10,RPL24,RPLP0P6,RPS14,RPS5,RPSA,RSPH9,RUVBL1,RUVBL2,RYR1,SART1,SF3B2,SF3B4,SF3B5,SHMT1,SHMT2,SLC1A5,SLC25A33,SNAP47,SNRPB,SNRPC,SNRPG,SOST,SPTBN2,SSBP3,SSNA1,STOML2,STXBP6,TACO1,TBCC,TEAD2,TEKT2,TK1,TMEM223,TMOD1,TMSB10,TPPP3,TRABD2A,TRAF2,TRAPPC5,TRPM1,TSSC4,UBE2C,UBE2S,UQCC2,UQCC3,UQCRFS1,USP39,VDAC2,VSTM5,YJU2,ZMYND10,ZNF777"
"GO:1901970","positive regulation of mitotic sister chromatid separation",18,6,1.6,158,0.0036,0.0036,"ANAPC11,BIRC5,CDC20,CDCA8,MAD2L1BP,UBE2C"
"GO:0001522","pseudouridine synthesis",18,6,1.6,159,0.0036,0.0036,"NHP2,NOP10,PUSL1,RPUSD1,RPUSD2,TRUB2"
"GO:0018158","protein oxidation",13,5,1.16,166,0.00391,0.00391,"APOA1,LOXL1,LOXL3,LOXL4,TRABD2A"
"GO:0032148","activation of protein kinase B activity",24,7,2.14,167,0.00393,0.00393,"ADRA2A,ADRA2B,ADRA2C,IGF1,MT3,NTF3,TXN"
"GO:0032200","telomere organization",186,28,16.58,169,0.00417,0.00417,"APEX1,DCLRE1B,FEN1,GNL3L,H3C12,H3C7,H3C8,H4C11,H4C14,H4C15,H4C2,H4C3,H4C4,H4C6,H4C8,H4C9,NABP2,NHP2,NOP10,PARP1,RAD51,RPA2,RUVBL1,RUVBL2,SHLD1,SMG5,TFPT,WRAP53"
"GO:0009206","purine ribonucleoside triphosphate biosynthetic process",102,32,9.09,14,0.00423,1.2e-10,"ATP5F1B,ATP5MC1,ATP5MC3,ATP5ME,ATP5MF,ATP5MJ,ATP5PO,ENO1,IMPDH1,LDHC,NDUFA1,NDUFA11,NDUFA3,NDUFA8,NDUFA9,NDUFB11,NDUFB2,NDUFB4,NDUFB7,NDUFB9,NDUFC2,NDUFS3,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NME1,NME2,PARP1,STOML2,UQCC3"
"GO:0045620","negative regulation of lymphocyte differentiation",58,12,5.17,174,0.00451,0.00451,"ASCL2,DTX1,FOXP3,GLI3,INHBA,IRF1,LOXL3,NRARP,PGLYRP2,RUNX3,SFRP1,ZBTB7B"
"GO:0034605","cellular response to heat",66,13,5.88,176,0.00496,0.00496,"ANO1,CLPB,DAXX,DNAJB1,DNAJB6,GSK3B,HIKESHI,HSF1,HSP90AB3P,HSPA6,HTRA2,IRAK1,MAPKAPK2"
"GO:0007212","dopamine receptor signaling pathway",38,9,3.39,178,0.00525,0.00525,"ARRB2,DRD1,DRD2,DTNBP1,FLNA,GNAO1,GSK3B,PRMT5,PTGER1"
