"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0032368","regulation of lipid transport",133,4,1.01,104,0.01886,0.01886,"ABCA8,ATP8A1,CRY2,LRAT"
"GO:0006720","isoprenoid metabolic process",133,4,1.01,105,0.01886,0.01886,"CYP2W1,HMGCS1,LRAT,MVD"
"GO:0007586","digestion",133,4,1.01,106,0.01886,0.01886,"GKN1,PRSS3,UCN3,VIL1"
"GO:0044282","small molecule catabolic process",372,9,2.83,25,0.01902,0.0022,"ABHD2,CROT,CYP2W1,GLYCTK,HAAO,PON3,SULT1E1,SULT2A1,UPB1"
"GO:0006829","zinc ion transport",28,2,0.21,107,0.01913,0.01913,"SLC30A8,SLC39A5"
"GO:0019076","viral release from host cell",29,2,0.22,108,0.02044,0.02044,"TRIM31,TSG101"
"GO:0035891","exit from host cell",29,2,0.22,109,0.02044,0.02044,"TRIM31,TSG101"
"GO:0008299","isoprenoid biosynthetic process",29,2,0.22,110,0.02044,0.02044,"HMGCS1,MVD"
"GO:0009312","oligosaccharide biosynthetic process",29,2,0.22,111,0.02044,0.02044,"B3GALT2,FUT3"
"GO:0042403","thyroid hormone metabolic process",29,2,0.22,112,0.02044,0.02044,"IYD,SULT2A1"
"GO:0098660","inorganic ion transmembrane transport",909,13,6.92,115,0.02135,0.02135,"ATP1A4,CABP4,GABRA4,GLRA3,GPM6A,KCNAB1,LIME1,PKD1L3,SLC15A2,SLC30A8,SLC39A5,SLC6A4,TF"
"GO:0051966","regulation of synaptic transmission, glutamatergic",78,3,0.59,116,0.02172,0.02172,"GRIK2,GRM7,NRXN1"
"GO:0036075","replacement ossification",31,2,0.24,119,0.02318,0.02318,"COL2A1,SMPD3"
"GO:0001958","endochondral ossification",31,2,0.24,120,0.02318,0.02318,"COL2A1,SMPD3"
"GO:0009611","response to wounding",543,9,4.14,121,0.0232,0.0232,"ABHD2,APOD,APOH,C4BPB,COMP,MPIG6B,SLC6A4,SPRR3,VIL1"
"GO:0009072","aromatic amino acid metabolic process",32,2,0.24,123,0.02461,0.02461,"HAAO,IYD"
"GO:0002063","chondrocyte development",32,2,0.24,124,0.02461,0.02461,"COMP,SMPD3"
"GO:0098868","bone growth",32,2,0.24,125,0.02461,0.02461,"COMP,SMPD3"
"GO:0046434","organophosphate catabolic process",145,4,1.1,126,0.02496,0.02496,"ABHD16A,NUDT4,SMPD3,UPB1"
"GO:0042594","response to starvation",217,5,1.65,127,0.02533,0.02533,"DAP,ELAPOR1,PAGE4,SLC39A5,UCN3"
"GO:0006084","acetyl-CoA metabolic process",33,2,0.25,130,0.02607,0.02607,"HMGCS1,MVD"
"GO:0060078","regulation of postsynaptic membrane potential",147,4,1.12,131,0.02608,0.02608,"GABRA4,GLRA3,GRIK2,NRXN1"
"GO:0035264","multicellular organism growth",147,4,1.12,132,0.02608,0.02608,"COMP,RAI1,SMPD3,VIL1"
"GO:0032370","positive regulation of lipid transport",85,3,0.65,134,0.02714,0.02714,"ABCA8,ATP8A1,LRAT"
"GO:0006688","glycosphingolipid biosynthetic process",34,2,0.26,135,0.02756,0.02756,"B3GALT2,ST8SIA4"
"GO:0044242","cellular lipid catabolic process",223,5,1.7,136,0.02805,0.02805,"ABHD16A,ABHD2,CROT,CYP2W1,SMPD3"
"GO:0098609","cell-cell adhesion",946,13,7.21,137,0.02839,0.02839,"ADAM8,CDH17,COMP,CTNND2,FUT3,HHLA2,HLA-G,ICAM4,IGDCC3,LGALS2,NRXN1,PCDHB1,SLC6A4"
"GO:0007596","blood coagulation",224,5,1.71,138,0.02852,0.02852,"APOH,C4BPB,COMP,MPIG6B,SLC6A4"
"GO:0010232","vascular transport",87,3,0.66,139,0.02881,0.02881,"ATP1A4,ATP8A1,SLC15A2"
"GO:0150104","transport across blood-brain barrier",87,3,0.66,140,0.02881,0.02881,"ATP1A4,ATP8A1,SLC15A2"
"GO:0045807","positive regulation of endocytosis",152,4,1.16,141,0.02901,0.02901,"C4A,C4B,TF,TSG101"
"GO:0007599","hemostasis",231,5,1.76,145,0.03196,0.03196,"APOH,C4BPB,COMP,MPIG6B,SLC6A4"
"GO:0009117","nucleotide metabolic process",510,10,3.88,46,0.03264,0.00569,"ACSBG1,CROT,HAAO,HMGCS1,MVD,NOX1,NUDT4,SULT1E1,SULT2A1,UPB1"
"GO:0046461","neutral lipid catabolic process",38,2,0.29,147,0.03386,0.03386,"ABHD16A,ABHD2"
"GO:0046464","acylglycerol catabolic process",38,2,0.29,148,0.03386,0.03386,"ABHD16A,ABHD2"
