"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0002062","chondrocyte differentiation",115,5,1.88,292,0.04025,0.04025,"COL27A1,PTHLH,SLC26A2,TSKU,WNT2B"
"GO:2000649","regulation of sodium ion transmembrane transporter activity",47,3,0.77,294,0.04115,0.04115,"FXYD2,GLRX,PTPN3"
"GO:0032873","negative regulation of stress-activated MAPK cascade",47,3,0.77,295,0.04115,0.04115,"AMBP,DLG1,FOXO1"
"GO:0042908","xenobiotic transport",47,3,0.77,296,0.04115,0.04115,"SLC17A3,SLC22A5,SLC28A2"
"GO:0070303","negative regulation of stress-activated protein kinase signaling cascade",47,3,0.77,297,0.04115,0.04115,"AMBP,DLG1,FOXO1"
"GO:0140353","lipid export from cell",47,3,0.77,298,0.04115,0.04115,"KCNQ1,PTGES,SPP1"
"GO:0002673","regulation of acute inflammatory response",47,3,0.77,299,0.04115,0.04115,"C2CD4A,IL6,PTGES"
"GO:0006144","purine nucleobase metabolic process",20,2,0.33,301,0.04154,0.04154,"GDA,XDH"
"GO:2001044","regulation of integrin-mediated signaling pathway",20,2,0.33,302,0.04154,0.04154,"LAMA1,LAMC1"
"GO:0060749","mammary gland alveolus development",20,2,0.33,303,0.04154,0.04154,"AREG,PRLR"
"GO:0039692","single stranded viral RNA replication via double stranded DNA intermediate",20,2,0.33,304,0.04154,0.04154,"AICDA,APOBEC3H"
