"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0048731","system development",3915,107,52.08,1,0.00199,1.1e-15,"A2M,ADAMTS6,ADGRL3,AKAP6,ANGPT1,ANK2,ASB4,ATCAY,AXIN2,CACNA1C,CBLN2,CLRN1,CNTN1,CNTNAP1,COL11A1,COL1A2,COL3A1,COL5A2,CRB1,DACT1,DCN,DIO3,DLX2,DOCK10,EPHA3,EPHA7,ERRFI1,ETV1,FABP7,FEZ1,FGL1,FNDC3A,FOXN3,FZD3,GNB4,GPM6B,GRIN3A,GZF1,HCN1,HERC1,HHIP,HOXB13,HOXC6,HOXC8,HSF4,ITGA4,JAM2,JAM3,KERA,KRAS,LAMA2,LHX9,MAB21L1,MAP1A,MAP2K6,MEF2C,MEIS2,MEX3C,MGARP,NARS1,NAV3,NCAM2,NDNF,NEFL,NR2F1,NR4A2,PAX6,PCDH18,PCDHA1,PCDHB14,PCM1,PGAP1,PLEKHA5,PPP2R3C,PRKCH,PTPRC,RBM20,ROBO1,ROBO2,RPGRIP1L,RPS6KA5,SCG2,SCLT1,SERPINF1,SIX1,SIX3,SIX4,SLC23A2,SLITRK6,SNCA,SOX11,SPRY3,SYT1,TBX2,TCF12,TCF4,THBS2,TWIST1,UNC13A,VGF,VGLL4,WASF1,WIF1,YAP1,ZDHHC15,ZEB2,ZNF521"
"GO:0045944","positive regulation of transcription by RNA polymerase II",1236,29,16.44,196,0.00206,0.00206,"ASXL3,CARF,CREM,DCN,DLX2,ETV1,GTF2A1,KLF14,MEF2C,MEIS2,NKX6-3,NR2F1,NR4A2,NR4A3,PAX6,PAX9,RPS6KA5,SIX1,SIX3,SIX4,SOX11,TBX2,TCF12,TCF4,TNKS,TWIST1,YAP1,ZEB2,ZNF521"
"GO:0001709","cell fate determination",42,4,0.56,199,0.0023,0.0023,"MEF2C,NKX6-3,PAX6,TBX2"
"GO:0007601","visual perception",216,9,2.87,203,0.00247,0.00247,"CLRN1,COL11A1,CRB1,EYS,HMCN1,KERA,PAX6,SIX3,SLITRK6"
"GO:0003128","heart field specification",17,4,0.23,60,0.00251,6.3e-05,"AXIN2,MEF2C,ROBO1,ROBO2"
"GO:0051130","positive regulation of cellular component organization",1101,28,14.64,150,0.00252,0.00075,"ABCB7,ANGPT1,BAG4,CBLN2,CLRN1,CNTN1,DCN,DDHD2,EPHA3,FEZ1,MGARP,NAV3,NDNF,NEFL,PTPRC,RAB3GAP2,ROBO1,ROBO2,SERPINF1,SLAIN1,SLITRK6,SNCA,SYT1,THBS2,TNKS,TNKS2,WASF1,ZDHHC15"
"GO:0071495","cellular response to endogenous stimulus",1442,36,19.18,94,0.00259,0.00018,"AKAP6,AXIN2,BAG4,CACNA1A,COL1A2,COL3A1,COL5A2,DCN,FDX1,FEZ1,FGFBP3,GCG,HCN1,HHIP,ITGA4,MEF2C,MGARP,NDNF,NPFFR2,NR4A2,NR4A3,PAX6,PAX9,PDE4B,ROBO1,ROBO2,SERPINF1,SIX1,SNCA,SOX11,SPRY3,TBX2,TWIST1,WASF1,YAP1,ZEB2"
"GO:0090263","positive regulation of canonical Wnt signaling pathway",104,6,1.38,209,0.00267,0.00267,"DACT1,DKK2,TNKS,TNKS2,YAP1,ZEB2"
"GO:0048705","skeletal system morphogenesis",225,12,2.99,54,0.00271,5e-05,"AXIN2,COL11A1,COL3A1,DLX2,FOXN3,HHIP,HOXC8,MEF2C,SIX1,SIX4,SOX11,TWIST1"
"GO:0009582","detection of abiotic stimulus",140,7,1.86,211,0.00271,0.00271,"ANO3,CHRNA9,COL11A1,CRB1,ELOVL4,EYS,NPFFR2"
"GO:0008038","neuron recognition",44,4,0.59,212,0.00273,0.00273,"EPHA3,NCAM2,ROBO1,ROBO2"
"GO:0048701","embryonic cranial skeleton morphogenesis",44,4,0.59,213,0.00273,0.00273,"DLX2,SIX1,SIX4,TWIST1"
"GO:0000122","negative regulation of transcription by RNA polymerase II",976,24,12.98,214,0.00278,0.00278,"CREM,DACT1,DLX2,GZF1,HOXB13,HOXC8,HSF4,MAEL,MAGEB17,MEF2C,MEIS2,NKX6-3,NR2F1,NR4A2,NR4A3,PAX6,SIX1,SNCA,SOX11,TBX2,TWIST1,YAP1,ZEB2,ZNF25"
"GO:0098609","cell-cell adhesion",946,28,12.58,58,0.00285,6.2e-05,"ADGRL3,CADM2,CDH19,CNTN1,CRB1,DAPL1,EPHA7,FGL1,FNDC3A,HMCN1,ILDR2,ITGA10,ITGA4,JAM2,JAM3,MMRN1,NCAM2,NR4A3,PBRM1,PCDH18,PCDHA1,PCDHB14,PTPRC,RHOH,ROBO1,ROBO2,SOCS6,SPARCL1"
"GO:0008090","retrograde axonal transport",22,3,0.29,222,0.00297,0.00297,"MAP1A,MGARP,NEFL"
"GO:0060045","positive regulation of cardiac muscle cell proliferation",22,3,0.29,223,0.00297,0.00297,"MEF2C,TBX2,YAP1"
"GO:0050678","regulation of epithelial cell proliferation",356,12,4.74,224,0.00301,0.00301,"ITGA4,MEF2C,NR4A3,PAX6,ROBO1,SCG2,SERPINF1,SIX1,SIX4,SOX11,TWIST1,YAP1"
"GO:0051241","negative regulation of multicellular organismal process",1097,26,14.59,225,0.00307,0.00307,"ANGPT1,AXIN2,CARD16,DAPL1,DCN,DLX2,EPHA7,FGL1,ILDR2,JAM2,MAP2K6,MEF2C,NAV3,PAX6,PCM1,PDE4B,PTPRC,ROBO1,ROBO2,RPS6KA5,SERPINF1,SOCS6,SOX11,THBS2,TWIST1,VGLL4"
"GO:0042462","eye photoreceptor cell development",34,5,0.45,73,0.00331,8.1e-05,"CRB1,DIO3,HCN1,PAX6,RPGRIP1L"
"GO:1901701","cellular response to oxygen-containing compound",1240,30,16.49,161,0.00332,0.00107,"AKAP6,AXIN2,CACNA1A,CARD16,CARF,CDK19,COL1A2,COL3A1,COL5A2,COLEC12,EPHA3,FDX1,GCG,HCN1,ITGA4,MAP2K6,MEF2C,MGARP,NR4A2,NR4A3,OXR1,PAX6,PDE4B,SERPINF1,SIX1,SLC23A2,SNCA,SYT1,TNIP3,YAP1"
"GO:0001759","organ induction",23,3,0.31,229,0.00338,0.00338,"ROBO1,ROBO2,SIX1"
"GO:0090102","cochlea development",47,4,0.63,231,0.00348,0.00348,"RPGRIP1L,SIX1,SLITRK6,TBX2"
"GO:0007610","behavior",647,20,8.61,119,0.00365,0.00042,"ADAM11,CNTN1,DDHD2,ETV1,GCG,GRPR,HCN1,KRAS,MAP1A,MCHR1,MEF2C,MEIS2,NR4A2,NR4A3,OXR1,PAX6,PCM1,SERPINF1,SLITRK6,SNCA"
"GO:0030155","regulation of cell adhesion",776,20,10.32,238,0.0037,0.0037,"ANGPT1,BAG4,DAPL1,DMP1,EPHA3,EPHA7,FGL1,GPM6B,ILDR2,ITGA4,JAM3,LAMA2,MMRN1,NDNF,NR4A3,PBRM1,PTPRC,RHOH,RSU1,SOCS6"
"GO:0021772","olfactory bulb development",35,5,0.47,80,0.00374,9.4e-05,"DLX2,PAX6,ROBO1,ROBO2,RPGRIP1L"
"GO:0032288","myelin assembly",24,3,0.32,241,0.00383,0.00383,"ANK2,CNTN1,CNTNAP1"
"GO:0021871","forebrain regionalization",24,3,0.32,242,0.00383,0.00383,"PAX6,PGAP1,SIX3"
"GO:0043576","regulation of respiratory gaseous exchange",24,3,0.32,243,0.00383,0.00383,"FTO,GRPR,NR4A2"
"GO:1903861","positive regulation of dendrite extension",24,3,0.32,244,0.00383,0.00383,"SLC23A2,SYT1,UNC13A"
"GO:0003148","outflow tract septum morphogenesis",24,3,0.32,245,0.00383,0.00383,"ROBO1,ROBO2,TBX2"
"GO:0048520","positive regulation of behavior",25,3,0.33,252,0.0043,0.0043,"GRPR,MEF2C,NR4A3"
"GO:0050857","positive regulation of antigen receptor-mediated signaling pathway",25,3,0.33,253,0.0043,0.0043,"CD226,PRKCH,PTPRC"
"GO:0050769","positive regulation of neurogenesis",237,9,3.15,258,0.00456,0.00456,"FZD3,KRAS,NEFL,PAX6,PRKCH,ROBO1,ROBO2,SERPINF1,SOX11"
"GO:0050885","neuromuscular process controlling balance",51,4,0.68,260,0.00467,0.00467,"CLRN1,CNTNAP1,HERC1,NEFL"
"GO:0008089","anterograde axonal transport",51,4,0.68,261,0.00467,0.00467,"FEZ1,MAP1A,MGARP,NEFL"
"GO:0022010","central nervous system myelination",26,3,0.35,264,0.00482,0.00482,"CNTN1,CNTNAP1,GPM6B"
"GO:0003151","outflow tract morphogenesis",77,7,1.02,68,0.00515,7.3e-05,"MEF2C,ROBO1,ROBO2,SIX1,SOX11,TBX2,TWIST1"
"GO:0021846","cell proliferation in forebrain",27,3,0.36,271,0.00537,0.00537,"PAX6,PCM1,SIX3"
"GO:0010880","regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum",28,3,0.37,276,0.00595,0.00595,"AKAP6,ANK2,CACNA1C"
"GO:0003272","endocardial cushion formation",28,3,0.37,277,0.00595,0.00595,"ROBO1,ROBO2,TBX2"
"GO:0048523","negative regulation of cellular process",4910,98,65.31,30,0.00634,2.7e-06,"ABCB7,AKAP6,ANGPT1,ANK2,ANKRD34A,ATCAY,AXIN2,BAG4,CACNA1C,CARD16,CBARP,COL3A1,COL5A2,CREM,DACT1,DAPL1,DCN,DKK2,DLK1,DLX2,EPHA3,EPHA7,ERI1,ERRFI1,FABP7,FEZ1,FGL1,FMN2,FOXN3,FTO,FZD3,GCG,GPM6B,GZF1,HERC1,HHIP,HOXB13,HOXC8,HSF4,ILDR2,JAM2,JAM3,KRAS,LHX9,MAEL,MAGEB17,MALRD1,MAP1A,MEF2C,MEIS2,MGARP,MTPAP,NAV3,NDNF,NEFL,NKX6-3,NR2F1,NR4A2,NR4A3,OXR1,PAX6,PAX9,PBRM1,PCM1,PDE11A,PDE4B,PLPP7,PRKCH,PTPRC,RANBP9,RBM20,RHOH,ROBO1,ROBO2,RPGRIP1L,RPS6KA5,SACS,SCG2,SERPINF1,SIX1,SIX3,SIX4,SNCA,SOCS6,SOX11,SPRY3,TBX2,TCEAL7,TNIP3,TNKS,TNKS2,TRDMT1,TWIST1,VGLL4,WIF1,YAP1,ZEB2,ZNF25"
