"GO.ID","Term","Annotated","Significant","Expected","Rank in p.value_classic","p.value_elim","p.value_classic","genes"
"GO:0006650","glycerophospholipid metabolic process",298,6,2.64,269,0.0499,0.0499,"ENPP2,FABP3,NAAA,PDGFA,PDGFRB,PIK3CB"
"GO:0050730","regulation of peptidyl-tyrosine phosphorylation",225,5,2,270,0.05027,0.05027,"ADNP,ENPP2,HCLS1,PDGFA,PTPN1"
"GO:0048246","macrophage chemotaxis",41,2,0.36,271,0.05115,0.05115,"C5,MMP28"
"GO:0050892","intestinal absorption",41,2,0.36,272,0.05115,0.05115,"SLC5A1,VIL1"
"GO:1902905","positive regulation of supramolecular fiber organization",173,6,1.53,52,0.0523,0.00448,"BAIAP2L2,DSTN,MYOC,NCK1,SCIN,VIL1"
"GO:0050817","coagulation",228,5,2.02,276,0.05265,0.05265,"KNG1,PDGFA,PIK3CB,ST3GAL4,TFPI2"
"GO:0043524","negative regulation of neuron apoptotic process",159,4,1.41,279,0.05322,0.05322,"ADNP,EN2,OXR1,PRKCI"
"GO:0045766","positive regulation of angiogenesis",159,4,1.41,280,0.05322,0.05322,"ANGPTL3,APELA,AQP1,FLT1"
"GO:1904018","positive regulation of vasculature development",159,4,1.41,281,0.05322,0.05322,"ANGPTL3,APELA,AQP1,FLT1"
"GO:0071364","cellular response to epidermal growth factor stimulus",42,2,0.37,282,0.0534,0.0534,"PAX2,VIL1"
"GO:0001709","cell fate determination",42,2,0.37,283,0.0534,0.0534,"PAX2,PTCH2"
"GO:0045494","photoreceptor cell maintenance",42,2,0.37,284,0.0534,0.0534,"CDHR1,CRB1"
"GO:0007599","hemostasis",231,5,2.05,289,0.05509,0.05509,"KNG1,PDGFA,PIK3CB,ST3GAL4,TFPI2"
