cell_line	patient_id	histotype	wes_passage	rna_passage	cnv_sample_id	historical_bam_hint	current_alignment_status	source_cnr	source_cnr_sha256	target_only_cnr_sha256	target_only_cnr_scratch_path	corrected_cns	corrected_cns_sha256
OV1369-R2	1369	HGS	P66	p69	OV1369_R2_P66	../work/a5/a947cdda816a6ac440c35f5a99d7c7/OV1369_R2_P66.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.cnr	6592582eb3f33b934fa34b3cc207b78f40d906e05d4b5956895170b814937883	13704ad8f979bfe7332b7810b28ce733f380c42c9300a3d7c94176a59e287117	tmp/wes_cnv_target_only_2026-09-06/OV1369-R2.targetonly.cnr	output/wes_cnv_target_only/OV1369-R2.cns	7869856ed9acf9b50650c8716462dc2b8a1609c79b3612ce8951cd415da24284
OV2085	OV2085	HGS	P64	p68	OV2085_P64	../work/9d/5053b19362a37673e25e6137ef2449/OV2085_P64.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.cnr	f77f13fbf2eec08d767f069f5ad02d2196a13b2c592ee93826dc89e0af148990	a7c48bea5703ffa494a9fef6783ab4becdc3548326940009772a76c34f85f8dd	tmp/wes_cnv_target_only_2026-09-06/OV2085.targetonly.cnr	output/wes_cnv_target_only/OV2085.cns	5aa4bcc1c6e51feafc4fe8c04d5aa95461b6e40d3296d8bb66079d3bb305b6d4
OV2295	2295	HGS	P61	p64	OV2295_P61	../work/82/d4b4833ef8e3c2d4e18fb540d9357e/OV2295_P61.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.cnr	e0fdda8e7d744067f11ce8dab639cd4596eaeb5afcc1a4403d28efb4fdba18bb	d6c595a1ab01ea520565e35ff82269810ee6d89f47dcd010f19c005f1a1f5f91	tmp/wes_cnv_target_only_2026-09-06/OV2295.targetonly.cnr	output/wes_cnv_target_only/OV2295.cns	4aa5f3ae4cff10ae57a7841a0ed5bc712edab79db80ed43b33ffb1a585dc4ec1
OV2295-R2	2295	HGS	P70	p67	OV2295_R2_P70	../work/2a/25a0a6a1570955ea5a4fb75b685db4/OV2295_R2_P70.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.cnr	c030d116172c7d7d622bda2bc42cff0dd6ef0a09a5551a49818d8535f6bcb56e	521ae55d7531893410a882967d001587dc37376dd6b82d29409f1df17b1464e7	tmp/wes_cnv_target_only_2026-09-06/OV2295-R2.targetonly.cnr	output/wes_cnv_target_only/OV2295-R2.cns	064b83590cbe68544eeb6f6dbf992fb4341c49c6789eea8640e3ba36df666e40
OV3133-R	3133	HGS	P71	p64	OV3133_R_P71	../work/53/397412953e1df8497ab40f69c887f2/OV3133_R_P71.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cnr	c35ecc0fc6743759bcadf79f2f87247030e56b571f7d0b3f4135d3ac51c1da11	e41397bf7351224afae092c6cab63449ebaf4ecacafe48e8b0830e2b017cc3b9	tmp/wes_cnv_target_only_2026-09-06/OV3133-R.targetonly.cnr	output/wes_cnv_target_only/OV3133-R.cns	adee942b18ee2b1161f42b8ff11251110d65ce301f38b1c19dd94d86802920da
OV3133-R2	3133	HGS	P58		OV3133_R2_P58	../work/5d/8af0742f66349abbb6ec65e3e6b075/OV3133_R2_P58.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/OV3133_R2_P58_new/OV3133_R2_P58.cnr	8e5bb742f296d726d7251c9644a78602461930d6178dca52d395ab63a18615d4	adbc0a8152abccd69c09e237fb3ff48e431e5bc9120e383060bad71bfc2cda3b	tmp/wes_cnv_target_only_2026-09-06/OV3133-R2.targetonly.cnr	output/wes_cnv_target_only/OV3133-R2.cns	72e942126c92298c0f14733ec298305cae480dffb4bd0948273a28a6a4265d9e
OV3291	3291	HGS	P46		OV3291_P46	../work/67/391aefcedee5cff0359f87fc37879a/OV3291_P46.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cnr	cd970e62866bf472e4e70a74fe30b98ba961e1e873b1932f40e45a6ede6740db	e629620b5d7bbacf139d5218a08bd1880621f699b4cfcdfe75ebcc8cd6a02ee5	tmp/wes_cnv_target_only_2026-09-06/OV3291.targetonly.cnr	output/wes_cnv_target_only/OV3291.cns	99d476a8334619ca6f912157bedf9fae286149d73ea4a81ebad13d4a977b88c6
OV3331	OV3331	HGS	P54	p71	OV3331_P54	../work/9f/bf3df6338ee821bd70926534d54dee/OV3331_P54.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cnr	8ec384a3b641262c80464b65f9ff3c1fbe4591a8fc2e0199c14816e44f0d0357	59813ef240c5684eed6f48d5096c1192a8cf6550883201be22dad052de434b0d	tmp/wes_cnv_target_only_2026-09-06/OV3331.targetonly.cnr	output/wes_cnv_target_only/OV3331.cns	f012ffdb3e7dae00dbe861f88152c83fcbc8a6b5f3f738909f33b671b3651d43
OV90	OV90	HGS	P63	p70	OV90_P63	../work/5a/9c55f01b9d9f3b937491fab0ee693c/OV90_P63.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.cnr	6f90c24bb229ffd2082efb7cb95d40d5ee10f46700f6fb7668d52cb482d63deb	a7b1326e1fe263fe02af1579306bec36737d0b479f6b690ad23b2ec3a6efecc6	tmp/wes_cnv_target_only_2026-09-06/OV90.targetonly.cnr	output/wes_cnv_target_only/OV90.cns	c627a89f81fa1f1f9b4d9d20ad6c783c930bdb1d30732c00b501c88bae7e244c
TOV112D	TOV112D	EC	P83	p63	TOV112D_P83	../work/42/00815049b9b01a26e84c3b4fb82f65/TOV112D_P83.recal.bam	unverified: resolve on cluster	judy_archive/data/cnvkit wes - new/All samples/TOV112D_P83_new/TOV112D_P83.cnr	8c77565e8f5fa28fd545f20ad6168494ea04ae5dc4668b0ea436e2fba941daa7	63225b4da0218ab825da8f8e61f80380687b7ca12513fe046904680bdc77f8df	tmp/wes_cnv_target_only_2026-09-06/TOV112D.targetonly.cnr	output/wes_cnv_target_only/TOV112D.cns	66516103f733ad22e61bb2d5deeff802fd808de4c5fbfea029925894cabed04e
