our_line,our_subtype,depmap_name,depmap_ACH,depmap_RRID,depmap_oncotree_subtype,spearman_hvg,pearson_hvg,is_selfpair,self_rank_of67,margin_self_vs_next
OV866-2,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.4976692306130587,0.5090149122129635,FALSE,NA,NA
OV866-2,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.3672638084329003,0.33171658842900603,FALSE,NA,NA
OV866-2,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.29276366097743584,0.2562029276960661,FALSE,NA,NA
OV866-2,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.3109955406352264,0.25712661489102506,FALSE,NA,NA
TOV1369,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.27623541074033725,0.30844273634379715,FALSE,NA,NA
TOV1369,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.29683738825027667,0.33874447883398706,FALSE,NA,NA
TOV1369,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.15290606111995383,0.15492705329537151,FALSE,NA,NA
TOV1369,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.14936817881883138,0.14283380634633347,FALSE,NA,NA
TOV1369,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.1318763717978329,0.13432944817786788,FALSE,NA,NA
TOV3041G,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.26254926458728645,0.29207572301797385,FALSE,NA,NA
TOV3041G,HGS,TOV21G,ACH-000885,CVCL_3613,Clear Cell Ovarian Cancer,0.3320709572577114,0.3728024607844048,FALSE,NA,NA
TOV3041G,HGS,TOV112D,ACH-000048,CVCL_3612,Endometrioid Ovarian Cancer,0.13153532786514985,0.12876153276515945,FALSE,NA,NA
TOV3041G,HGS,BIN67,ACH-001278,CVCL_S987,Small Cell Carcinoma of the Ovary,0.17389757514962462,0.1737911752528299,FALSE,NA,NA
TOV3041G,HGS,COV434,ACH-000123,CVCL_2010,Small Cell Carcinoma of the Ovary,0.1486732765265416,0.1527432397632345,FALSE,NA,NA
TOV3133G,HGS,OV90,ACH-000291,CVCL_3768,Serous Ovarian Cancer,0.26551505964815214,0.2911478454767887,FALSE,NA,NA
