subtype,n,mean_sil
HGS,15,0.17772555737063034
CC,7,-0.0034873000691590756
EC,2,0.12775871917060883
MC,3,0.14082106077009643
MMMT,2,0.4094804106835127
SCCOHT,2,0.02840267713948013
