stratum,technical_sd_log2,bound,technical_sd_basis,observed_cross_line_sd_log2,observed_cross_line_iqr_log2,observed_to_technical_sd_ratio,technical_variance_share_pct,implied_biological_sd_log2,approx_reliability_ratio,n_genes,approximation_note
all paired genes,0.14893790073812158,min link,pooled across proteins within a link,0.28693035640466835,0.3447358472367412,1.9265100084173992,26.943714059060405,0.2452478973411015,0.730562859409396,8035,"variance-ratio diagnostic, NOT an intraclass correlation: pooled-across-proteins technical SD vs median-across-genes observed SD, under a homoscedastic independent-additive-error approximation; four non-identical bridge samples. See prot_cv_by_abundance.csv for the abundance-matched version."
all paired genes,0.17112458199437552,median link,pooled across proteins within a link,0.28693035640466835,0.3447358472367412,1.6767337168081387,35.569012250884626,0.23031588495750843,0.6443098774911538,8035,"variance-ratio diagnostic, NOT an intraclass correlation: pooled-across-proteins technical SD vs median-across-genes observed SD, under a homoscedastic independent-additive-error approximation; four non-identical bridge samples. See prot_cv_by_abundance.csv for the abundance-matched version."
all paired genes,0.18971689235372677,max link,pooled across proteins within a link,0.28693035640466835,0.3447358472367412,1.5124133272733946,43.7178714422764,0.21525921625369368,0.5628212855772361,8035,"variance-ratio diagnostic, NOT an intraclass correlation: pooled-across-proteins technical SD vs median-across-genes observed SD, under a homoscedastic independent-additive-error approximation; four non-identical bridge samples. See prot_cv_by_abundance.csv for the abundance-matched version."
"ADC targets (direct bridge estimate, n = 32 differences)",0.13402818102782257,pooled over links,bridge differences restricted to the ADC target rows,0.5996072221876746,0.7282963677372187,4.4737399074542665,4.996415381853966,0.5844358541277157,0.9500358461814603,8,"technical SD estimated from the ADC target rows themselves; few differences and non-identical bridge samples; variance-ratio approximation, not an ICC or a variance-component estimate"
