source_id,role,model_or_reference,project_path,bundle_relative_path,sha256,bytes,original_cluster_path,inventory_sha256,inventory_hash_match,availability
WQC0136,Picard/GATK MarkDuplicates primary library metrics,TOV2835EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/markduplicates/TOV2835EP_P64/TOV2835EP_P64.md.cram.metrics,sarek_3.5.1_run/reports/markduplicates/TOV2835EP_P64/TOV2835EP_P64.md.cram.metrics,40ba62a720da4228bbc13c633f31fb25c61d6cd6ffa2e6bd2d749a70ae893af5,4553,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/markduplicates/TOV2835EP_P64/TOV2835EP_P64.md.cram.metrics,40ba62a720da4228bbc13c633f31fb25c61d6cd6ffa2e6bd2d749a70ae893af5,True,present
WQC0137,GATK CalculateContamination primary table,TOV2835EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/variant_calling/mutect2/TOV2835EP_P64/TOV2835EP_P64.mutect2.contamination.table,sarek_3.5.1_run/variant_calling/mutect2/TOV2835EP_P64/TOV2835EP_P64.mutect2.contamination.table,0ec38f4f2130500c9376f508fcc5e1e39fe3641e9604b0bc435ccc26182a884e,99,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/variant_calling/mutect2/TOV2835EP_P64/TOV2835EP_P64.mutect2.contamination.table,0ec38f4f2130500c9376f508fcc5e1e39fe3641e9604b0bc435ccc26182a884e,True,present
WQC0138,samtools md primary report,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/samtools/TOV2881EP_P64/TOV2881EP_P64.md.cram.stats,sarek_3.5.1_run/reports/samtools/TOV2881EP_P64/TOV2881EP_P64.md.cram.stats,4019fbd4341354b940f4aca7090a81ba811d3b41ad8aba82ff50f1a3798825ef,94235,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/samtools/TOV2881EP_P64/TOV2881EP_P64.md.cram.stats,4019fbd4341354b940f4aca7090a81ba811d3b41ad8aba82ff50f1a3798825ef,True,present
WQC0139,mosdepth md integer depth-sum and target length,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.md.mosdepth.summary.txt,sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.md.mosdepth.summary.txt,413d5c7425ce7250086b291425e3fa58329257c6fdcce4d1bd53589d16552818,196105,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.md.mosdepth.summary.txt,413d5c7425ce7250086b291425e3fa58329257c6fdcce4d1bd53589d16552818,True,present
WQC0140,mosdepth md per-base target cumulative fractions,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.md.mosdepth.region.dist.txt,sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.md.mosdepth.region.dist.txt,61d21451d5f2005a843daa220a592718ae2c850daa57d7f7658d00efec66e66d,814429,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.md.mosdepth.region.dist.txt,61d21451d5f2005a843daa220a592718ae2c850daa57d7f7658d00efec66e66d,True,present
WQC0141,samtools recal primary report,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/samtools/TOV2881EP_P64/TOV2881EP_P64.recal.cram.stats,sarek_3.5.1_run/reports/samtools/TOV2881EP_P64/TOV2881EP_P64.recal.cram.stats,7765415475160b95d041bd50bc755528198d771a4b87eab7db74fa1b208df202,118402,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/samtools/TOV2881EP_P64/TOV2881EP_P64.recal.cram.stats,7765415475160b95d041bd50bc755528198d771a4b87eab7db74fa1b208df202,True,present
WQC0142,mosdepth recal integer depth-sum and target length,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.recal.mosdepth.summary.txt,sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.recal.mosdepth.summary.txt,d75c1d47b2944f12115d107fdd7d1675c6c96a004b93f9103728c58431b852db,3220,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.recal.mosdepth.summary.txt,d75c1d47b2944f12115d107fdd7d1675c6c96a004b93f9103728c58431b852db,True,present
WQC0143,mosdepth recal per-base target cumulative fractions,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.recal.mosdepth.region.dist.txt,sarek_3.5.1_run/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.recal.mosdepth.region.dist.txt,f7bd21c02c24d7732cf637c7405aabd9a5ba580f1d3f7e260f994f682d7be467,814373,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/mosdepth/TOV2881EP_P64/TOV2881EP_P64.recal.mosdepth.region.dist.txt,f7bd21c02c24d7732cf637c7405aabd9a5ba580f1d3f7e260f994f682d7be467,True,present
WQC0144,Picard/GATK MarkDuplicates primary library metrics,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/reports/markduplicates/TOV2881EP_P64/TOV2881EP_P64.md.cram.metrics,sarek_3.5.1_run/reports/markduplicates/TOV2881EP_P64/TOV2881EP_P64.md.cram.metrics,bee372a8ac5d91c5fdc5cd7c3679e8eb55cb4396d339e518b8c1f2a7a0de3e00,4294,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/reports/markduplicates/TOV2881EP_P64/TOV2881EP_P64.md.cram.metrics,bee372a8ac5d91c5fdc5cd7c3679e8eb55cb4396d339e518b8c1f2a7a0de3e00,True,present
WQC0145,GATK CalculateContamination primary table,TOV2881EP,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/sarek_3.5.1_run/variant_calling/mutect2/TOV2881EP_P64/TOV2881EP_P64.mutect2.contamination.table,sarek_3.5.1_run/variant_calling/mutect2/TOV2881EP_P64/TOV2881EP_P64.mutect2.contamination.table,322ebb29975da571238ddec53cd800852c42e97a9edd18e28c0ee8d1f7dc40ec,99,/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/variant_calling/mutect2/TOV2881EP_P64/TOV2881EP_P64.mutect2.contamination.table,322ebb29975da571238ddec53cd800852c42e97a9edd18e28c0ee8d1f7dc40ec,True,present
