cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV90,provider_number_of_cycles,218,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AI4,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV112D,provider_name,TOV112D_P83,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,provider_library_name,TOV112D_P83,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,read_set_id,HI.4316.007.Index_8.TOV112D_P83,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,provider_number_of_reads,"62,823,621",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV112D,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI8,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,provider_name,TOV1369_P65,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,provider_library_name,TOV1369M_P65,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,read_set_id,HI.4316.006.Index_16.TOV1369M_P65,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,provider_number_of_reads,"65,447,940",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV1369,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,provider_name,TOV21G_P59,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,provider_library_name,TOV21G_P59,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,read_set_id,HI.4316.007.Index_11.TOV21G_P59,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,provider_number_of_reads,"66,750,168",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV21G,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,provider_name,TOV2295(R)_P57,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,provider_library_name,TOV2295_P57,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,read_set_id,HI.4316.005.Index_2.TOV2295_P57,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,provider_number_of_reads,"62,602,596",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2295-R,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2414,provider_name,TOV2414_P65,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,A5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,provider_library_name,TOV2414_P65,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,B5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,J5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,library_source,gDNA,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,O5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,P5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,Q5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,T5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,provider_run,4706,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,X5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AC5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,run_start_date,2018-05-25,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AD5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,read_set_id,HI.4706.007.Index_1.TOV2414_P65,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AE5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,provider_number_of_reads,"55,835,820",mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AH5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2414,provider_number_of_cycles,218,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,AI5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f
TOV2835EP,provider_name,TOV2835EP_P64,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,provider_library_name,TOV2835EP_P64,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,read_set_id,HI.4316.006.Index_12.TOV2835EP_P64,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,provider_number_of_reads,"64,300,176",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2835EP,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,provider_name,TOV2881EP_P64,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,provider_library_name,TOV2881EP_P64,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,read_set_id,HI.4316.007.Index_1.TOV2881EP_P64,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,provider_number_of_reads,"63,624,665",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2881EP,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,provider_name,TOV2929D_P57,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,provider_library_name,TOV2929D_P57,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,read_set_id,HI.4316.006.Index_19.TOV2929D_P57,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,provider_number_of_reads,"56,531,271",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV2929D,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,provider_name,TOV3121D_P68,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,provider_library_name,TOV3121D_P68,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,read_set_id,HI.4316.007.Index_3.TOV3121D_P68,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,provider_number_of_reads,"62,767,002",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121D,provider_number_of_cycles,208,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AI15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121EP,provider_name,TOV3121EP_P68,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,A16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121EP,provider_library_name,TOV3121EP_P68,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,B16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121EP,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121EP,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121EP,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
TOV3121EP,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
