cell_line,field,value,source_file,source_sheet,source_cell,source_sha256
OV2295,run_type,PAIRED_END,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,J3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,library_source,gDNA,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,O3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,capture_library_type,SeqCap Exome (Roche Nimblegen),mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,P3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,sequencing_type,Illumina HiSeq 4000 PE100,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,Q3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,adapter,Illumina TruSeq LT,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,T3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,provider_run,4316,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,X3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,capture_bed_files,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AC3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,run_start_date,2017-08-11,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AD3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,read_set_id,HI.4316.005.Index_13.OV2295_P61,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AE3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
OV2295,provider_number_of_reads,"57,756,188",mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,AH3,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804
