cell_line,subtype,subtype_status,source_site,rna_seq,rna_sample_id,rna_passage,rna_pseudoalign_pct,rna_status,proteomics,tmt_plex,tmt_channel,wes_cnv,wes_mut,wes_passage,wes_mut_note,n_omics,all_three,analysis_include,exclusion_reason,provenance,notes,site,file
TOV21G,CC,consensus,Mes-Masson,Y,TOV21Gp63,p63,91.9,OK,Y,5,ch5,Y,Y,P59,NA,3,Y,Y,NA,generated,NA,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV21Gp63/abundance.tsv
TOV3392D,CC,consensus,Mes-Masson,Y,TOV3392Dp69,p69,92.3,OK,Y,1,ch7,Y,Y,P69,NA,3,Y,Y,NA,generated,NA,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV3392Dp69/abundance.tsv
VOA10816,CC,consensus,Huntsman,Y,VOA10816p20,p20,86.6,OK,Y,1,ch6,-,-,NA,NA,2,-,Y,NA,generated,also inter-plex TMT bridge (plex2 ch10),Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA10816p20/abundance.tsv
VOA12539,CC,consensus,Huntsman,Y,VOA12539p41,p41,89.3,OK,Y,2,ch7,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA12539p41/abundance.tsv
VOA295,CC,consensus,Huntsman,Y,VOA295p31,p31,86.9,OK,Y,2,ch6,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA295p31/abundance.tsv
VOA4841,CC,consensus,Huntsman,Y,VOA4841p43,p43,85.8,OK,Y,3,ch7,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA4841p43/abundance.tsv
VOA6861,CC,consensus,Huntsman,Y,VOA6861p17,p17,88,OK,-,NA,NA,-,-,NA,NA,1,-,Y,NA,generated,RNA-only,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA6861p17/abundance.tsv
TOV112D,EC,CONFLICT: labeled Endometrioid; Karnezis 2021 reassigns to dedifferentiated carcinoma (SMARCA4/SMARCA2-null) - verify SWI/SNF status,Mes-Masson,Y,TOV112Dp63,p63,91.1,OK,Y,4,ch6,Y,Y,P83,NA,3,Y,Y,NA,generated,NA,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV112Dp63/abundance.tsv
VOA4395,EC,consensus,Huntsman,Y,VOA4395p39-40,p39-40,88.6,OK,Y,1,ch8,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA4395p39-40/abundance.tsv
TOV2414,MC,consensus,Mes-Masson,Y,TOV2414p69,p69,92.9,OK,Y,5,ch6,Y,Y,P65,NA,3,Y,Y,NA,generated,NA,Mes-Masson,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/TOV2414p69/abundance.tsv
VOA8762,MC,consensus,Huntsman,Y,VOA8762p27,p27,85.8,OK,Y,4,ch7,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA8762p27/abundance.tsv
VOA8771,MC,consensus,Huntsman,Y,VOA8771p28,p28,88.1,OK,Y,5,ch8,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA8771p28/abundance.tsv
VOA5217,MMMT,consensus,Huntsman,Y,VOA5217p36,p36,89.9,OK,Y,4,ch8,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA5217p36/abundance.tsv
VOA5436,MMMT,consensus,Huntsman,Y,VOA5436p35,p35,88.8,OK,Y,5,ch7,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/VOA5436p35/abundance.tsv
BIN67,SCCOHT,consensus,Huntsman/Vanderhyden,Y,BIN67p51,p51,87.9,OK,Y,3,ch3,-,-,NA,NA,2,-,Y,NA,generated,NA,Huntsman/Vanderhyden,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/BIN67p51/abundance.tsv
COV434,SCCOHT,consensus,Huntsman,Y,COV434p46,p46,89.1,OK,Y,1,ch10,-,-,NA,NA,2,-,Y,NA,generated,"occupies plex-1 ch10 (bridge slot) as unique sample, not a replicate; SCCOHT label literature-supported (Karnezis 2021 reassignment from granulosa)",Huntsman,/Users/dpcook/Analysis/ovcan_human/judy_archive/data/rna_seq/COV434p46/abundance.tsv
