signature,cell_line,contribution,total_fitted,rel_contribution,reference_set,boot_mean,boot_median,boot_lo95,boot_hi95,boot_selected_frac,n_boots,signature_group,n_snv_used,cosmic_source,cosmic_genome,mutationalpatterns_version,fit_method,max_delta,n_boots_requested,bootstrap_input_sha256,subtype,is_hypermutator
SBS12,OV1369-R2,0,593.544715104005,0,full,8.099371963712914,0,0,46.72165365871278,0.21,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS13,OV1369-R2,0,593.544715104005,0,full,0.44745105250623185,0,0,0.39412144952343026,0.025,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS16,OV1369-R2,0,593.544715104005,0,full,0.8925991180933669,0,0,16.127016736735168,0.035,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS17a,OV1369-R2,0,593.544715104005,0,full,0.46193386963577615,0,0,0.3945517287243675,0.025,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS19,OV1369-R2,0,593.544715104005,0,full,0.6374714397132749,0,0,0,0.02,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS25,OV1369-R2,0,593.544715104005,0,full,1.2008903311847607,0,0,0,0.02,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS28,OV1369-R2,0,593.544715104005,0,full,0.07638511847611228,0,0,0,0.005,200,POLE proofreading,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS29,OV1369-R2,0,593.544715104005,0,full,26.53763290316607,0,0,91.99490436070606,0.405,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS31,OV1369-R2,0,593.544715104005,0,full,2.326673730133032,0,0,38.954945395643435,0.06,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS33,OV1369-R2,0,593.544715104005,0,full,3.9047269399144433,0,0,26.43818946179747,0.17,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS35,OV1369-R2,0,593.544715104005,0,full,1.495292190779989,0,0,30.418546784776133,0.04,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS36,OV1369-R2,0,593.544715104005,0,full,0.11607372036596555,0,0,0,0.005,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS37,OV1369-R2,0,593.544715104005,0,full,3.8659780869687146,0,0,51.1790576140077,0.085,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS86,OV1369-R2,0,593.544715104005,0,full,2.776474574911258,0,0,39.388926649145105,0.08,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS89,OV1369-R2,0,593.544715104005,0,full,10.304022982347076,0,0,87.58959314953746,0.17,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS91,OV1369-R2,0,593.544715104005,0,full,0.08359654054814823,0,0,0,0.005,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS93,OV1369-R2,0,593.544715104005,0,full,0.8917397271557955,0,0,16.415129522844243,0.03,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS94,OV1369-R2,0,593.544715104005,0,full,0.21031783198667545,0,0,0,0.005,200,other,594,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS5,OV2085,106.12518136733839,471.27990258252083,0.22518503502015116,full,69.56280525304244,72.23900072638321,0,188.31365990725237,0.595,200,clock-like (age),476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS31,OV2085,57.43305084296519,471.27990258252083,0.12186611507989924,full,50.949829519600904,58.34588720137265,0,98.5041473171973,0.81,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS87,OV2085,55.44611953721375,471.27990258252083,0.11765008274993259,full,46.54379728291493,47.32870795989828,0,87.80680698907585,0.895,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS15,OV2085,54.921204748450684,471.27990258252083,0.11653627588932464,full,39.31743651974197,45.34280213910988,0,82.52628659561377,0.735,200,MMR-d / MSI,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS29,OV2085,50.374088098116125,471.27990258252083,0.10688783421927409,full,36.03347510752649,41.541378294561696,0,85.64973699389945,0.68,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS3,OV2085,45.85052976756101,471.27990258252083,0.0972893805068053,full,37.73389312753278,0,0,200.80520230044857,0.385,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS39,OV2085,44.785555979631766,471.27990258252083,0.09502963256912879,full,42.562160869292256,48.22088044734967,0,103.70404710948766,0.65,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
SBS30,OV2085,39.772656286410786,471.27990258252083,0.084392854582732,full,30.970782571342223,35.35377798997897,0,71.55570034379232,0.655,200,other,476,COSMIC_v3.2,GRCh38,3.18.0,fit_to_signatures_strict(method='backwards'),0.004,200,58c63a68196bddc66383c4d3e332e3e326edecd8c023d2463b0d8179b1d0aae1,HGS,FALSE
