cell_line,subtype,depmap_ACH,depmap_name,depmap_RRID,depmap_oncotree_subtype,self_spearman,self_rank_of67,n_depmap_ovarian,best_nonself_name,best_nonself_ACH,best_nonself_subtype,best_nonself_spearman,margin_self_minus_best_nonself,nonself_median,nonself_sd,self_z_vs_nonself,reciprocal_best,depmap_best_our,depmap_best_our_2nd,reciprocal_margin,self_spearman_allgenes,self_rank_of67_allgenes,n_hvg,n_shared_entrez,depmap_release,collapse_note,hvg_note
OV90,HGS,ACH-000291,OV90,CVCL_3768,Serous Ovarian Cancer,0.8886915237932664,1,67,OVCAR5,ACH-001151,High-Grade Serous Ovarian Cancer,0.4499064465406935,0.43878507725257293,0.3031610766346401,0.05093265715645229,11.496169252666798,TRUE,OV90,VOA8762,0.2544773748177268,0.9475773364789387,1,2000,19062,DepMap Public 24Q4,ours: sum linear TPM per Entrez then log2(x+1); DepMap: mean of log2(TPM+1) — asymmetric by construction,HVGs selected on the COMBINED 31+67 matrix; inflates absolute rho for self AND non-self alike
TOV21G,CC,ACH-000885,TOV21G,CVCL_3613,Clear Cell Ovarian Cancer,0.8186973671671315,1,67,OVTOKO,ACH-000663,Clear Cell Ovarian Cancer,0.5847251453948473,0.23397222177228416,0.3901664004888812,0.07807795737536384,5.488501250334527,TRUE,TOV21G,VOA12539,0.2553486842650955,0.9347176130021442,1,2000,19062,DepMap Public 24Q4,ours: sum linear TPM per Entrez then log2(x+1); DepMap: mean of log2(TPM+1) — asymmetric by construction,HVGs selected on the COMBINED 31+67 matrix; inflates absolute rho for self AND non-self alike
TOV112D,EC,ACH-000048,TOV112D,CVCL_3612,Endometrioid Ovarian Cancer,0.8426045405801098,1,67,A2780,ACH-000657,Endometrioid Ovarian Cancer,0.6336081535982401,0.20899638698186973,0.3006254472450336,0.12694083619955507,4.269540910247887,TRUE,TOV112D,BIN67,0.2668983530046417,0.9462901583862201,1,2000,19062,DepMap Public 24Q4,ours: sum linear TPM per Entrez then log2(x+1); DepMap: mean of log2(TPM+1) — asymmetric by construction,HVGs selected on the COMBINED 31+67 matrix; inflates absolute rho for self AND non-self alike
COV434,SCCOHT,ACH-000123,COV434,CVCL_2010,Small Cell Carcinoma of the Ovary,0.8227535638031122,1,67,BIN67,ACH-001278,Small Cell Carcinoma of the Ovary,0.6817980415877982,0.14095552221531393,0.234082442853234,0.1220436981710091,4.823445452505259,TRUE,COV434,BIN67,0.1192177960059364,0.9483842317916596,1,2000,19062,DepMap Public 24Q4,ours: sum linear TPM per Entrez then log2(x+1); DepMap: mean of log2(TPM+1) — asymmetric by construction,HVGs selected on the COMBINED 31+67 matrix; inflates absolute rho for self AND non-self alike
BIN67,SCCOHT,ACH-001278,BIN67,CVCL_S987,Small Cell Carcinoma of the Ovary,0.7392612108800652,1,67,COV434,ACH-000123,Small Cell Carcinoma of the Ovary,0.7035357677971757,0.035725443082889496,0.25607923554263445,0.11927929301786765,4.050845399167915,TRUE,BIN67,COV434,0.057463169292267025,0.9170015945080374,1,2000,19062,DepMap Public 24Q4,ours: sum linear TPM per Entrez then log2(x+1); DepMap: mean of log2(TPM+1) — asymmetric by construction,HVGs selected on the COMBINED 31+67 matrix; inflates absolute rho for self AND non-self alike
