gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,symbol,subtype,n_group,evidence
ENSG00000223531,11.959636911995684,-6.06956807666613,2.170865222318854,-2.795921190437975,0.005175201850491271,0.06366180506103386,TRIM31,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000184995,31.58016750642673,-7.468148228886751,2.6715463342868246,-2.7954402785532784,0.005182907682068021,0.06371659908268816,IFNE,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000119402,2966.46947304207,-1.2680727800696576,0.45378576791205083,-2.7944304774129134,0.005199121855337767,0.06387585697630024,FBXW2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000186106,610.4415650234325,1.5009812631885986,0.5373033162902896,2.7935455034073553,0.0052133693730585995,0.06398776467405734,ANKRD46,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000214706,6384.770947049317,-1.823840864589922,0.6528969117146555,-2.7934591692279596,0.005214761185163787,0.06398776467405734,IFRD2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000025800,5316.612679880874,-1.0178127534912518,0.36461113664092215,-2.79150209965643,0.005246401724925194,0.06433572478199881,KPNA6,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000180318,51.57371468016512,-8.173003893271304,2.929051862263894,-2.790324063075587,0.005265530916885067,0.06452992110524064,ALX1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000166426,39.83089860020986,-7.802713248023413,2.797691506233846,-2.7889827132967753,0.005287388716645173,0.06475729330711176,CRABP1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000087266,3591.416837791998,-2.064749149820627,0.7404009603932793,-2.7886905342800916,0.005292160740483222,0.06477525413523375,SH3BP2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000282684,77.94728523156016,-8.768549655656981,3.1452923761420846,-2.7878329284008263,0.005306190093229652,0.0649064301291687,ZC3H3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000213676,917.4065855950578,-2.907198378823886,1.0429369198910374,-2.7875112323453086,0.005311461293202718,0.06491264690882846,ATF6B,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000230596,127.55690605883139,-4.307246608502855,1.5452573106671736,-2.7873976578329063,0.005313323415072508,0.06491264690882846,GPAA1P2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000274049,204.7543435094308,-3.044217622942578,1.0924736771725263,-2.7865363592296672,0.005327464120631468,0.06504485165600889,INO80B-WBP1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000233841,5517.479321033344,-6.518606230058388,2.3399600281459425,-2.7857767447520794,0.005339963583615275,0.06515686574378887,HLA-C,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000091986,7124.449834587133,-4.41697113796519,1.5861649043417554,-2.784685959117343,0.00535795879380424,0.06517353229260577,CCDC80,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000129103,10626.700988235852,1.1112486392253662,0.39905277791710725,2.78471595919124,0.005357463136853667,0.06517353229260577,SUMF2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000164002,647.0841049141051,-2.092392175824698,0.7513169661289398,-2.7849659599802052,0.005353334269364907,0.06517353229260577,EXO5,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000175352,397.7834283438795,-3.8684913948985056,1.3890804125510028,-2.7849297707640566,0.005353931771464815,0.06517353229260577,NRIP3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000284912,138.91596127784055,-5.569544595207847,1.999581492853847,-2.7853551431199084,0.005346912465397592,0.06517353229260577,AC243837.2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000215375,736.9149546576108,-1.9130988840098715,0.687513272877305,-2.7826355642610072,0.005391933417290545,0.06554610871291906,MYL5,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000071655,7735.385409070258,-1.359414906412093,0.4885955373682638,-2.7822908775105657,0.005397663866523282,0.0655750905941663,MBD3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000166920,416.25687377481404,-4.205760935715781,1.5117657758619274,-2.7820188833934165,0.005402189674939241,0.06558941070019167,C15orf48,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000130287,23.592323324478823,-5.4935611565589095,1.9751115378072688,-2.7813928739729588,0.005412619092025484,0.06563470527681398,NCAN,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000160180,97.28754621216352,-8.566726416643835,3.079868839426801,-2.7815231307831283,0.005410447496185813,0.06563470527681398,TFF3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000068323,5964.818355258296,-1.4949012401990278,0.5375832968070661,-2.7807806698568887,0.005422836088820925,0.06567731520181387,TFE3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000228696,97.3851469747294,-2.812901760376138,1.011531110838632,-2.780835636428464,0.005421918047734745,0.06567731520181387,ARL17B,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000158055,257.40652241849375,-4.310674867166962,1.5503492897643432,-2.7804539890634548,0.005428295144586586,0.0657028237512778,GRHL3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000000003,3722.82052554195,-1.851827358027989,0.6660891302986154,-2.7801494932033997,0.005433387942045862,0.06572387043971031,TSPAN6,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000158865,10.443213994511376,-5.879615824026101,2.115937133063873,-2.7787289764665304,0.00545720361678398,0.06597122891702582,SLC5A11,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000168913,235.85005448247304,-4.053472981713097,1.4598849969798824,-2.776570065517945,0.0054935793071275016,0.06637002472408787,ENHO,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000124479,36.83337954663452,-5.3259572456636874,1.9191309349239127,-2.7751922230750994,0.005516908960343402,0.06661081206832366,NDP,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000078725,32.2233482152486,-7.495530084759403,2.7020833869656187,-2.77398178047226,0.005537477935912712,0.06666005179560132,BRINP1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000109667,294.24848691630194,-4.21464450753884,1.5193649628031984,-2.7739513617339866,0.005537995729906049,0.06666005179560132,SLC2A9,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000116544,212.64806132260796,-3.3226603355665496,1.1977243204285464,-2.774144499610478,0.005534708839288803,0.06666005179560132,DLGAP3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000197360,17.516910892842173,-6.615645047611568,2.3845303805526714,-2.7744016606231017,0.005530335112309705,0.06666005179560132,ZNF98,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000283236,26.11716057085315,-5.030927153047637,1.8133875151648733,-2.774325460485055,0.005531630778946614,0.06666005179560132,AC074141.1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000176978,4969.747712100371,-2.9294306400503993,1.056259340397288,-2.7734009329077844,0.0055473727938830895,0.06669099218952947,DPP7,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000267318,11.540407815425604,-3.5458632743887812,1.278485103064864,-2.7734881430283522,0.005545886134270257,0.06669099218952947,AC005702.1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000145901,15806.644473304807,-2.407241521326456,0.86808690513333,-2.77304208494739,0.005553493813609448,0.06671778790519914,TNIP1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000197568,403.04904089356205,-1.9079094837812693,0.6880627889213321,-2.772871189230094,0.005556410995166615,0.06671778790519914,HHLA3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000005379,361.6109492414762,-4.671193787063966,1.6854601291371138,-2.7714650179565057,0.005580466818026024,0.06696560181631228,TSPOAP1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000116183,23.445208243834205,-7.038763981325599,2.540232670578355,-2.770913098965469,0.0055899343249620264,0.06703815975027899,PAPPA2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000188396,22.6498495122545,-4.235884695922026,1.5292074999592795,-2.769986869692191,0.00560585524750587,0.06716237452753834,TCTEX1D4,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000275400,11.395465242172083,-5.991247102799712,2.162973926076693,-2.7699118470960613,0.005607146597624655,0.06716237452753834,AC006001.4,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000119714,64.5365254560257,-3.3666700351989034,1.2157303693173356,-2.7692571643903054,0.005618426925344557,0.06725637998109465,GPR68,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000102572,8671.64774378653,-2.5882712002550483,0.9348584196278845,-2.768623725168241,0.00562936070688786,0.06734612479375733,STK24,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000225989,1661.162164184767,-1.7359914550002633,0.6270839269208047,-2.7683558459623923,0.005633990336999218,0.06736038721405532,ABCF1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000213977,8076.917892086572,-1.704404633545108,0.6161790125717075,-2.7660868007034867,0.005673343154786066,0.06774822209700655,TAX1BP3,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000233913,213.49986610561714,-5.324942204885828,1.9250537526980858,-2.7661265029210647,0.005672652460041858,0.06774822209700655,RPL10P9,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000152766,49.79846858677596,-4.4704730748824275,1.6166680714476027,-2.7652386744296003,0.005688116036601101,0.0678832654404599,ANKRD22,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000268869,39.743059929710235,-4.383647263773173,1.5854275491831975,-2.7649622122635633,0.005692939018642417,0.06789947231242653,ESPNP,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000109436,1537.6255184935524,1.5811703004648683,0.5723729754048678,2.762482451842574,0.005736364526793714,0.06833973852842279,TBC1D9,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000284832,6685.519178619058,-1.6958797538645154,0.6139028769231147,-2.7624561109149317,0.005736827407596218,0.06833973852842279,POLR2A,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000158457,1678.6199723660989,2.588026538816391,0.9369425048546752,2.7622042178754693,0.005741255545895026,0.06835093783557651,TSPAN33,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000125459,3297.2554885245813,0.9688719016103011,0.35086407130119596,2.7613881866478778,0.00575562209209378,0.0684803706840739,MSTO1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000176933,46.136760738336044,-3.8162865503449352,1.382457182875593,-2.7605097630632094,0.0057711233032406595,0.06862313850139803,TOB2P1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000002726,232.58183957432394,-5.283677888081418,1.914582241351065,-2.7597027560189216,0.005785397420882179,0.06875115091546828,AOC1,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000263961,729.9372162599253,4.251815908118767,1.5410216267690624,2.7590890577137532,0.005796273646960631,0.06883865356717608,RHEX,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000166589,1322.167869471938,5.792975150258276,2.0998094479617464,2.7588099271966944,0.005801226614963203,0.06885574606106537,CDH16,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000004455,9927.835561895497,-1.569327352120958,0.568898299381578,-2.758537604747454,0.005806062455865392,0.06886607638028684,AK2,MMMT,2,"descriptive; model-level, source-confounded"
ENSG00000117133,1416.3308679031313,-1.319198709939404,0.47825382280469847,-2.758365217455077,0.005809125548918869,0.06886607638028684,RPF1,MMMT,2,"descriptive; model-level, source-confounded"
