gene_id,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV4453,OV4485,OV866-2,TOV1369,TOV3041G,TOV3133G,TOV3291G,OV3331,OV90,TOV21G,TOV3392D,VOA10816,VOA12539,VOA295,VOA4841,VOA6861,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
ENSG00000163875,1925,1764,4915,2790,1875,2127,4323,2445,1622,1573,3859,2028,1402,2571,2249,2471,2921,1531,3175,3718,2026,2260,2266,1868,2088,2711,1798,1352,2810,1974,1283
ENSG00000163877,991,962,3094,1240,891,979,2720,2064,628,1011,1723,943,778,1260,866,1105,1030,981,1482,1369,1397,1416,820,776,1309,1636,1026,541,1278,710,944
ENSG00000163879,1,7,3472,1458,2,3,19,3,6,3,104,3,0,1327,191,703,5,11,8,86,16,13,7,6,10,1242,1096,845,139,2,8
ENSG00000163882,3568,1679,13260,5281,25864,5962,4398,4943,4154,7199,5537,7048,2498,5998,1588,3091,1944,2495,6340,6371,3065,4512,2360,2375,3970,5655,2758,2381,4435,3951,3720
ENSG00000163884,717,108,2402,2118,1870,790,669,3808,273,896,6569,963,592,355,311,824,233,298,588,605,776,568,347,452,1984,1123,694,173,582,194,316
ENSG00000163885,1,6,14,38,0,1,149,13,6,11,2,5,1,27,4,4,3,3,13,2,2,3,0,9,4,8,7,7,7,4,3
ENSG00000163888,211,54,236,85,2498,206,845,378,209,482,417,281,38,858,13,730,165,547,324,1778,44,1117,71,599,421,58,45,63,1208,227,93
ENSG00000163898,1434,37,13,271,665,578,371,37,931,632,316,255,32,29,2960,390,46,1174,7,446,535,883,1,2,2623,11947,3226,1592,6746,10,8
ENSG00000163900,2364,1732,6925,2770,8038,3961,3565,2336,1733,3258,3615,4116,870,2012,2427,1306,2105,2366,1579,1771,3007,2489,831,940,1755,7620,3918,3246,3186,1003,1560
ENSG00000163902,44240,13269,32979,47743,55199,45222,19720,48181,32215,45514,49365,29567,13359,45393,26039,26324,14038,16879,23989,28858,27921,42333,11892,25312,28418,32794,15782,32502,63318,15990,16732
ENSG00000163904,2914,2040,4144,2071,4215,1744,4688,2828,748,1448,1903,1725,1090,2317,1950,2092,946,1979,2662,2411,3097,3536,2656,1544,1477,5724,2975,1628,4624,1805,2136
ENSG00000163909,130,1003,1428,32,404,11,630,819,4,50,45,42,52,191,16,4,619,85,15,87,55,506,1,11,6,755,746,113,1058,67,99
ENSG00000163913,2749,896,3689,2292,2231,1722,2510,1653,1870,2963,3465,1370,1174,3212,401,2676,873,1222,1860,2660,877,5478,1279,878,1699,3008,1354,2095,4969,1472,1153
ENSG00000163914,0,0,1,7,0,1,0,9,0,0,0,2,0,0,0,13,0,1,1,3,0,0,0,1,0,5,11,0,18,0,0
ENSG00000163918,3234,949,1651,3701,5076,1490,2112,1845,893,2559,4392,2240,866,1336,1150,1834,251,771,2394,4210,708,3171,2274,642,602,3172,2130,1659,3080,1049,3304
ENSG00000163923,2674,873,6211,4229,13316,5082,1208,3407,1685,5013,6844,3657,2187,3379,350,2030,15,13,742,1630,469,769,1468,378,2113,533,228,839,1324,929,1172
ENSG00000163930,9564,5531,15571,7033,11533,8829,5790,5361,6025,7853,11646,7876,7239,9104,3246,5707,9173,3879,13602,6755,7266,5162,5638,4974,10992,4380,4942,2060,4028,4790,5957
ENSG00000163931,69296,16294,41124,15385,56690,33807,54902,11387,48465,59781,50559,29456,19081,18529,6240,49107,130644,26435,31368,81870,25428,27632,9454,22610,64084,15881,15541,14785,18528,13877,14472
ENSG00000163932,2473,1406,807,1999,2157,2673,3471,1209,3022,1607,2866,2967,2159,2986,937,1911,3502,1606,2452,2711,1462,1830,984,417,5708,2034,1756,958,1785,1119,437
ENSG00000163933,4453,1277,2811,1967,2660,1878,1542,1511,2379,2385,5268,1976,1964,2061,1121,1954,1507,1946,3199,2319,3275,2950,1452,1678,3295,1735,1760,810,1349,1361,2192
ENSG00000163935,1728,865,876,1210,2031,1595,2084,1603,1852,1412,2058,1235,1589,2400,740,1339,1304,2042,1772,2337,2363,2143,1407,426,2223,2006,1912,644,1273,1295,2448
ENSG00000163938,3251,3850,2149,1190,4916,1913,4986,619,1760,733,3142,2407,1200,1492,2635,2993,1491,4220,10945,8751,7228,5049,6532,5996,1118,7657,3538,1819,3143,4581,7446
ENSG00000163939,786,1812,1591,628,662,540,4489,391,746,282,571,1114,730,1369,1629,1829,873,2374,4639,2555,3685,3598,5249,3783,812,3545,2977,721,1640,2609,3731
ENSG00000163945,781,820,317,540,264,166,1677,656,311,240,1198,703,253,512,1392,965,612,1695,3064,4075,4150,1319,2508,1447,1058,3642,2026,482,1171,2551,1229
ENSG00000163946,526,2144,1147,629,1240,827,1823,301,539,451,580,1417,637,1215,875,951,718,3859,4394,5920,4330,4228,7577,3950,731,4009,3796,1894,3811,5209,4877
ENSG00000163947,481,379,734,628,631,1538,1380,789,319,427,1688,1146,714,1579,283,1358,1122,1890,1154,1157,635,531,552,918,2046,779,971,355,338,270,341
ENSG00000163950,6135,2132,2310,5242,6548,3703,10608,5031,2448,2595,16684,4678,2086,4216,2633,5390,1843,3548,5349,6711,2396,5478,5092,2506,4330,6604,8061,1738,3185,3489,4287
ENSG00000163956,11733,3378,9938,23282,7976,5590,16814,9865,5790,10360,18046,8242,5057,10962,9445,15250,5256,14194,17005,15226,18335,9464,4262,13790,14133,27190,18011,5671,5549,6473,6369
ENSG00000163958,135,3,13,2,13,41,0,54,41,13,0,53,10,25,3,1,5,18,8,39,11,8,1,0,1,20,4,34,62,20,52
ENSG00000163959,80,54,81,65,89,85,160,105,17,187,93,56,33,173,52,59,22,112,138,112,137,239,44,86,66,145,57,75,107,93,97
ENSG00000163960,2950,3324,2258,1197,2151,517,6952,1170,849,1148,1168,1034,702,1669,1770,2054,544,1741,2431,3151,3080,3196,3235,2894,975,3967,2465,1013,2548,1941,2422
ENSG00000163961,2494,1332,1172,1081,2524,510,4631,910,585,869,702,1134,286,666,799,1199,411,897,1466,2720,976,1447,1497,726,611,2407,983,623,1016,1379,1047
ENSG00000163964,3511,690,1070,1011,2945,729,2809,1289,872,1736,2809,903,838,1445,910,1450,999,1244,2387,1796,1239,2672,1032,782,549,2439,2338,1181,2475,1667,1458
ENSG00000163975,5553,958,567,3949,7622,479,5159,1891,173,8568,3454,612,4771,2522,518,158,313,1554,2224,4413,12556,3649,1662,188,36354,4742,3350,745,1502,1162,522
ENSG00000163993,0,16,454,65,69,121,69,66,1,12,31,87,3,15,54889,312,27019,25025,3,18,28,2,3,23,41,1786,1086,8,4,3,1
ENSG00000163995,105,8,478,74,16,280,1001,325,14,390,971,283,27,997,0,147,151,3,57,275,18,32,66,33,61,32,134,19,115,54,128
ENSG00000164002,787,844,841,717,995,262,2145,583,496,541,1639,301,806,481,537,506,133,381,824,4,602,817,462,248,783,1046,820,152,177,593,773
ENSG00000164007,0,4,42,5,5,0,0,4,0,2,3,1,1,1,0,139,0,3,1,1,7,1,1,0,0,31,47,3,8,0,3
ENSG00000164008,666,618,1043,630,588,272,875,801,266,294,717,279,730,463,355,669,432,476,542,466,442,454,425,378,529,567,322,200,597,336,410
ENSG00000164010,574,771,671,1912,669,375,434,722,356,531,624,234,861,607,512,846,448,612,1498,806,1136,1346,750,884,1462,1640,691,656,860,1305,698
ENSG00000164011,644,1231,1371,1323,869,379,1076,708,353,573,714,539,1071,594,399,607,1014,571,827,777,513,628,450,471,327,912,534,279,806,408,507
ENSG00000164022,1247,989,720,937,3005,1511,1055,338,425,673,1955,1595,785,671,2991,1010,3458,2051,4657,3820,2977,3413,2234,1495,640,2765,2647,3061,5580,2094,2705
ENSG00000164023,455,629,81,152,803,1345,1084,149,151,282,444,2119,207,401,2396,540,1151,1362,1006,1576,3601,1596,1026,151,807,1330,883,1161,4255,2289,170
ENSG00000164024,4237,2103,566,1682,4792,1679,4503,1759,1345,1337,3775,1487,1624,3780,3451,5937,3540,2196,3741,6350,2912,2526,3923,2654,3289,4156,2541,2139,3884,2645,3361
ENSG00000164031,116,402,219,166,638,184,351,25,80,88,96,188,106,156,2196,350,269,1471,2068,3446,5810,2945,3170,3575,258,2046,2240,1741,4193,2933,2181
ENSG00000164032,30604,12572,18706,36156,53906,13570,21896,12250,12155,17956,50979,12468,18272,19639,18647,23394,1879,4225,16094,30554,5062,14927,20762,11281,18019,12930,18205,7392,15043,13645,15376
ENSG00000164035,9,6,6,1,5,2,12,6,5,9,43,11,7,2,43,17,6,22,42,33,46,41,25,20,13,50,30,15,23,83,16
ENSG00000164037,13,9,29,8,8,5,14,16,3,6,15,17,12,20,27,83,9,23,29,40,35,23,85,25,9,32,27,16,32,26,45
ENSG00000164038,967,670,184,84,100,51,275,32,245,69,191,46,152,96,1192,749,29,377,568,4,367,210,1745,454,383,294,727,421,33,1453,1582
ENSG00000164039,551,500,488,669,595,88,709,213,391,287,393,86,381,681,463,2128,45,479,1333,267,341,654,1287,765,711,1143,402,451,2464,68,104
ENSG00000164040,7025,2236,1425,1158,1507,1297,3690,1497,2977,1277,2719,1691,2063,3530,4495,8758,1386,3339,5873,12461,20927,6732,2398,4697,4673,5110,3777,6738,10406,3615,4085
ENSG00000164045,2923,539,863,2471,3781,681,5550,864,2221,1347,4579,938,2134,1672,412,2351,48,810,1253,1171,261,2236,892,585,1229,1922,1616,251,444,812,3605
ENSG00000164047,4,0,0,1,2,2,12,0,0,0,2,1,1,1,1,1,0,55,0,9,13,2,0,0,0,26,8,0,0,1,0
ENSG00000164048,217,607,888,603,347,246,1250,435,337,128,420,536,437,855,120,1172,453,569,1119,1154,562,717,1470,556,1090,1199,572,142,280,1046,1201
ENSG00000164049,17,12,25,24,12,14,33,31,14,7,18,40,6,53,16,16,15,133,135,161,84,180,30,23,12,148,89,37,107,39,34
ENSG00000164050,2249,743,14084,12779,3374,10131,19987,6605,1900,4981,5139,11387,2735,17845,2292,8562,5909,8860,29399,14281,10441,19991,1090,1445,10135,27178,11338,7045,14676,2916,321
ENSG00000164051,2141,957,7649,2645,2819,2663,2173,2083,1793,1482,3152,3210,1136,2511,1004,1431,2225,1549,6847,1767,2298,1549,1093,1096,2107,2943,2590,642,2608,640,739
ENSG00000164053,1284,470,1342,584,1525,756,1261,517,810,976,1925,967,936,1089,222,1134,859,754,792,1975,759,1598,688,421,1146,1338,689,358,570,730,1365
ENSG00000164054,14517,4662,10958,6642,15767,7967,11145,4118,7601,6843,4538,5176,7660,19214,2789,11808,5910,11588,16075,17134,14652,19057,4744,10894,19415,21176,11824,5434,7520,8293,8658
