subtype,symbol,gene_id,log2FoldChange,padj,n_group,evidence
HGS,SYNDIG1,ENSG00000101463,9.532175031441545,2.1640904282771615e-13,15,"descriptive; model-level, source-confounded"
HGS,UMPS,ENSG00000114491,1.6154957656418365,1.1770614518932123e-12,15,"descriptive; model-level, source-confounded"
HGS,PEA15,ENSG00000162734,2.38727988892208,1.7842725934314267e-12,15,"descriptive; model-level, source-confounded"
HGS,FLI1,ENSG00000151702,5.551944212961211,2.1795392510521873e-12,15,"descriptive; model-level, source-confounded"
HGS,PPIE,ENSG00000084072,1.6108589426855213,6.570724855392516e-12,15,"descriptive; model-level, source-confounded"
HGS,MRPL2,ENSG00000112651,1.844726284405152,7.680908353005892e-12,15,"descriptive; model-level, source-confounded"
HGS,GAS7,ENSG00000007237,4.739274725695134,1.1754996095314232e-11,15,"descriptive; model-level, source-confounded"
HGS,ISG20L2,ENSG00000143319,1.318121336604379,4.6469508426040734e-11,15,"descriptive; model-level, source-confounded"
HGS,FOXL2,ENSG00000183770,5.414840988656518,5.054231408615412e-11,15,"descriptive; model-level, source-confounded"
HGS,MEPCE,ENSG00000146834,1.6269797514246604,5.07931657374526e-11,15,"descriptive; model-level, source-confounded"
HGS,EEF1AKMT4,ENSG00000284753,2.496890357433634,7.310799956972455e-11,15,"descriptive; model-level, source-confounded"
HGS,METTL13,ENSG00000010165,1.4717869084814355,8.675382774621233e-11,15,"descriptive; model-level, source-confounded"
HGS,CRTAC1,ENSG00000095713,4.921846933206615,8.675382774621233e-11,15,"descriptive; model-level, source-confounded"
HGS,NDUFB4P11,ENSG00000259374,6.280987568657441,1.1073495150021032e-10,15,"descriptive; model-level, source-confounded"
HGS,ERI3,ENSG00000117419,1.681979688718974,1.2407070353661565e-10,15,"descriptive; model-level, source-confounded"
HGS,CTHRC1,ENSG00000164932,4.433125727134108,1.3192831828249224e-10,15,"descriptive; model-level, source-confounded"
HGS,NXT1,ENSG00000132661,1.674904719560391,1.34233044165888e-10,15,"descriptive; model-level, source-confounded"
HGS,FAM107A,ENSG00000168309,6.2588940289356545,1.4854595929591636e-10,15,"descriptive; model-level, source-confounded"
HGS,PPIH,ENSG00000171960,1.3828513221307195,1.6117637125773974e-10,15,"descriptive; model-level, source-confounded"
HGS,HPDL,ENSG00000186603,3.533268571373471,1.6117637125773974e-10,15,"descriptive; model-level, source-confounded"
HGS,SDR16C5,ENSG00000170786,5.511504943800066,2.4118539071542516e-10,15,"descriptive; model-level, source-confounded"
HGS,ISY1,ENSG00000240682,1.312280076388997,2.425036857960489e-10,15,"descriptive; model-level, source-confounded"
HGS,CALML5,ENSG00000178372,9.600943285124256,2.872618539434969e-10,15,"descriptive; model-level, source-confounded"
HGS,KCNJ5,ENSG00000120457,4.904838976668045,3.495391075777465e-10,15,"descriptive; model-level, source-confounded"
HGS,MCUR1,ENSG00000050393,1.118075290999585,3.7935144965337295e-10,15,"descriptive; model-level, source-confounded"
HGS,NCBP2-AS2,ENSG00000270170,1.7673714326297487,3.85876867180616e-10,15,"descriptive; model-level, source-confounded"
HGS,SSU72,ENSG00000160075,1.4451270875556033,4.0101175638836915e-10,15,"descriptive; model-level, source-confounded"
HGS,MRPL11,ENSG00000174547,1.7030868940767874,4.0101175638836915e-10,15,"descriptive; model-level, source-confounded"
HGS,RBM38,ENSG00000132819,2.764802655694979,4.968955669918182e-10,15,"descriptive; model-level, source-confounded"
HGS,SSSCA1,ENSG00000173465,2.1238051374139606,5.573551889415831e-10,15,"descriptive; model-level, source-confounded"
HGS,LRIG1,ENSG00000144749,2.8393375179733034,5.970804621450681e-10,15,"descriptive; model-level, source-confounded"
HGS,AP2M1,ENSG00000161203,1.8469163152475931,7.72154462408949e-10,15,"descriptive; model-level, source-confounded"
