level,id,subtype,n,spearman,pearson,p_value,q_value,inference_note
per_line,OV1369-R2,HGS,7682,0.4017,0.4107,NA,NA,NA
per_line,OV1946,HGS,7599,0.4353,0.432,NA,NA,NA
per_line,OV2085,HGS,7704,0.3348,0.3479,NA,NA,NA
per_line,OV2295,HGS,7599,0.3572,0.3711,NA,NA,NA
per_line,OV2295-R2,HGS,7509,0.384,0.3967,NA,NA,NA
per_line,OV3133-R,HGS,7682,0.3832,0.3943,NA,NA,NA
per_line,OV4453,HGS,7643,0.4275,0.4322,NA,NA,NA
per_line,OV4485,HGS,7704,0.3326,0.3462,NA,NA,NA
per_line,OV866-2,HGS,7682,0.3825,0.3968,NA,NA,NA
per_line,TOV1369,HGS,7704,0.3404,0.362,NA,NA,NA
per_line,TOV3041G,HGS,7509,0.3721,0.3839,NA,NA,NA
per_line,TOV3133G,HGS,7643,0.3535,0.3701,NA,NA,NA
per_line,TOV3291G,HGS,7704,0.364,0.3791,NA,NA,NA
per_line,OV3331,HGS,7643,0.3628,0.3789,NA,NA,NA
per_line,OV90,HGS,7599,0.4418,0.445,NA,NA,NA
per_line,TOV21G,CC,7599,0.405,0.4171,NA,NA,NA
per_line,TOV3392D,CC,7682,0.3801,0.3912,NA,NA,NA
per_line,VOA10816,CC,7682,0.468,0.4691,NA,NA,NA
per_line,VOA12539,CC,7704,0.4525,0.4545,NA,NA,NA
per_line,VOA295,CC,7704,0.4432,0.4383,NA,NA,NA
per_line,VOA4841,CC,7509,0.4211,0.4252,NA,NA,NA
per_line,TOV112D,EC,7643,0.4745,0.4515,NA,NA,NA
per_line,VOA4395,EC,7682,0.4536,0.4416,NA,NA,NA
per_line,TOV2414,MC,7599,0.3383,0.3601,NA,NA,NA
per_line,VOA8762,MC,7643,0.4382,0.4451,NA,NA,NA
per_line,VOA8771,MC,7599,0.4476,0.4449,NA,NA,NA
per_line,VOA5217,MMMT,7643,0.4456,0.4478,NA,NA,NA
per_line,VOA5436,MMMT,7599,0.4385,0.4369,NA,NA,NA
per_line,BIN67,SCCOHT,7509,0.44,0.431,NA,NA,NA
per_line,COV434,SCCOHT,7682,0.4804,0.4588,NA,NA,NA
per_gene,A1CF,NA,13,0.3626,0.8246,0.2233,0.3102,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,A2M,NA,30,0.2561,0.4812,0.1719,0.2516,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAAS,NA,30,0.2071,0.2195,0.2721,0.3641,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AACS,NA,30,0.4509,0.4133,0.01238,0.03046,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAGAB,NA,30,0.6214,0.6403,2.477e-4,0.001372,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAK1,NA,30,0.4158,0.4551,0.0223,0.0484,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAMDC,NA,30,0.62,0.7178,2.577e-4,0.001422,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAMP,NA,30,0.2022,0.1743,0.2839,0.3762,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AAR2,NA,30,0.0785,0.2222,0.68,0.7463,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AARS,NA,30,0.1577,0.1915,0.4052,0.4976,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AARS2,NA,30,0.4999,0.5527,0.004911,0.01441,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AARSD1,NA,30,0.4496,0.4123,0.01268,0.03099,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AASDHPPT,NA,30,0.7882,0.8449,2.323e-7,6.616e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AASS,NA,30,0.6254,0.7818,2.197e-4,0.001251,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,AATF,NA,30,0.2992,0.3129,0.1082,0.1721,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABAT,NA,30,0.7717,0.7924,5.931e-7,1.35e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCA1,NA,20,0.2496,0.2304,0.2885,0.3809,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCA3,NA,17,-0.0588,-0.0528,0.8226,0.8627,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB1,NA,30,0.0867,0.6958,0.6486,0.7183,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB10,NA,30,0.6681,0.6958,5.479e-5,4.224e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB4,NA,17,0.2269,0.0424,0.3812,0.4751,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB6,NA,30,0.7406,0.727,2.877e-6,4.386e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB7,NA,30,-0.1177,-0.0164,0.5357,0.6176,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCB8,NA,30,0.3419,0.3065,0.06439,0.1138,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC1,NA,30,0.3357,0.2896,0.06973,0.1209,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC2,NA,14,0.5824,0.8739,0.02885,0.05979,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC3,NA,23,0.5702,0.5913,0.004504,0.01342,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC4,NA,30,0.5266,0.591,0.002795,0.009191,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCC5,NA,30,0.0474,0.2034,0.8036,0.8483,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCD1,NA,30,0.6289,0.5843,1.973e-4,0.001155,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCD3,NA,30,0.3317,0.373,0.07334,0.1258,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCD4,NA,30,0.4527,0.434,0.012,0.02975,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCE1,NA,30,0.7099,0.7547,1.115e-5,1.23e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCF1,NA,30,0.5199,0.5743,0.003232,0.01029,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCF2,NA,30,0.1435,0.2551,0.4494,0.5408,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABCF3,NA,30,0.2952,0.3822,0.1132,0.1786,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD10,NA,30,0.0461,0.254,0.8091,0.8527,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD11,NA,30,0.6752,0.7272,4.254e-5,3.459e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD12,NA,30,0.7023,0.7052,1.517e-5,1.554e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD13,NA,30,0.038,0.0231,0.8418,0.8787,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD14B,NA,30,0.6578,0.6327,7.795e-5,5.522e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD16A,NA,30,0.3771,0.8346,0.03996,0.07812,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD17B,NA,30,0.3855,0.3491,0.03537,0.07047,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD3,NA,19,0.3509,0.3586,0.1408,0.2134,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABHD6,NA,30,0.3326,0.3193,0.07253,0.1249,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABI1,NA,30,0.1333,0.2162,0.4827,0.5712,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABI2,NA,30,0.6703,0.6699,5.066e-5,3.951e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABL1,NA,30,0.3495,0.3833,0.05834,0.1055,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABL2,NA,11,0.5364,0.4997,0.08895,0.1473,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABLIM1,NA,30,0.8959,0.8781,2.256e-11,1.0660000000000001e-08,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABR,NA,30,0.5737,0.6044,9.169e-4,0.003824,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABRAXAS1,NA,30,-0.2761,-0.2513,0.1397,0.2121,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABRAXAS2,NA,30,0.4852,0.4207,0.006573,0.01829,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABT1,NA,30,0.6445,0.7199,1.211e-4,7.869e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ABTB2,NA,13,0.8571,0.8161,1.809e-4,0.001082,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAA1,NA,30,0.7753,0.7084,4.875e-7,1.169e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAA2,NA,30,0.6396,0.6443,1.416e-4,8.898e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACACA,NA,30,0.3188,0.3816,0.08597,0.1431,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAD10,NA,30,0.2952,0.4171,0.1132,0.1786,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAD11,NA,30,0.507,0.5162,0.004244,0.01279,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAD8,NA,30,0.5907,0.6068,5.896e-4,0.002715,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAD9,NA,30,0.7615,0.8031,1.023e-6,1.989e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACADM,NA,30,0.3117,0.23,0.09361,0.1533,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACADS,NA,30,0.7117,0.7131,1.036e-5,1.162e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACADSB,NA,30,0.4892,0.5425,0.006078,0.01717,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACADVL,NA,30,0.6004,0.5645,4.515e-4,0.002215,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAP1,NA,30,-0.1457,-0.073,0.4423,0.5337,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAP2,NA,30,-0.0719,-0.1286,0.7059,0.7687,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAT1,NA,30,0.6013,0.4826,4.404e-4,0.002173,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACAT2,NA,30,0.1826,0.2299,0.334,0.4281,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACBD3,NA,30,0.3241,0.4647,0.08056,0.136,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACBD5,NA,30,0.6218,0.6089,2.445e-4,0.001358,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACBD6,NA,30,0.1635,0.1969,0.3879,0.4816,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACBD7,NA,30,0.6614,0.5668,6.906e-5,5.052e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACD,NA,30,0.5003,0.5312,0.004867,0.0143,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACE2,NA,30,0.6248,0.8269,2.237e-4,0.00127,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACIN1,NA,30,-0.2516,-0.3049,0.1798,0.2612,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACLY,NA,30,0.329,0.2889,0.07583,0.1294,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACO1,NA,30,0.6667,0.701,5.742e-5,4.388e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACO2,NA,30,0.7477,0.7036,2.046e-6,3.41e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT1,NA,30,0.1582,0.086,0.4038,0.4965,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT11,NA,17,-0.0735,-0.0283,0.7791,0.8299,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT13,NA,30,0.5057,0.467,0.004363,0.01309,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT2,NA,30,0.1479,0.2623,0.4353,0.5269,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT7,NA,30,0.6133,0.6398,3.133e-4,0.001662,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT8,NA,30,0.7842,0.7612,2.939e-7,7.896e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOT9,NA,30,0.6988,0.7337,1.747e-5,1.733e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOX1,NA,30,0.4483,0.4479,0.01298,0.0315,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACOX3,NA,30,0.321,0.3933,0.08368,0.1401,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACP1,NA,30,0.6311,0.6123,1.843e-4,0.001097,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACP2,NA,30,0.6872,0.7104,2.731e-5,2.443e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACP5,NA,13,0.2253,0.2383,0.4593,0.5504,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACP6,NA,30,0.7317,0.7412,4.341e-6,6.075e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACPP,NA,19,0.7456,0.8526,2.479e-4,0.001372,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSBG1,NA,30,0.2859,0.3056,0.1257,0.1949,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSF2,NA,30,0.8176,0.7774,3.492e-8,1.612e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSF3,NA,30,0.4941,0.6079,0.005517,0.01584,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSL1,NA,30,0.6966,0.7635,1.907e-5,1.848e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSL3,NA,30,0.5382,0.4747,0.002158,0.007489,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSL4,NA,30,0.4207,0.5565,0.02062,0.04544,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSL5,NA,30,0.5982,0.7484,4.801e-4,0.002333,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSM3,NA,24,0.2252,0.4841,0.29,0.3825,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSS1,NA,30,0.8883,0.8796,5.739e-11,1.646e-8,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSS2,NA,30,0.5978,0.7308,4.86e-4,0.002353,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACSS3,NA,26,0.6962,0.8443,7.82e-5,5.535e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTA1,NA,30,0.0232,0.161,0.903,0.9268,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTB,NA,30,0.2027,0.1807,0.2828,0.3751,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTBL2,NA,30,0.4256,0.4406,0.01905,0.04278,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTG1,NA,30,0.2009,0.2135,0.2871,0.3792,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTL6A,NA,30,0.3424,0.3244,0.06402,0.1133,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTL6B,NA,30,-0.1158,-0.2152,0.5422,0.6236,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTN1,NA,30,0.5987,0.5926,4.742e-4,0.002307,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTN2,NA,30,0.2349,0.1823,0.2115,0.2973,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTN4,NA,30,0.5088,0.633,0.00409,0.01241,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR10,NA,30,0.4954,0.5005,0.005372,0.01547,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR1A,NA,30,0.297,0.3282,0.111,0.1757,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR1B,NA,30,0.143,0.1546,0.4508,0.5421,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR2,NA,30,0.4069,0.3713,0.02565,0.05424,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR3,NA,30,0.358,0.3988,0.05211,0.09664,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR5,NA,30,0.1987,0.271,0.2926,0.3854,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR6,NA,30,-0.087,-0.0072,0.6476,0.7175,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACTR8,NA,30,0.2062,0.1946,0.2742,0.3659,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACVR1,NA,30,0.378,0.451,0.03946,0.07729,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACVR1B,NA,13,0.2033,0.3483,0.5053,0.5907,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACY1,NA,30,0.7028,0.621,1.49e-5,1.546e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACYP1,NA,30,0.2472,0.3115,0.1879,0.2707,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ACYP2,NA,30,0.1297,0.0363,0.4945,0.5811,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADA,NA,30,0.6481,0.7194,1.079e-4,7.216e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAM10,NA,30,-0.0754,-0.0676,0.692,0.7571,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAM15,NA,30,0.6138,0.6409,3.093e-4,0.001644,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAM17,NA,30,-0.1444,-0.1983,0.4465,0.5379,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAM28,NA,20,0.4376,0.5927,0.05366,0.09896,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAM8,NA,23,0.1976,0.4884,0.366,0.4594,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAM9,NA,30,0.4016,0.4661,0.02784,0.05811,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAMTS1,NA,30,0.6587,0.6794,7.563e-5,5.42e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAMTS5,NA,10,0.2,0.1598,0.5796,0.6573,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAMTS9,NA,13,0.6593,0.6953,0.01423,0.0338,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAP1,NA,30,0.5555,0.5157,0.001439,0.005429,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADAR,NA,30,0.4923,0.4325,0.005716,0.0163,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADARB1,NA,24,0.2165,0.3279,0.3095,0.4036,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADCK1,NA,10,-0.1515,-0.0912,0.6761,0.743,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADCK5,NA,19,0.2368,0.3599,0.3289,0.4234,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADCY6,NA,24,0.4435,0.531,0.02996,0.06174,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADCY9,NA,30,0.7086,0.732,1.178e-5,1.284e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADD1,NA,30,0.2779,0.2744,0.1371,0.2088,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADD2,NA,30,0.6632,0.8947,6.496e-5,4.827e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADD3,NA,30,0.519,0.6866,0.003294,0.01045,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADGRF1,NA,30,0.1791,0.5084,0.3437,0.4368,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADGRG1,NA,30,0.6494,0.5858,1.033e-4,6.977e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADGRG6,NA,30,0.7201,0.7691,7.239e-6,8.891e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADGRL2,NA,30,0.3758,0.5963,0.04073,0.07935,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADH1C,NA,13,0.5544,0.8743,0.04929,0.0925,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADH5,NA,30,0.3464,0.3613,0.06077,0.1088,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADI1,NA,30,0.2454,0.1658,0.1912,0.2744,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADIRF,NA,30,0.3367,0.7262,0.06882,0.1198,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADK,NA,30,0.3237,0.326,0.081,0.1367,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ADNP,NA,30,0.1346,0.252,0.4783,0.5674,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
