level,id,subtype,n,spearman,pearson,p_value,q_value,inference_note
per_gene,HSPA12A,NA,30,0.5737,0.6245,9.169e-4,0.003824,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA13,NA,30,0.232,0.2771,0.2173,0.3031,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA14,NA,30,0.6236,0.6703,2.318e-4,0.001303,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA1B,NA,30,0.3148,0.3465,0.0902,0.149,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA2,NA,30,0.8038,0.8506,8.844e-8,3.116e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA4,NA,30,0.6618,0.597,6.801e-5,4.999e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA4L,NA,30,0.7166,0.8322,8.43e-6,9.929e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA5,NA,30,0.0367,-0.0162,0.8473,0.883,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA8,NA,30,-0.3237,-0.1916,0.081,0.1367,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPA9,NA,30,0.4336,0.4041,0.01668,0.03825,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPB1,NA,30,0.8558,0.7537,1.661e-9,1.689e-7,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPB11,NA,23,0.5198,0.5616,0.01102,0.02783,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPB8,NA,30,0.5359,0.6123,0.00227,0.007783,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPBP1,NA,30,0.3126,0.3231,0.09263,0.152,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPD1,NA,30,-0.0803,0.0268,0.6731,0.7402,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPE1,NA,30,0.1933,0.166,0.306,0.3999,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPG2,NA,30,0.7313,0.6958,4.43e-6,6.145e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HSPH1,NA,30,0.337,0.3907,0.06856,0.1194,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HTATIP2,NA,30,0.8831,0.8085,1.055e-10,2.648e-8,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HTATSF1,NA,30,-0.2436,-0.2083,0.1946,0.2784,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HTD2,NA,30,0.1012,0.1411,0.5946,0.6701,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HTRA1,NA,30,0.2347,0.4039,0.2119,0.2976,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HTRA2,NA,30,0.5341,0.4716,0.002363,0.008033,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HTT,NA,30,0.3014,0.4209,0.1055,0.1688,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HUS1,NA,23,0.1285,0.1498,0.5591,0.6389,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HUWE1,NA,30,0.301,0.167,0.106,0.1693,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HYI,NA,11,0.3455,0.1483,0.2981,0.391,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HYOU1,NA,30,0.697,0.5746,1.874e-5,1.823e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,HYPK,NA,30,0.3526,0.429,0.05598,0.1022,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IAH1,NA,30,0.5764,0.5449,8.565e-4,0.003617,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IARS,NA,30,0.4065,0.3775,0.02582,0.05453,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IARS2,NA,30,0.1555,0.2605,0.4119,0.5039,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IBA57,NA,30,0.624,0.5643,2.287e-4,0.001291,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IBTK,NA,24,0.1104,0.126,0.6075,0.6825,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ICAM1,NA,30,0.8042,0.778,8.593e-8,3.054e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ICE1,NA,30,0.0736,0.0105,0.699,0.7635,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ICE2,NA,13,-0.0495,-0.1606,0.8725,0.9037,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ICMT,NA,30,0.1546,0.2588,0.4146,0.5063,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,ID1,NA,30,0.4211,0.4281,0.02047,0.04519,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDE,NA,30,0.7508,0.6607,1.756e-6,3.015e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDH1,NA,30,0.8145,0.841,4.336e-8,1.863e-6,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDH2,NA,30,0.6472,0.7939,1.111e-4,7.348e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDH3A,NA,30,0.3976,0.3784,0.02959,0.06107,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDH3B,NA,30,0.1978,0.2175,0.2948,0.3878,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDH3G,NA,30,0.0265,0.07,0.8896,0.9165,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDI1,NA,30,0.4919,0.4896,0.005766,0.01642,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IDUA,NA,30,0.277,0.3409,0.1384,0.2103,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IER3IP1,NA,30,0.2823,0.2915,0.1307,0.2009,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFI16,NA,30,0.6881,0.7022,2.641e-5,2.384e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFI30,NA,30,0.7304,0.7165,4.611e-6,6.289e-5,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFI35,NA,30,0.4932,0.4829,0.005615,0.01608,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFIH1,NA,23,0.5059,0.7249,0.01378,0.03303,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFIT1,NA,30,0.4234,0.5264,0.01975,0.04385,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFIT2,NA,23,0.3399,0.3049,0.1125,0.1778,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFIT3,NA,30,0.4812,0.5822,0.007101,0.0195,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFIT5,NA,30,0.6761,0.6544,4.119e-5,3.377e-4,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFNGR1,NA,30,0.1413,0.1729,0.4565,0.5476,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFRD1,NA,19,0.1158,0.1164,0.6369,0.7077,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT140,NA,16,-0.3618,-0.1313,0.1686,0.2473,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT172,NA,30,-0.2298,-0.244,0.2218,0.3086,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT20,NA,30,0.3157,0.1351,0.08925,0.1476,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT22,NA,30,0.212,0.1569,0.2607,0.3517,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT27,NA,30,0.4492,0.3534,0.01278,0.03115,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT43,NA,23,0.0613,0.0888,0.7812,0.8316,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT52,NA,17,0.6103,0.6318,0.009274,0.02426,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT74,NA,30,0.49370000000000003,0.4336,0.005566,0.01596,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IFT81,NA,30,0.4078,0.4104,0.02529,0.05364,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
per_gene,IGBP1,NA,30,0.2129,0.2641,0.2587,0.3498,model-level asymptotic tests are exploratory; use integ_rnaprot_patientrep_cor.csv for independent-patient associations
