subtype,n,mean_sil
HGS,15,0.16060676202505555
CC,7,0.11915167861065498
EC,2,-0.0100242631893121
MC,3,0.15871351985643165
MMMT,2,0.7435078948100096
SCCOHT,2,0.8194423506815509
ALL,31,0.22016631305884546
