protein,OV1369-R2,OV1946,OV2085,OV2295,OV2295-R2,OV3133-R,OV3331,OV4453,OV4485,OV866-2,OV90,TOV1369,TOV3041G,TOV3133G,TOV3291G,TOV21G,TOV3392D,VOA10816,VOA12539,VOA14993,VOA295,VOA4841,TOV112D,VOA4395,TOV2414,VOA8762,VOA8771,VOA5217,VOA5436,BIN67,COV434
SMIM26,8.177883084503192,8.638842842906932,8.304764689312513,8.660962810347097,8.411625047708794,8.293476530943925,8.324484414173819,8.479601897452067,8.358057106644932,8.791384274285933,8.298397020039328,8.13707228522713,8.840565651241478,8.307238842876762,7.94899240365139,8.637552428006135,9.105060329328298,8.326974491093853,8.185923686316578,8.480235035007835,8.592524911282402,8.123686823244052,8.817215230996252,8.506177578087813,8.451167534655157,8.201561373308596,8.793277835387368,8.300879248567048,8.491038236233425,8.89816355595494,8.734391069773565
GATD3B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
UBE2L5,7.664420466022278,NA,NA,NA,NA,7.369507248558155,NA,NA,NA,6.877855153677962,NA,NA,NA,NA,NA,NA,6.776403514876645,8.114853280557188,NA,NA,NA,NA,NA,8.284831062111195,NA,NA,NA,NA,NA,NA,8.027602324885716
RBM47,12.51679729405287,12.19945204250645,12.27149919803911,12.75578434895801,12.33497587498482,12.88223447499193,12.6657692265739,12.14369665031932,12.53449613965487,12.18772946939927,13.16069880608021,12.75045501814745,12.98080085760934,12.74348876284973,12.47253984265079,12.74569593793715,13.19021232351224,13.0613689372451,13.54407463065376,13.27803864198491,12.82407554282312,12.89715271038477,12.15728643182735,13.15935641020593,12.66881223622411,13.16310769235201,13.24281686355708,12.20524241805924,12.95585579504205,12.04541862158628,12.02049313581032
TMEM129,7.083376744034808,NA,7.14263787678959,NA,7.529312091535823,7.260046960046673,NA,NA,7.488460465946802,7.483005523209071,NA,7.560331021769136,7.383156522011713,NA,7.918208734905321,NA,7.547724631277097,6.606300814169968,7.002948644263038,7.324432653677502,7.022402210010947,7.711994288102396,NA,7.328065167003621,NA,NA,NA,NA,NA,7.36406174311829,7.667497153662223
UBA6,14.04531950717866,14.14435807290002,13.96786503722437,14.14048346967677,14.17279549720538,14.20647143236209,14.15573914613354,13.90254520095464,13.88375264724885,14.06261669742966,14.54544218856619,13.77739344019565,14.01588385911394,13.86263522507138,14.42512516290686,14.50166604781204,13.75134183358187,14.12998821388241,14.13047952901019,13.99543545658131,14.31069511813748,14.49411986571825,14.49483199520931,14.56638800918122,14.03605982788278,13.91196338278775,13.93574637382058,14.06430698689495,14.14594744861258,14.37654359214735,14.28163238974008
ESYT2,14.54170218060856,13.84639998672005,14.13843424692645,14.21917019981322,14.41225885132193,14.33622514904862,14.46638146419412,14.46968351631724,14.11747382227167,13.92115366472962,14.23269555969816,14.23471931627597,14.36506569092624,14.35391818413718,14.24042375761077,14.07723583625511,14.26337690008146,14.06895588330023,14.03466395363499,14.2292052835702,14.19466513672094,14.13675475822572,13.71163973824805,13.94822151608615,14.00691074974831,14.01382999438579,13.9583273894797,14.4184320914771,14.53507174952211,14.12360051524782,13.85127104650442
MED19,9.831627813118338,9.659796904084708,9.812841514078547,9.879695489466396,9.5538464548713,9.997994081609828,9.663826924312582,9.868903520767356,9.793543319034772,10.01471959535402,9.481561454052805,9.788757655497037,9.755177422923502,9.951243699945223,9.92508206284724,9.777832654233496,9.68908464618957,9.610040093594387,9.673531973406808,9.570779094310828,9.44217234334847,9.56886482272168,9.835957917827637,9.946057398634904,9.688879694755768,9.493037085295798,9.290874605227385,9.642477145452052,9.618897176927081,9.695930943026486,9.661829005844297
UHRF1BP1L,8.556124453103703,8.901162499405737,8.661424065791648,8.752216703984017,8.563383385887612,8.586290457580745,8.592733707993101,10.11417964865286,8.623749640517563,8.470325428267884,9.080553945493456,8.508880903419465,8.46313144836345,9.233708186369583,9.243174304669015,8.441035848626614,8.559038056392485,8.89028197872529,8.887503853099869,8.723133912680188,9.026121887982864,8.456621295107176,8.918272508826176,9.501449627703789,8.801172256387865,8.671699274052663,8.854356428976445,9.38092689716225,8.89375330089687,9.412807969700653,8.852765282716003
SHTN1,13.73663350628365,13.49243984141776,13.34289852399074,13.83664597208003,13.62540381153523,13.88004058988456,13.99022521513462,13.81144768986761,13.67961614205611,13.44392561706437,14.24273192334727,13.83588677972934,13.55171051836744,13.99542614890832,13.82551161581138,14.70115075044746,13.29236932778001,13.69249926584766,14.55156837404,13.80270297446035,14.09603453697187,13.88857615810445,14.06291417852678,13.08569376766715,13.69321631107206,13.54231928583158,13.78740363073576,13.72089997532857,13.95014960839412,14.36242905745296,13.68291603198712
