bundle_path,bytes,sha256,recovery_inventory_record,recovery_inventory_hash_match
cnvkit_0.9.10_manual/TOV112D_P83_new/TOV112D_P83.cns,4254145,0850746dbb15a9e46b9f8a7151d998fcd50abae74aaf2dceae40001de4441eec,C00197,True
cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.bintest.cns,524426,55c9900419a6a662e941b1d1352624f3a8a41b289282188679a5144b05b52a2d,C00214,True
cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.call.cns,4254568,0e1c0945fc37fe66ae8ecb5b1080bc564bc7f7743050c44ed40fda184e4327a9,C00215,True
cnvkit_0.9.10_manual/TOV1369_P65_new/TOV1369_P65.cns,4266321,2d8933c59fa21051ca1d911b973d7c607cecf06eb6401f8c02d20c070e04ae6c,C00217,True
cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.bintest.cns,602777,1867855b10492868ee5d87be927505d2f1ba16780371f3bb2aab733c156f15e2,C00234,True
cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.call.cns,4250315,9b3017781e56a78416ad4ae17a856dd4b0ac5dbf97272ad050ed6e1dbf981e8c,C00235,True
cnvkit_0.9.10_manual/TOV21G_P59_new/TOV21G_P59.cns,4253474,308e5100cf9affc7d331229c81e2b252fbaeccc3492350e8e4787f915e1be7d1,C00237,True
cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.bintest.cns,519263,56c5444889972a50ebc6839f48d226099c79786eb214bc5d710cdf82acfb9963,C00254,True
cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.call.cns,4251268,b18b14f66125293cd1d74d75a1bd6450eee124d0a9bfc922eae2b6139b998ce6,C00255,True
cnvkit_0.9.10_manual/TOV2295_R_P57_new/TOV2295_R_P57.cns,4256852,4f16127f4af49e1f0ac261b5b3f69efecbec3834ebd9a3016f950d789e3e4923,C00257,True
cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.bintest.cns,392211,bd6719905e39ea8a8be82d49862561a554dceecb6837e8a99087693300578318,C00274,True
cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.call.cns,4250342,aa6001b67ebaa87553a06c52aaf8f0cb9fdb3499b7eccdff9e8a0fbdc5902afb,C00275,True
cnvkit_0.9.10_manual/TOV2414_P65_new/TOV2414_P65.cns,4253625,22932b67e79434715631fb3d512b203f1cf7512cffb690e559c01515e24f4cc7,C00277,True
cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.bintest.cns,648265,96db93c404cc8dfb2ab28b05a9d079cc6d6c3c2c58eaf5d6f4507370b7420cf2,C00294,True
cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.call.cns,4252052,886843473c2b73f718b834904e1dc3b94fdabb67b0c3c021fafe833f721ffa9e,C00295,True
cnvkit_0.9.10_manual/TOV2835EP_P64_new/TOV2835EP_P64.cns,4259482,e21c77422908205d41e201b2ef5b23ec82cb0e9223362deab76d7af2e503396e,C00297,True
cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.bintest.cns,495772,5a1939f87af73c43fff82cf4c5eb4bd6aa432dcd73f98402686b344922e95c10,C00314,True
cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.call.cns,4251841,c071e003ec2006344a9aa4db7490e93c27a2efaf29d2e82e65391be729f9d4aa,C00315,True
cnvkit_0.9.10_manual/TOV2881EP_P64_new/TOV2881EP_P64.cns,4258768,7c8d5b300c1f366e28eafdc29f15f9ec3c2f4b9be7bff7064dccd064b2462793,C00317,True
cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.bintest.cns,626331,5485ceffa2182c1b4621b23bfdf5ccc81bd6f69e796f94f0039f1a2af64c8f12,C00334,True
cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.call.cns,4252772,0907d048991305ad72032b8688a28b205896ffb749d8c4d1a829ad850c366132,C00335,True
cnvkit_0.9.10_manual/TOV2929D_P57_new/TOV2929D_P57.cns,4260940,2d888765435c2887e9b856b210730ac53cebc1b5da26e816dc3f61d8181f3965,C00337,True
cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.bintest.cns,579819,81c8faeb6510375b9d5dce903476f02a2e597daae2d9df15fc56b26c52068ed1,C00354,True
cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.call.cns,4249619,54b2448483721de7daf0aa0a2f3dad5be81e62f03a1c3c5c093400bb06821d40,C00355,True
cnvkit_0.9.10_manual/TOV3121D_P68_new/TOV3121D_P68.cns,4254873,01bfa6611f54fa505de5d2b78974c16499aadfd5471155825b200a2ff37f26c8,C00357,True
cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.bintest.cns,556745,24ed87aa14cae3d06ffa5b1fdd1f8f55f22a2f27e7d3b2206bf815c202ed38ba,C00374,True
cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.call.cns,4251176,4c45b19fd5d65d170b139e9d249a2746562fa6e41da75830fce41b739590c310,C00375,True
cnvkit_0.9.10_manual/TOV3121EP_P68_new/TOV3121EP_P68.cns,4255895,e0c6eeb2cd95a45d27672e3016e6529101c603fb4a7fe56dd434f3c749e04e3f,C00377,True
cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.bintest.cns,531810,aa1f60e0e507f8cf14c1d55822eb4c022b45b80dffe0b450cb8700cdc2ba23dc,C00394,True
cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.call.cns,4261873,66df4c94059bda12870b7ec689da866625cd1d0bfc6df36c3b2f766fea93ad40,C00395,True
cnvkit_0.9.10_manual/TOV3133D_P66_new/TOV3133D_P66.cns,4274682,a7dc3a880aaea5f15657d0429de2fe9360eab5bdf52ba60b75445413f8444220,C00397,True
cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.bintest.cns,541004,33346602abaf5ec0cefb75ab656a09235d5db39f8ba9ce88589b9dff7def2f7b,C00414,True
cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.call.cns,4262152,5125fc777ec8cf52e63dc75f4b5b0c8ae558b7e6314cfbf451fa2c746c15ae6c,C00415,True
cnvkit_0.9.10_manual/TOV3133G_P65_new/TOV3133G_P65.cns,4277472,90751440b4bbfe1b8f76d89e6195e51b8c0b132869f5d544d54cd343d4d85210,C00417,True
cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.bintest.cns,366713,8ac98a2cc1d07482d183343af3cffdf75663226b8aba8538c012d2cd720e911a,C00434,True
cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.call.cns,4250698,923843becca135b21aeb1df6f2f239d893064885bf874183ef834eb040ffbdc4,C00435,True
cnvkit_0.9.10_manual/TOV3392D_P69_new/TOV3392D_P69.cns,4257268,c5930ccf3f2243053bcda624e00569f2ea9cab925a5f8a51dc003b3ad1544256,C00437,True
