pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,n_group,evidence,go_id,term
GO:0045600 positive regulation of fat cell differentiation,0.6172410896771845,0.8342838555961233,0.007265359973279191,-0.24815327367454967,-0.9109331130118039,62,SFRP1;BMP7;CCDC3;SFRP2;CEBPB;LMO3;DKKL1;LPL;SIX1;CREBL2;RARRES2;ZBTB7B;WIF1;MEDAG,MC,3,"descriptive; model-level, source-confounded",GO:0045600,positive regulation of fat cell differentiation
GO:0071482 cellular response to light stimulus,0.6174294540640171,0.8343530022585084,0.006773934286084409,-0.2289701216565207,-0.9242374598720552,112,MMP2;MAPK11;CRY1;NPM1;NFATC4;RGS9;METTL3;TRPM1;CERS1;KDM1A;MYC;TMEM161A;NSMCE3;OPN1SW;YY1;POLH;RP1;HYAL3;AQP1;NOC2L;MFAP4;SDE2;GNAT1;EIF2S1;PARP1;TP53INP1,MC,3,"descriptive; model-level, source-confounded",GO:0071482,cellular response to light stimulus
GO:0070301 cellular response to hydrogen peroxide,0.6182776213443363,0.8353135337469249,0.0072268767006583145,-0.24650344037698013,-0.9122280117439168,65,IL6;BNIP3;SIRPA;SPHK1;AIFM1;FYN;AQP1;PARK7;ABL1;PPIF;RHOB;OSER1;EZH2;HSF1;FXN;CYP1B1;SIRT1;TXN;MDM2;PCGF2;MAP3K5,MC,3,"descriptive; model-level, source-confounded",GO:0070301,cellular response to hydrogen peroxide
GO:0060004 reflex,0.6186408192322436,0.8354330050524702,0.011942447405404061,0.2801356318912881,0.8878523406392343,20,ASCL1;SLITRK6;USP46;NPNT;TMC2;NMB;CACNG2;SLC1A1;ZPLD1,MC,3,"descriptive; model-level, source-confounded",GO:0060004,reflex
GO:1904238 pericyte cell differentiation,0.6185035990226507,0.8354330050524702,0.00833600724039014,-0.3600851314186043,-0.8857136952513451,11,CD34;NOTCH1;SPI1;ACTA2,MC,3,"descriptive; model-level, source-confounded",GO:1904238,pericyte cell differentiation
GO:0001845 phagolysosome assembly,0.6197098517652264,0.8355777402626036,0.008033064572118973,-0.31270049036362396,-0.8900173183717061,19,PLA2G5;RAB39A;P2RX7;SRPX;CLN3;RAB7A,MC,3,"descriptive; model-level, source-confounded",GO:0001845,phagolysosome assembly
GO:0030317 flagellated sperm motility,0.6196138185996553,0.8355777402626036,0.006502613278718473,-0.22190386557855923,-0.9282553511577218,148,EFCAB6;VDAC3;CHRFAM7A;CFAP58;TTLL9;TACR2;AKAP3;IQCG;CFAP45;ROPN1L;DNAJA1;PFN4;CCDC40;CFAP47;BBOF1;SLIRP;CFAP43;CCDC146;ARMC12;ZMYND12;NPHP4;DPCD;TEKT2;CFAP126;TACR1;SPACA9;TTLL1;DNAH5;PLTP;CFAP61;CFAP57;TAC4;ARMC2;ARMC3;CFAP53;TEX101;CFAP157;NME7;CFAP161;SLC22A16;ATP2B4;TAC1;CFAP97D1;KIF9;POC1B;DRC1;DRC7;TEKT5;LRRC23;CEP131;TSSK6;QRICH2;SORD;CFAP20;TMEM232;TEKT1;LZTFL1;INTS13;RNASE10;CEP78,MC,3,"descriptive; model-level, source-confounded",GO:0030317,flagellated sperm motility
GO:0032692 negative regulation of interleukin-1 production,0.6191736332471282,0.8355777402626036,0.012671055853209622,0.2481592180225629,0.9039232690229154,34,FFAR4;CARD16;GAS6;CARD18;CEACAM1,MC,3,"descriptive; model-level, source-confounded",GO:0032692,negative regulation of interleukin-1 production
GO:0042178 xenobiotic catabolic process,0.6192399590397087,0.8355777402626036,0.012230954258947583,0.2665595081096755,0.895966709782408,25,CYP2A6;FMO4;CYP1A1;CYP2D7;CYP3A5;CYP2C19;ACAA1;CYP3A4,MC,3,"descriptive; model-level, source-confounded",GO:0042178,xenobiotic catabolic process
GO:0051660 establishment of centrosome localization,0.6197027515565374,0.8355777402626036,0.011270359859363959,0.3372738590452543,0.8713517398711106,10,EZR;PARD3B;MISP,MC,3,"descriptive; model-level, source-confounded",GO:0051660,establishment of centrosome localization
GO:0090493 catecholamine uptake,0.6196609738256528,0.8355777402626036,0.008074670256290434,-0.31619817237065345,-0.8878518776222942,18,SLC22A3;TOR1A;SLC22A2;PARK7;MAPK15;DRD2;GDNF;DRD1,MC,3,"descriptive; model-level, source-confounded",GO:0090493,catecholamine uptake
