recovered_path,basename,sha256,archived_copy_count,all_archived_copies_identical,archived_paths
cnvkit_0.9.10_manual/OV3133_R_P71_new/OV3133_R_P71.call.cns,OV3133_R_P71.call.cns,6e7f5219ef3deace1ed9099211c4637cd612a70a6b14311312b17b0fedf93ccc,2,True,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.call.cns;judy_archive/data/cnvkit wes - new/HGS/OV3133_R_P71_new/OV3133_R_P71.call.cns
cnvkit_0.9.10_manual/OV3133_R_P71_new/OV3133_R_P71.cns,OV3133_R_P71.cns,9290874b743c48afbe383ea9abf2196605df28b06c5e1f6d3e375ca3f72435c8,2,True,judy_archive/data/cnvkit wes - new/All samples/OV3133_R_P71_new/OV3133_R_P71.cns;judy_archive/data/cnvkit wes - new/HGS/OV3133_R_P71_new/OV3133_R_P71.cns
cnvkit_0.9.10_manual/OV3291_P46_new/OV3291_P46.bintest.cns,OV3291_P46.bintest.cns,dc1cb8aabfc5de9a42a93d45dbb01cbaf3224a703accb007ca693fd47ddca539,1,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.bintest.cns
cnvkit_0.9.10_manual/OV3291_P46_new/OV3291_P46.call.cns,OV3291_P46.call.cns,2e2892fc9c6bbbaccdfe3a04f038462041f5d636ec69e59832d5f739fb223523,1,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.call.cns
cnvkit_0.9.10_manual/OV3291_P46_new/OV3291_P46.cns,OV3291_P46.cns,ca96c881a84d3b7e5d51958276087af07e7256d50fcdbd90294998fee1e66a91,1,True,judy_archive/data/cnvkit wes - new/OV3291_P46_new/OV3291_P46.cns
cnvkit_0.9.10_manual/OV3331_P54_new/OV3331_P54.bintest.cns,OV3331_P54.bintest.cns,27ed432491000dac5c384fba0f2dcb364e063fa334d18c16c6626be73effee7b,2,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.bintest.cns;judy_archive/data/cnvkit wes - new/HGS/OV3331_P54_new/OV3331_P54.bintest.cns
cnvkit_0.9.10_manual/OV3331_P54_new/OV3331_P54.call.cns,OV3331_P54.call.cns,635ff2366992a05e4cf8e1775e291ef548d74f3bbc8f5ce377542b168e722323,2,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.call.cns;judy_archive/data/cnvkit wes - new/HGS/OV3331_P54_new/OV3331_P54.call.cns
cnvkit_0.9.10_manual/OV3331_P54_new/OV3331_P54.cns,OV3331_P54.cns,3c224c864908f988485f36dd07f638b4d84eae2d0b3ea3c855195fb7b54ca857,2,True,judy_archive/data/cnvkit wes - new/All samples/OV3331_P54_new/OV3331_P54.cns;judy_archive/data/cnvkit wes - new/HGS/OV3331_P54_new/OV3331_P54.cns
cnvkit_0.9.10_manual/OV90_P63_new/OV90_P63.bintest.cns,OV90_P63.bintest.cns,03d31bf6cbec95f83b21839cdc29c3eb3d68289e2bb7f5e55d61c66f4fc2df4d,2,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.bintest.cns;judy_archive/data/cnvkit wes - new/HGS/OV90_P63_new/OV90_P63.bintest.cns
cnvkit_0.9.10_manual/OV90_P63_new/OV90_P63.call.cns,OV90_P63.call.cns,ebf8a111c1341a4a61a4a43d11972937b5133ada3da7afa07c4d65d1e7602dee,2,True,judy_archive/data/cnvkit wes - new/All samples/OV90_P63_new/OV90_P63.call.cns;judy_archive/data/cnvkit wes - new/HGS/OV90_P63_new/OV90_P63.call.cns
