PC,var_pct,r2_subtype,r2_site
PC1,20.6,0.7338060639739722,0.3118674770702926
PC2,10.4,0.6899873023209567,0.20923713361832397
PC3,7.9,0.5769399433073217,0.05283554097396475
PC4,7.2,0.23786388328974992,0.06286921733093691
PC5,6.2,0.3674636839967931,0.042743798788770083
