set,PC,var_pct,r2_subtype,r2_site,r2_joint,adjr2_joint,adjr2_subtype,adjr2_site,adj_unique_subtype,adj_unique_site,adj_shared,unique_subtype,unique_site,shared
31 lines,PC1,20.632168877653285,0.7338060639739722,0.3118674770702926,0.7357191869425848,0.6552858960120671,0.6805672767687667,0.262715154003885,0.3925707420081821,-0.025281380756699612,0.2879965347605846,0.42385170987229215,0.0019131229686125684,0.30995435410168004
31 lines,PC2,10.38886352082676,0.6899873023209567,0.20923713361832397,0.6908684307043059,0.5967849096143121,0.627984762785148,0.15275407173391853,0.44403083788039355,-0.031199853170835956,0.18395392490475448,0.48163129708598196,8.811283833491945e-4,0.20835600523497477
31 lines,PC3,7.9407694702387275,0.5769399433073217,0.05283554097396475,0.5786123853055025,0.4503639808332641,0.492327931968786,-0.014819063242180741,0.46518304407544486,-0.04196395113552187,0.02714488789334113,0.5257768443315378,0.0016724419981808403,0.05116309897578386
28 reps (HVG refit),PC1,19.858213267283233,0.7896061279953958,0.2721633627595526,0.7922950324976998,0.7195982938718948,0.7417893389034402,0.21393643178031674,0.505661862091578,-0.022191045031545453,0.2361274768118622,0.5201316697381473,0.002688904502304079,0.2694744582572486
28 reps (HVG refit),PC2,10.513481815902201,0.6361568934502374,0.2378142499040273,0.6364326243987081,0.5091840429382559,0.5534652783252914,0.1768393898963495,0.3323446530419064,-0.044281235387035434,0.22112062528338494,0.39861837449468074,2.7573094847066493e-4,0.23753851895555667
28 reps (HVG refit),PC3,8.761588382995004,0.5956932189696337,0.032350015288431615,0.5983684254068551,0.4577973742992544,0.503805314190005,-0.045061983488493995,0.5028593577877484,-0.04600793989075058,9.45956402256587e-4,0.5660184101184235,0.0026752064372214113,0.02967480885121021
28 reps (HVG fixed from 31),PC1,19.909930243258724,0.7797379560302163,0.27184156750287736,0.7823491544755585,0.706171358542004,0.7296784005825383,0.21358889290310745,0.4925824656388965,-0.02350704204053433,0.23709593494364178,0.5105075869726812,0.002611198445342189,0.26923036905753506
28 reps (HVG fixed from 31),PC2,10.507034086098479,0.6407030646629795,0.23098483765661726,0.641095154319909,0.5154784583318772,0.5590446702682021,0.16946362466914655,0.34601483366273067,-0.04356621193632493,0.21302983660547148,0.4101103166632918,3.9208965692949516e-4,0.23059274799968776
28 reps (HVG fixed from 31),PC3,8.568097406658788,0.5987054223489804,0.031508295974700305,0.6013747957442419,0.4618559742547266,0.507502109246476,-0.04597104034732369,0.5078270146020503,-0.04564613499174941,-3.249053555742787e-4,0.5698664997695416,0.0026693733952615206,0.028838922579438764
