approach,PC,n,n_CHUM,n_BC,var_pct,site_r2,site_p_anova,site_p_perm,null_expected_r2
global_pc_subset (OLD - wrong axes),PC1,7,2,5,20.6,0.05578018119894635,0.6101395943672252,0.45577211394302847,0.16666666666666666
within_cc_pca (CORRECT),PC1,7,2,5,28.7,0.15061648714974582,0.38962684878628984,0.49025487256371814,0.16666666666666666
global_pc_subset (OLD - wrong axes),PC2,7,2,5,10.4,0.06217796710624107,0.5897184985674688,0.6201899050474763,0.16666666666666666
within_cc_pca (CORRECT),PC2,7,2,5,19.3,0.1317042798901426,0.42366010728424264,0.49075462268865566,0.16666666666666666
global_pc_subset (OLD - wrong axes),PC3,7,2,5,7.9,0.05532044215810633,0.6116592888212982,0.7606196901549226,0.16666666666666666
within_cc_pca (CORRECT),PC3,7,2,5,15.9,0.2930045408507278,0.20954539460098964,0.2463768115942029,0.16666666666666666
