cell_line,signature,cosine,group,cosmic_source,cosmic_genome,n_snv_used
OV2085,SBS23,0.5659712361599011,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS42,0.5578720701692073,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS44,0.5414462314937678,MMR-d / MSI,COSMIC_v3.2,GRCh38,476
OV2085,SBS7b,0.5401338199230452,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS87,0.5312871353079419,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS32,0.5224405552593673,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS24,0.5192018425275333,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS35,0.518305495667471,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS39,0.5116848793436897,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS19,0.49672928075409795,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS11,0.4956331877355897,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS29,0.48800665359520534,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS4,0.48288702258912963,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS1,0.4784136098385329,clock-like (age),COSMIC_v3.2,GRCh38,476
OV2085,SBS84,0.4672530356632992,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS18,0.4499769659673871,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS8,0.4466747875346164,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS9,0.41907646776038304,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS93,0.4098952845302675,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS7a,0.3900977245989643,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS37,0.3706748486856525,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS20,0.36817214970139467,MMR-d / MSI,COSMIC_v3.2,GRCh38,476
OV2085,SBS10b,0.3551549354000042,POLE proofreading,COSMIC_v3.2,GRCh38,476
OV2085,SBS86,0.3517035110837193,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS41,0.3444633474712374,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS10c,0.3390824924032121,POLE proofreading,COSMIC_v3.2,GRCh38,476
OV2085,SBS26,0.33053760602226695,MMR-d / MSI,COSMIC_v3.2,GRCh38,476
OV2085,SBS12,0.31989324462548163,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS36,0.3094667884438517,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS16,0.2946483487217081,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS88,0.264989794936323,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS14,0.2584178276925521,MMR-d / MSI,COSMIC_v3.2,GRCh38,476
OV2085,SBS85,0.24762182942003197,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS38,0.2263606887276658,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS2,0.22227798461440842,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS33,0.19060979602447908,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS7c,0.18354308382831122,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS21,0.1808401028713688,MMR-d / MSI,COSMIC_v3.2,GRCh38,476
OV2085,SBS10d,0.16939590932037799,POLE proofreading,COSMIC_v3.2,GRCh38,476
OV2085,SBS7d,0.15741820339095614,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS17a,0.15278839334491093,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS91,0.15164720621674507,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS22,0.1399043891735533,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS13,0.12795632223189474,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS28,0.12046974979551917,POLE proofreading,COSMIC_v3.2,GRCh38,476
OV2085,SBS10a,0.1190080119709091,POLE proofreading,COSMIC_v3.2,GRCh38,476
OV2085,SBS34,0.08115842133032712,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS17b,0.07135131988329167,other,COSMIC_v3.2,GRCh38,476
OV2085,SBS90,0.059999242302685794,other,COSMIC_v3.2,GRCh38,476
OV2295,SBS5,0.7507824468957753,clock-like (age),COSMIC_v3.2,GRCh38,403
OV2295,SBS3,0.7122716515330116,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS40,0.7102646266234949,clock-like (age),COSMIC_v3.2,GRCh38,403
OV2295,SBS89,0.6362188934741398,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS94,0.6200393269731659,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS25,0.6112839603901565,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS92,0.6000121914848838,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS87,0.5658876754330189,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS6,0.5654457449088899,MMR-d / MSI,COSMIC_v3.2,GRCh38,403
OV2295,SBS39,0.5505834084354055,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS32,0.549239067332979,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS30,0.5332641342086478,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS24,0.5217145186939811,other,COSMIC_v3.2,GRCh38,403
OV2295,SBS1,0.514319519949285,clock-like (age),COSMIC_v3.2,GRCh38,403
