pathway,pval,padj,log2err,ES,NES,size,leadingEdge,subtype,go_id,term
GO:0008361 regulation of cell size,0.23066524368552116,0.5589942826820083,0.013129529718414487,-0.2532680840558558,-1.1237754273554712,172,EPHA7;RND2;BCL11A;SEMA3A;CRABP2;AKT3;AQP4;MT3;PAFAH1B1;SRF;CXCL12;PRR16;AKT1S1;SEMA6C;NKX6-1;E2F4;RGMA;IST1;EIF4G2;WNT3;KCNN4;GNB3;RET;OLFM1;MAP2;FSTL4;ARHGAP35;APOE;SEMA3F;MAG;RDX;GDI1;TRPV2;CREB1;TTL;ISLR2;LIMK1;MAP3K13;AQP1;PLEK;IL7R;FN1;CLNS1A;GSK3B;BMPR2;WDTC1;KDM1A;ARHGAP4;CDH4;MAPT;RARG;NTN1;LAMTOR4,CC,GO:0008361,regulation of cell size
GO:0032570 response to progesterone,0.23058460483456197,0.5589942826820083,0.0147072563385411,-0.3355835149087798,-1.1770862620470688,40,DSG1;TACR1;TGFB2;RELA;TRERF1;ABHD2;NR1H3;FOSL1;ERRFI1;TXNIP;IGF1R;FOSB;GABRB1;GJB2;YAP1;TGFB3;NCOA1;TYMS;OXTR,CC,GO:0032570,response to progesterone
GO:0034367 protein-containing complex remodeling,0.23059227767747947,0.5589942826820083,0.014873531256992817,-0.3495566787605911,-1.181665593713964,34,APOA1;APOC1;AGTR1;APOA2;TAF8;APOB;LPL;APOE;DIAPH3;PCSK6,CC,GO:0034367,protein-containing complex remodeling
GO:0048251 elastic fiber assembly,0.230615081288988,0.5589942826820083,0.015814740627226608,-0.47669861901191046,-1.2110123631372969,11,COL3A1;MFAP4;TNXB,CC,GO:0048251,elastic fiber assembly
GO:1900273 positive regulation of long-term synaptic potentiation,0.23048123459044836,0.5589942826820083,0.015273121254168631,-0.3908601692641972,-1.1952609531215201,22,ADCY1;DRD2;MME;ADCY8;ADORA2A;PRKAR1B;CHRFAM7A;IGSF11,CC,GO:1900273,positive regulation of long-term synaptic potentiation
GO:1901739 regulation of myoblast fusion,0.2307310721150865,0.5589942826820083,0.015429534694880224,-0.4129827904312154,-1.2024621306814232,18,FLOT1;RIPOR2;PLEKHO1;EHD1;NFATC2;EHD2;CAPN2;MAPK14;CXCL9;SCGB3A1,CC,GO:1901739,regulation of myoblast fusion
GO:0051205 protein insertion into membrane,0.23096576392437404,0.5591173608376269,0.014635945649426827,-0.3312160181396307,-1.1736259588842122,42,NOMO1;BAG6;UBL4A;MAL;SGTA;EMC6;EMC8;SEC61A1;RTP3;MAIP1;BCS1L;TRAM1L1;REEP1;TRAM2;WDR83OS;EMC4;GET4;RTP4;RAB5IF,CC,GO:0051205,protein insertion into membrane
GO:0060325 face morphogenesis,0.23092723004694835,0.5591173608376269,0.014928448658238396,-0.35450314371216346,-1.1830133548568933,32,MMP2;TBX1;CRISPLD1;LEF1;PAX9;SKI;STRA6,CC,GO:0060325,face morphogenesis
GO:0070936 protein K48-linked ubiquitination,0.23131145447580131,0.5597019382145343,0.01371836341415635,-0.27622817117052284,-1.1414105002736543,99,RNF152;UBE2E3;ANAPC15;RNF5;UBE2C;KCMF1;RNF4;RNF8;ANAPC5;SKP2;PPIA;RNF115;RNF187;KBTBD7;UBE2A;UBE2T;UBE2D2;CDC34;GABARAP;ANAPC11;UBE2G1;UBE2R2;CDC16;RNF34,CC,GO:0070936,protein K48-linked ubiquitination
GO:0097531 mast cell migration,0.23139132916812027,0.5597019382145343,0.015609866797014479,-0.4429680685456275,-1.2060477207928413,14,PGF;VEGFC;VEGFB,CC,GO:0097531,mast cell migration
