sample_id,cohort,cell_line,patient_id,bin_group,source_id,n_bins,summed_bin_bp,interval_union_bp,length_weighted_mean_depth_x,unweighted_mean_bin_depth_x,median_bin_depth_x,minimum_bin_depth_x,maximum_bin_depth_x,zero_depth_bins,positive_depth_bins,zero_depth_bin_fraction,bp_in_zero_depth_bins,fraction_bp_in_zero_depth_bins,reference_retained_bins,reference_retained_bp,zero_depth_reference_retained_bins,positive_depth_reference_retained_bins,bp_in_zero_depth_reference_retained_bins,reference_retained_length_weighted_mean_depth_x,maximum_abs_log2_depth_rounding_difference,coordinates_sha256,coordinates_and_genes_sha256,status
OV1369_R2_P66,baseline_models,OV1369-R2,1369,target,CNVC015,290475,63514049,63514049,94.47202714467537,98.6927273293488,67.1612,0.0,8336.19,1645,288830,0.0056631379636801794,344283,0.005420580256188674,204706,44729346,779,203927,151575,105.57309065757896,5.509532718583898e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV1369_R2_P66,baseline_models,OV1369-R2,1369,antitarget,CNVC016,42709,2580384051,2580384051,1.907312374998089e-05,3.145529981971013e-05,0.0,0.0,0.750775,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.0424737535316057e-05,3.2318635199146684e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV2085_P64,baseline_models,OV2085,OV2085,target,CNVC017,290475,63514049,63514049,81.81343239878491,83.51318727556291,61.418,0.0,10935.8,1569,288906,0.005401497547121095,324710,0.005112412216075219,204706,44729346,678,204028,130660,88.87669344166763,5.4331484584224654e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV2085_P64,baseline_models,OV2085,OV2085,antitarget,CNVC018,42709,2580384051,2580384051,2.9205798014599496e-05,4.571469011215435e-05,0.0,0.0,1.37305,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,3.127546209929284e-05,4.162585250322426e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV2295_P61,baseline_models,OV2295,2295,target,CNVC019,290475,63514049,63514049,81.63978357555878,84.08546499564984,60.9844,0.0,9608.67,1695,288780,0.005835269816679577,351232,0.005529989120989594,204706,44729346,722,203984,139203,91.04736709035953,5.504188083627071e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV2295_P61,baseline_models,OV2295,2295,antitarget,CNVC020,42709,2580384051,2580384051,1.759505582736994e-05,2.3378931841063942e-05,0.0,0.0,0.665503,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.884192657186657e-05,8.363898277519155e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV2295_R2_P70,baseline_models,OV2295-R2,2295,target,CNVC021,290475,63514049,63514049,91.00812295478872,94.1565334180239,67.4421,0.0,9436.98,1525,288950,0.0052500215164816245,316793,0.004987762628705973,204706,44729346,669,204037,129048,101.21455151480966,5.446604112790965e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV2295_R2_P70,baseline_models,OV2295-R2,2295,antitarget,CNVC022,42709,2580384051,2580384051,1.8584052330433505e-05,2.7720077735371937e-05,0.0,0.0,0.743484,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.9901008149861314e-05,5.75908900035671e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV3133_R2_P58,baseline_models,OV3133-R2,3133,target,CNVC023,290475,63514049,63514049,98.66731858031979,102.03427498059985,69.8828,0.0,9056.16,1491,288984,0.0051329718564420345,306605,0.004827357172583974,204706,44729346,673,204033,128621,110.39085101589545,5.536547187112717e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV3133_R2_P58,baseline_models,OV3133-R2,3133,antitarget,CNVC024,42709,2580384051,2580384051,2.617587812706567e-05,4.09992390362687e-05,0.0,0.0,1.07424,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.8030827436028793e-05,4.652739261479244e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV3133_R_P71,baseline_models,OV3133-R,3133,target,CNVC025,290475,63514049,63514049,92.0949926478018,94.49332303275742,67.5744,0.0,9117.07,1492,288983,0.005136414493502023,309210,0.004868371720404725,204706,44729346,673,204033,129092,102.21428675594065,5.5748529845800476e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV3133_R_P71,baseline_models,OV3133-R,3133,antitarget,CNVC026,42709,2580384051,2580384051,2.506844983130769e-05,3.905072701304175e-05,0.0,0.0,1.05063,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.684492141578071e-05,6.385334651221042e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV3291_P46,baseline_models,OV3291,3291,target,CNVC027,290475,63514049,63514049,83.83173103613511,86.08119397558937,63.8684,0.0,8716.75,1462,289013,0.005033135381702384,301864,0.004752712270005019,204706,44729346,645,204061,123953,90.28091295971363,5.4106118192009944e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV3291_P46,baseline_models,OV3291,3291,antitarget,CNVC028,42709,2580384051,2580384051,2.2501294609962694e-05,5.0572626378515065e-05,0.0,0.0,0.802345,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.409584516085208e-05,3.8094475901528924e-07,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV3331_P54,baseline_models,OV3331,OV3331,target,CNVC029,290475,63514049,63514049,86.79985318367982,90.08545145204624,61.0644,0.0,4941.43,1665,288810,0.0057319907048799384,345944,0.005446731950595686,204706,44729346,745,203961,144285,97.30353060063149,5.5154325330875054e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV3331_P54,baseline_models,OV3331,OV3331,antitarget,CNVC030,42709,2580384051,2580384051,2.0240775396111762e-05,2.7080404598562365e-05,0.0,0.0,0.718819,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.1675134623780746e-05,6.54726647209003e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
OV90_P63,baseline_models,OV90,OV90,target,CNVC031,290475,63514049,63514049,79.8039702904165,81.83637969299775,59.8504,0.0,26129.4,1420,289055,0.00488854462518289,294024,0.004629275012840072,204706,44729346,677,204029,129886,81.4074920378975,5.44154952279996e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
OV90_P63,baseline_models,OV90,OV90,antitarget,CNVC032,42709,2580384051,2580384051,1.5964673071838015e-05,3.3108806106441264e-05,0.0,0.0,0.59664,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.7096007009850505e-05,4.813094940381291e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV112D_P83,baseline_models,TOV112D,TOV112D,target,CNVC033,290475,63514049,63514049,92.70990315745237,96.58057141743103,69.8252,0.0,11665.6,1513,288962,0.005208709871761769,316789,0.004987699650513542,204706,44729346,693,204013,134483,103.78928809041292,5.555917109489883e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV112D_P83,baseline_models,TOV112D,TOV112D,antitarget,CNVC034,42709,2580384051,2580384051,2.2995722596488798e-05,3.0359163174038265e-05,0.0,0.0,1.00435,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.4625310705525675e-05,7.205635727647319e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV1369_P65,baseline_models,TOV1369,1369,target,CNVC035,290475,63514049,63514049,93.74840176864707,97.05812287384708,66.3306,0.0,10437.6,1667,288808,0.005738875978999914,350623,0.0055204006911919595,204706,44729346,793,203913,155687,104.38113425814475,5.641650266241527e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV1369_P65,baseline_models,TOV1369,1369,antitarget,CNVC036,42709,2580384051,2580384051,2.276676695534265e-05,3.440928844037556e-05,0.0,0.0,0.969748,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,2.4380130160433013e-05,6.238475428688162e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
TOV21G_P59,baseline_models,TOV21G,TOV21G,target,CNVC037,290475,63514049,63514049,97.37533895279287,101.0224301242551,76.5263,0.0,15884.0,1430,289045,0.004922970995782769,297814,0.004688946850168535,204706,44729346,644,204062,123298,109.06293245717316,5.535969061831736e-05,23d8246024818ac5efda0744a22c7e97cd4ebd08003a62fee26a16f4fb69c465,2177970ffdbc933e488067f812e3ae4760310bd9a40fadf4e2fa5389480d955d,validated_primary_coverage_cnn
TOV21G_P59,baseline_models,TOV21G,TOV21G,antitarget,CNVC038,42709,2580384051,2580384051,1.4891960165506385e-05,2.3449024795710507e-05,0.0,0.0,0.530344,42705,4,0.9999063429253787,2580195039,0.999926750438592,40923,2409626280,40919,4,2409437268,1.594727647940493e-05,4.9040416385537355e-06,cdc8a0c3473943fb2c8ecf5e6bd0ede43f92b4411b716279f427442b7197fa54,2e5e6be663829a6f409ddf49a44032842ff2dea1a523e5423707efacd451fa21,validated_primary_coverage_cnn
