PC,var_pct,r2_subtype,r2_plex,r2_site,adjr2_subtype,adjr2_plex,adjr2_site
PC1,12.7,0.5531911262914264,0.1336475995102793,0.3606809361705023,0.4638293515497117,3.626148195531309e-4,0.31501528875410967
PC2,9.4,0.5029980329122412,0.31931663562143714,0.14616628953659666,0.4035976394946895,0.21459611802473533,0.08517816736063932
PC3,9.1,0.6289525277434831,0.2088565841003475,0.18892687914978387,0.5547430332921797,0.08714221242347797,0.13099308480333993
PC4,6.8,0.3930322004735503,0.23970651790166528,0.019305543128551487,0.27163864056826037,0.12273828988653701,-0.05074406093369488
PC5,6.1,0.36793404998165896,0.33194080573317936,0.04398435481589243,0.2415208599779909,0.22916246815366859,-0.024302476982972276
