our_line,depmap_ACH,spearman_hvg,spearman_allgenes,depmap_name,depmap_subtype,our_subtype,is_selfpair,our_line_has_depmap_namesake
BIN67,ACH-000308,0.23343480850091936,0.819359814507144,EFO21,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000091,0.23219952496033303,0.8219156589400347,OV56,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-002524,0.2271293208277239,0.8269398677723814,SNU251,Endometrioid Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000635,0.2175653969202199,0.821946580411362,SNU119,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000103,0.21343137179804206,0.8285873009199549,CAOV4,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000527,0.20046720845234645,0.8198444570261662,OVISE,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001048,0.19276520197396763,0.8096295807456962,COV504,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000291,0.1913927800731122,0.808488001750473,OV90,Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-001151,0.1875986039839889,0.8176165516465729,OVCAR5,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000646,0.18306925232251653,0.8076137194336268,OVMANA,Clear Cell Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000584,0.1797244872917201,0.8221568294849527,JHOS4,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000617,0.1762520113861864,0.8256964335917965,OVCAR4,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000713,0.1750833331971067,0.8172876242732615,CAOV3,High-Grade Serous Ovarian Cancer,SCCOHT,FALSE,TRUE
BIN67,ACH-000280,0.17484505693723273,0.8224795268039597,SNU840,"Brenner Tumor, Malignant",SCCOHT,FALSE,TRUE
