cell_line,wes_sample_id,recorded_wes_passage,mapping_status,source_file,source_sheet,source_row,source_sha256,provider_name,provider_library_name,run_type,library_source,capture_library_type,sequencing_type,adapter,provider_run,capture_bed_files,run_start_date,read_set_id,provider_number_of_reads,provider_number_of_cycles,read_configuration,provider_read_count_unit,mapping_note
TOV1369,TOV1369_P65,P65,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,9,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV1369_P65,TOV1369M_P65,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.006.Index_16.TOV1369M_P65,"65,447,940",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV21G,TOV21G_P59,P59,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,10,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV21G_P59,TOV21G_P59,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.007.Index_11.TOV21G_P59,"66,750,168",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV2295-R,TOV2295_R_P57,P57,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,11,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV2295(R)_P57,TOV2295_P57,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.005.Index_2.TOV2295_P57,"62,602,596",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV2414,TOV2414_P65,P65,name_and_passage_match,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,5,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f,TOV2414_P65,TOV2414_P65,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4706,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2018-05-25,HI.4706.007.Index_1.TOV2414_P65,"55,835,820",218,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV2835EP,TOV2835EP_P64,P64,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,12,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV2835EP_P64,TOV2835EP_P64,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.006.Index_12.TOV2835EP_P64,"64,300,176",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV2881EP,TOV2881EP_P64,P64,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,13,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV2881EP_P64,TOV2881EP_P64,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.007.Index_1.TOV2881EP_P64,"63,624,665",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV2929D,TOV2929D_P57,P57,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,14,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV2929D_P57,TOV2929D_P57,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.006.Index_19.TOV2929D_P57,"56,531,271",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV3121D,TOV3121D_P68,P68,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,15,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV3121D_P68,TOV3121D_P68,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.007.Index_3.TOV3121D_P68,"62,767,002",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV3121EP,TOV3121EP_P68,P68,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,16,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV3121EP_P68,TOV3121EP_P68,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.007.Index_9.TOV3121EP_P68,"58,190,596",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV3133D,TOV3133D_P66,P66,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,17,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV3133D_P66,TOV3133D_P66,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.005.Index_7.TOV3133D_P66,"66,119,175",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV3133G,TOV3133G_P65,P65,name_and_passage_match,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,18,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TOV3133G_P65,TOV3133G_P65,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.005.Index_15.TOV3133G_P65,"60,289,362",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV3392D,TOV3392D_P69,P69,name_and_passage_match,mcgill_r004741_provenance/WES 2018 Mes-Masson.xlsx,HiSeqRead Tab,6,0db79e6f5115abace57df51634917e6677f055c21ac007ed15faaf761eae550f,TOV3392D_P69,TOV3392_P69,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4706,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2018-05-25,HI.4706.007.Index_3.TOV3392_P69,"61,517,746",218,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,
TOV81D,TOV81D_P23,P23,candidate_alias_requires_author_confirmation,mcgill_r004741_provenance/WES 2017 Mes-Masson.xlsx,HiSeqRead Tab,19,2e13faeefabd2e5a82f4bedc1451621d275ad789820532c803d3ac85e7050804,TPV81D_23-pool,TPV81D_23-pool,PAIRED_END,gDNA,SeqCap Exome (Roche Nimblegen),Illumina HiSeq 4000 PE100,Illumina TruSeq LT,4316,SeqCap_EZ_Exome_v3.targets.bed;SeqCap_EZ_Exome_v3.probes.bed,2017-08-11,HI.4316.007.Index_10.TPV81D_23-pool,"65,085,803",208,2 x 100 bp,provider-reported Number of Reads; not used as pipeline read denominator,"Provider sequencing record TPV81D_23-pool; Sample Tab contains TOV81D_P23 and TOV81D_P23_-2. Alias and pooling composition need author confirmation. Pipeline before-fastp paired-read count 65,050,584 differs from provider count 65,085,803; proximity is not identity proof."
