PC,var_pct,r2_subtype,r2_site,r2_site_2lvl,r2_passage,adjr2_subtype,adjr2_site,adjr2_site_2lvl,adjr2_passage,r2_joint,adjr2_joint,unique_subtype,unique_site,shared,adj_unique_subtype,adj_unique_site,adj_shared,r2_joint3_with_passage,unique_passage_beyond_subtype_site,headline_site_variable,joint_aliased,unique_subtype_perm_p,unique_site_perm_p
PC1,20.6,0.7338060639739722,0.3118674770702926,0.2259123385491182,0.07733423476790392,0.6805672767687667,0.262715154003885,0.1992196605680533,0.045518173897831526,0.7357191869425848,0.6552858960120671,0.42385170987229215,0.0019131229686125684,0.30995435410168004,0.3925707420081821,-0.025281380756699612,0.2879965347605846,0.7398492090239815,0.004130022081396789,site3 (3 levels: Mes-Masson / Huntsman / Huntsman-Vanderhyden),FALSE,0.001998001998001998,0.6223776223776224
PC2,10.4,0.6899873023209567,0.20923713361832397,0.11903769454407079,0.1539822635864186,0.627984762785148,0.15275407173391853,0.08865968401110758,0.12480923819284673,0.6908684307043059,0.5967849096143121,0.48163129708598196,8.811283833491945e-4,0.20835600523497477,0.44403083788039355,-0.031199853170835956,0.18395392490475448,0.7115882104599076,0.020719779755601686,site3 (3 levels: Mes-Masson / Huntsman / Huntsman-Vanderhyden),FALSE,0.001998001998001998,0.7962037962037962
PC3,7.9,0.5769399433073217,0.05283554097396475,0.05280161735814296,0.03099783482661379,0.492327931968786,-0.014819063242180741,0.02013960416359606,-0.002416032937985868,0.5786123853055025,0.4503639808332641,0.5257768443315378,0.0016724419981808403,0.05116309897578386,0.46518304407544486,-0.04196395113552187,0.02714488789334113,0.578847596523127,2.3521121762448693e-4,site3 (3 levels: Mes-Masson / Huntsman / Huntsman-Vanderhyden),FALSE,0.001998001998001998,0.7962037962037962
PC4,7.2,0.23786388328974992,0.06286921733093691,0.06272490042091758,0.08291766762737086,0.0854366599477,-0.004068695716853421,0.030405069400949225,0.05129413892486634,0.252114946726484,0.024497756599761833,0.18924572939554707,0.014251063436734074,0.04861815389420282,0.028566452316615254,-0.06093890334793817,0.056870207631084746,0.27140794365261517,0.01929299692613118,site3 (3 levels: Mes-Masson / Huntsman / Huntsman-Vanderhyden),FALSE,0.32367632367632365,0.45254745254745254
PC5,6.2,0.3674636839967931,0.042743798788770083,0.004465783232995346,4.669210305469938e-5,0.24095642079615176,-0.025631644154889166,-0.02986298286241884,-0.03443445644511578,0.39323360501003635,0.20856557175222135,0.35048980622126624,0.02576992101324327,0.016973877775526836,0.2341972159071105,-0.032390849043930414,0.006759204889041248,0.3958232263200875,0.002589621310051138,site3 (3 levels: Mes-Masson / Huntsman / Huntsman-Vanderhyden),FALSE,0.07292707292707293,0.4745254745254745
