"reference","signature","sbs3_reference_cosine"
"target_restricted","SBS14",0.316198611083395
"target_restricted","SBS15",0.132777971563782
"target_restricted","SBS20",0.443676960697885
"target_restricted","SBS21",0.265955691298218
"target_restricted","SBS26",0.357519773782703
"target_restricted","SBS44",0.413664021134684
"target_restricted","SBS10a",0.110776051355486
"target_restricted","SBS10b",0.0616412499668681
"target_restricted","SBS10c",0.38329786248531
"target_restricted","SBS10d",0.197034758835986
"target_restricted","SBS28",0.119967813996763
"target_restricted","SBS2",0.0948225777665445
"target_restricted","SBS13",0.264696327406265
"target_restricted","SBS3",1
"target_restricted","SBS8",0.700112656310636
"target_restricted","SBS17a",0.236751721382368
"target_restricted","SBS17b",0.0881815520916467
"target_restricted","SBS18",0.460992586833482
