"cell_line","substrate","reference","signature","bootstrap_count_correlation_with_sbs3"
"OV2085","baseline","genome_full","SBS32",-0.124406259949909
"OV2085","baseline","genome_full","SBS33",0.148123496201744
"OV2085","baseline","genome_full","SBS34",
"OV2085","baseline","genome_full","SBS35",0.00270589620256087
"OV2085","baseline","genome_full","SBS36",
"OV2085","baseline","genome_full","SBS37",0.044389374214484
"OV2085","baseline","genome_full","SBS38",-0.0426846244653367
"OV2085","baseline","genome_full","SBS39",-0.420457955559082
"OV2085","baseline","genome_full","SBS40",-0.0707432653778858
"OV2085","baseline","genome_full","SBS41",
"OV2085","baseline","genome_full","SBS42",
"OV2085","baseline","genome_full","SBS44",
"OV2085","baseline","genome_full","SBS84",-0.0426846244653369
"OV2085","baseline","genome_full","SBS85",-0.0426846244653366
"OV2085","baseline","genome_full","SBS86",-0.0261090193453068
"OV2085","baseline","genome_full","SBS87",0.0435856157078539
"OV2085","baseline","genome_full","SBS88",-0.0262852526067575
"OV2085","baseline","genome_full","SBS89",-0.113868672633799
"OV2085","baseline","genome_full","SBS90",
"OV2085","baseline","genome_full","SBS91",
"OV2085","baseline","genome_full","SBS92",
"OV2085","baseline","genome_full","SBS93",
"OV2085","baseline","genome_full","SBS94",
"OV2295","baseline","genome_full","SBS1",-0.0571708587778745
"OV2295","baseline","genome_full","SBS2",-0.057825672592984
"OV2295","baseline","genome_full","SBS3",1
"OV2295","baseline","genome_full","SBS4",0.0279129804787401
"OV2295","baseline","genome_full","SBS5",-0.0677070110898533
"OV2295","baseline","genome_full","SBS6",-0.0884704912209424
"OV2295","baseline","genome_full","SBS7a",0.34120146901307
"OV2295","baseline","genome_full","SBS7b",-0.0970390986762566
"OV2295","baseline","genome_full","SBS7c",
"OV2295","baseline","genome_full","SBS7d",-0.0072528610880838
"OV2295","baseline","genome_full","SBS8",-0.0484681525377673
"OV2295","baseline","genome_full","SBS9",-0.0264328028275544
"OV2295","baseline","genome_full","SBS10a",-0.0739646480764327
"OV2295","baseline","genome_full","SBS10b",-0.0841523034359518
"OV2295","baseline","genome_full","SBS10c",
"OV2295","baseline","genome_full","SBS10d",0.0340820140828017
"OV2295","baseline","genome_full","SBS11",0.00309239181269455
"OV2295","baseline","genome_full","SBS12",-0.147143430258679
"OV2295","baseline","genome_full","SBS13",
"OV2295","baseline","genome_full","SBS14",
"OV2295","baseline","genome_full","SBS15",-0.036926111385877
"OV2295","baseline","genome_full","SBS16",
"OV2295","baseline","genome_full","SBS17a",
"OV2295","baseline","genome_full","SBS17b",-0.0484681525377673
"OV2295","baseline","genome_full","SBS18",-0.108433419588625
"OV2295","baseline","genome_full","SBS19",-0.033379470618105
"OV2295","baseline","genome_full","SBS20",
"OV2295","baseline","genome_full","SBS21",-0.120368494991117
"OV2295","baseline","genome_full","SBS22",-0.0287037707377201
"OV2295","baseline","genome_full","SBS23",-0.0686225785030371
"OV2295","baseline","genome_full","SBS24",-0.187043331832139
"OV2295","baseline","genome_full","SBS25",-0.139140185944691
"OV2295","baseline","genome_full","SBS26",-0.065554028519458
"OV2295","baseline","genome_full","SBS28",
"OV2295","baseline","genome_full","SBS29",
"OV2295","baseline","genome_full","SBS30",-0.0335030106680424
"OV2295","baseline","genome_full","SBS31",-0.301782641169009
"OV2295","baseline","genome_full","SBS32",-0.153881106444594
"OV2295","baseline","genome_full","SBS33",0.106353289466864
"OV2295","baseline","genome_full","SBS34",
