"cell_line","substrate","reference","replicate","sbs3_count","total_fitted","sbs3_fraction"
"OV2295","baseline","genome_full",135,0,375.47097913529,0
"OV2295","baseline","genome_full",136,0,392.36514326796,0
"OV2295","baseline","genome_full",137,0,393.070451432343,0
"OV2295","baseline","genome_full",138,0,395.649062543819,0
"OV2295","baseline","genome_full",139,0,388.542849847619,0
"OV2295","baseline","genome_full",140,51.9116125727378,398.568023563929,0.130245301940062
"OV2295","baseline","genome_full",141,0,405.057948707369,0
"OV2295","baseline","genome_full",142,137.91705827933,392.162334149279,0.35168359189445
"OV2295","baseline","genome_full",143,0,389.763798775007,0
"OV2295","baseline","genome_full",144,0,395.402741519235,0
"OV2295","baseline","genome_full",145,0,396.63711059764,0
"OV2295","baseline","genome_full",146,0,386.189561664688,0
"OV2295","baseline","genome_full",147,0,401.091781423004,0
"OV2295","baseline","genome_full",148,89.0552384843622,392.573972746442,0.226849574008519
"OV2295","baseline","genome_full",149,168.73310587932,386.732474570752,0.436304466198768
"OV2295","baseline","genome_full",150,0,395.162909864156,0
"OV2295","baseline","genome_full",151,68.3572688536577,388.544675234122,0.175931554878389
"OV2295","baseline","genome_full",152,0,396.064076674023,0
"OV2295","baseline","genome_full",153,59.3387376713624,378.866450584992,0.156621779468042
"OV2295","baseline","genome_full",154,13.5065454950985,388.686525820256,0.0347491991563002
"OV2295","baseline","genome_full",155,0,396.240502892379,0
"OV2295","baseline","genome_full",156,122.556413311324,403.669522910458,0.303605812070459
"OV2295","baseline","genome_full",157,0,395.223392194261,0
"OV2295","baseline","genome_full",158,0,385.154252896763,0
"OV2295","baseline","genome_full",159,0,385.044954999164,0
"OV2295","baseline","genome_full",160,0,374.537751006505,0
"OV2295","baseline","genome_full",161,0,406.638872540294,0
"OV2295","baseline","genome_full",162,42.686608755836,402.472311665778,0.106060982379538
"OV2295","baseline","genome_full",163,98.6807082130758,387.086336607479,0.254932036811059
"OV2295","baseline","genome_full",164,0,386.14151979281,0
"OV2295","baseline","genome_full",165,64.3912587435338,393.944139222293,0.163452764827653
"OV2295","baseline","genome_full",166,0,385.881544101878,0
"OV2295","baseline","genome_full",167,90.3705039064995,387.826937472551,0.233017604438309
"OV2295","baseline","genome_full",168,0,391.694993470412,0
"OV2295","baseline","genome_full",169,0,390.076491908285,0
"OV2295","baseline","genome_full",170,0,403.55436129674,0
"OV2295","baseline","genome_full",171,0,394.348565089395,0
"OV2295","baseline","genome_full",172,66.9891327806226,394.02908582497,0.170010629140153
"OV2295","baseline","genome_full",173,0,394.154074358723,0
"OV2295","baseline","genome_full",174,0,383.01372944512,0
"OV2295","baseline","genome_full",175,0,384.074015136439,0
"OV2295","baseline","genome_full",176,0,389.487077624124,0
"OV2295","baseline","genome_full",177,0,386.073238047358,0
"OV2295","baseline","genome_full",178,48.6598857900986,395.461550809062,0.12304580733714
"OV2295","baseline","genome_full",179,0,378.628702800711,0
"OV2295","baseline","genome_full",180,0,394.816788692706,0
"OV2295","baseline","genome_full",181,74.5698012534053,393.265866049522,0.18961676486821
"OV2295","baseline","genome_full",182,0,388.533618093218,0
"OV2295","baseline","genome_full",183,0,387.970488604898,0
"OV2295","baseline","genome_full",184,0,407.501791071934,0
"OV2295","baseline","genome_full",185,0,395.154061306421,0
"OV2295","baseline","genome_full",186,61.2977504125041,402.438158849079,0.152315949828932
"OV2295","baseline","genome_full",187,0,389.826809282453,0
"OV2295","baseline","genome_full",188,0,405.023353011505,0
"OV2295","baseline","genome_full",189,0,390.980399064419,0
"OV2295","baseline","genome_full",190,0,383.23850944949,0
"OV2295","baseline","genome_full",191,0,393.734027151686,0
"OV2295","baseline","genome_full",192,0,388.454413832748,0
"OV2295","baseline","genome_full",193,0,398.837882405709,0
"OV2295","baseline","genome_full",194,0,390.562558165411,0
"OV2295","baseline","genome_full",195,74.7745109643026,389.201079252102,0.192123082258639
"OV2295","baseline","genome_full",196,0,380.577670679447,0
"OV2295","baseline","genome_full",197,0,379.339974583365,0
"OV2295","baseline","genome_full",198,0,376.761519133542,0
"OV2295","baseline","genome_full",199,0,387.790162027265,0
"OV2295","baseline","genome_full",200,163.925839931144,403.473545348723,0.406286463687383
"OV2295-R2","baseline","genome_full",1,0,562.722470204322,0
"OV2295-R2","baseline","genome_full",2,0,574.2748630732,0
"OV2295-R2","baseline","genome_full",3,121.514313205967,565.478903672897,0.21488743862363
"OV2295-R2","baseline","genome_full",4,0,565.51731714533,0
