"cell_line","substrate","reference","signature","count","fraction"
"OV2085","baseline","genome_full","SBS34",0,0
"OV2085","baseline","genome_full","SBS35",0,0
"OV2085","baseline","genome_full","SBS36",0,0
"OV2085","baseline","genome_full","SBS37",0,0
"OV2085","baseline","genome_full","SBS38",0,0
"OV2085","baseline","genome_full","SBS39",44.7855559796318,0.0950296325691288
"OV2085","baseline","genome_full","SBS40",0,0
"OV2085","baseline","genome_full","SBS41",0,0
"OV2085","baseline","genome_full","SBS42",0,0
"OV2085","baseline","genome_full","SBS44",0,0
"OV2085","baseline","genome_full","SBS84",0,0
"OV2085","baseline","genome_full","SBS85",0,0
"OV2085","baseline","genome_full","SBS86",0,0
"OV2085","baseline","genome_full","SBS87",55.4461195372137,0.117650082749933
"OV2085","baseline","genome_full","SBS88",0,0
"OV2085","baseline","genome_full","SBS89",0,0
"OV2085","baseline","genome_full","SBS90",0,0
"OV2085","baseline","genome_full","SBS91",0,0
"OV2085","baseline","genome_full","SBS92",0,0
"OV2085","baseline","genome_full","SBS93",0,0
"OV2085","baseline","genome_full","SBS94",0,0
"OV2295","baseline","genome_full","SBS1",44.8631390379453,0.116553079665178
"OV2295","baseline","genome_full","SBS2",0,0
"OV2295","baseline","genome_full","SBS3",58.5775288838615,0.152182650099793
"OV2295","baseline","genome_full","SBS4",0,0
"OV2295","baseline","genome_full","SBS5",0,0
"OV2295","baseline","genome_full","SBS6",0,0
"OV2295","baseline","genome_full","SBS7a",0,0
"OV2295","baseline","genome_full","SBS7b",37.3201021195607,0.0969564976667081
"OV2295","baseline","genome_full","SBS7c",0,0
"OV2295","baseline","genome_full","SBS7d",0,0
"OV2295","baseline","genome_full","SBS8",0,0
"OV2295","baseline","genome_full","SBS9",0,0
"OV2295","baseline","genome_full","SBS10a",0,0
"OV2295","baseline","genome_full","SBS10b",0,0
"OV2295","baseline","genome_full","SBS10c",0,0
"OV2295","baseline","genome_full","SBS10d",0,0
"OV2295","baseline","genome_full","SBS11",0,0
"OV2295","baseline","genome_full","SBS12",0,0
"OV2295","baseline","genome_full","SBS13",0,0
"OV2295","baseline","genome_full","SBS14",0,0
"OV2295","baseline","genome_full","SBS15",0,0
"OV2295","baseline","genome_full","SBS16",0,0
"OV2295","baseline","genome_full","SBS17a",0,0
"OV2295","baseline","genome_full","SBS17b",0,0
"OV2295","baseline","genome_full","SBS18",0,0
"OV2295","baseline","genome_full","SBS19",0,0
"OV2295","baseline","genome_full","SBS20",0,0
"OV2295","baseline","genome_full","SBS21",0,0
"OV2295","baseline","genome_full","SBS22",0,0
"OV2295","baseline","genome_full","SBS23",0,0
