"cell_line","substrate","reference","dictionary","opportunity_model","n_snv","n_reference_signatures","n_selected","sbs3_count","total_fitted","sbs3_fraction","reconstruction_cosine","nnls_without_sbs3_delta_sse_per_n_squared","nnls_with_sbs3_cosine","nnls_without_sbs3_cosine","n_boots","seed","cache_sha256","boot_fraction_lo95","boot_fraction_hi95","boot_fraction_median","boot_selected_fraction","boot_count_lo95","boot_count_hi95","patient_id","subtype","patient_representative","interpretation"
"OV2085","rare","target_full","full","target",375,60,4,0,370.42721537813,0,0.944445741677641,0,0.955098740177081,0.955098740177081,0,64735369,"1572b2a517300e8c6eb4b8cd6468ad7c247abe8a9f11f26b9edc283c0fd84cbd",,,,,,,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","baseline","target_restricted","restricted","target",476,22,4,55.6050485838209,488.542916507674,0.113818145151527,0.944610355573801,6.5281880816997e-05,0.951747766802404,0.9499150402333,200,264459337,"00dbc3d055fb648e38aa0ef10b89e189be127154b8044a802325f0309fc8bbfd",0,0.33580442532845,0.155367755475083,0.83,0,165.026992206838,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","rare_read_supported","target_restricted","restricted","target",267,22,2,0,269.422886972962,0,0.905650788710461,2.23229911365742e-05,0.910883375793363,0.910199063399392,200,160969270,"4c1a17c01231dcd993d9700c3d7f1e399b56381fcc1d7b873e55226d684181df",0,0.327433177800045,0.0201714003594115,0.5,0,92.5708081780384,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","baseline","genome_full","full","genome",476,60,9,45.850529767561,471.279902582521,0.0972893805068053,0.956433224096001,2.97960240883377e-06,0.958074742002269,0.957991721323965,200,264459337,"eb5968c7bf5de97ecf5ba26330dd1796bc29d470e30945d2c7a56b61e40b5fb6",0,0.355188440066618,0,0.32,0,167.61596436182,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","rare_read_supported","genome_full","full","genome",267,60,11,0,261.925880726344,0,0.936711969744147,0,0.940194271348055,0.940194271348055,200,160969270,"a4d78817da3c216d8da870dec41787426706730d418cd090d3a5b4386f72b89d",0,0,0,0.02,0,0,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","rare","target_restricted","restricted","target",375,22,2,0,376.426902532493,0,0.925568157278916,9.8201744315803e-06,0.931099855561637,0.930785708670871,0,64735369,"89833d07e3b2aaf3cc50d24887049922da61e2d80258a74a75c06046fbd06c65",,,,,,,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","baseline","target_full","full","target",476,60,17,29.0772537171516,477.478502053943,0.0608975139028701,0.969990813079442,4.31039574453634e-06,0.970588135801795,0.970469581524839,200,264459337,"340803e91c20eba5266dc6f5d9d7110b560e395d981adde62c1f35e55a4c5b76",0,0.347613112265279,0,0.325,0,168.502360782714,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","rare_read_supported","target_full","full","target",267,60,12,0,264.353576028175,0,0.940816853997028,0,0.946328056062389,0.946328056062389,200,160969270,"d5d8356d1fac626db40437812c2176db7a22df5f2eb770fab3e050391c0bc0b6",0,0,0,0.02,0,0,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","rare","genome_full","full","genome",375,60,8,0,360.0865345237,0,0.940986836502383,6.5120114243675e-07,0.946539449618046,0.946518960763099,0,64735369,"e44644bfd9050269257aa6f9aef0eb609101cab2008fab80f261efff227e77e9",,,,,,,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV2085","rare_read_supported","genome_restricted","restricted","genome",267,22,4,48.436291557245,260.106110758564,0.186217430324828,0.87196727529678,0.00012880711988922,0.876820383040621,0.872710306307811,200,160969270,"656d7799316dd1bc44b43dd9e76e9957b219f0253653d3361ece4c68d07b18f6",0,0.506297173229524,0.239936844810597,0.9,0,132.765184979697,"OV2085","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
