"cell_line","substrate","reference","dictionary","opportunity_model","n_snv","n_reference_signatures","n_selected","sbs3_count","total_fitted","sbs3_fraction","reconstruction_cosine","nnls_without_sbs3_delta_sse_per_n_squared","nnls_with_sbs3_cosine","nnls_without_sbs3_cosine","n_boots","seed","cache_sha256","boot_fraction_lo95","boot_fraction_hi95","boot_fraction_median","boot_selected_fraction","boot_count_lo95","boot_count_hi95","patient_id","subtype","patient_representative","interpretation"
"OV3133-R2","rare_read_supported","genome_restricted","restricted","genome",214,22,5,74.126687786216,213.482315258991,0.347226362503552,0.868666006487978,0.000235861713508591,0.874295041330913,0.86708241176585,200,232348555,"ba8233bfa5525be3fb2f31187413b95909e37c33e4812610b2675c068831903e",0,0.603041214139013,0.352427680018139,0.97,0,126.928517299236,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","baseline","target_full","full","target",395,60,9,0,395.740405161774,0,0.945493191865924,2.59758333621857e-06,0.955098476010009,0.955023633303196,200,1670982,"da22ca87292d956c8948cc56aa7f080a02976275d61055a9b99abd4e5922d1ab",0,0.272102157405429,0,0.295,0,108.020381534425,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare","genome_full","full","genome",296,60,7,74.4721177349789,285.060487601133,0.261250229246724,0.917214535701765,3.89605881097123e-05,0.93256822320703,0.931377476650771,0,103356932,"11e5ac84e0cd032907a07efaa9136a9d2b0d010478631639f32375a961738102",,,,,,,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare_read_supported","target_full","full","target",214,60,7,12.0435768527628,212.726677264149,0.0566152633400461,0.913265338362459,9.81227967403298e-06,0.920925994413899,0.920642260536067,200,232348555,"e5955915f3f28c3dfcde94dca4da882aa7e516154217f0c0489f3e99ed026c4b",0,0.390800213822693,0,0.48,0,84.9484612071246,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare","genome_restricted","restricted","genome",296,22,6,99.2014043334227,286.337715088713,0.346448962556987,0.889621606596406,0.000146709683009572,0.89391917393731,0.889232144660079,0,103356932,"ee454d57564ac5d448d8e7a3831fd63d28c7b729d46a0e390f2b6362f7b20dd0",,,,,,,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3133-R2","rare_read_supported","target_restricted","restricted","target",214,22,4,32.7955022181483,216.964244469356,0.151156252950151,0.885662169053842,4.53685769323455e-05,0.890168910510494,0.88881086838744,200,232348555,"318732776704cff152e35b7dd7b0d3a1e90b4035e8299047a3c15fc886cf90e2",0,0.402698752495963,0.130130933247156,0.65,0,88.018859151429,"3133","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare_read_supported","target_restricted","restricted","target",243,22,4,46.3752454209322,239.979751036827,0.193246493591935,0.871363336207057,0.000161596088535729,0.876342554896895,0.871272860023388,200,75770822,"03c875d896200426dfcb0e702392b6c2c694c06979cb1c3832a94e321a09c599",0,0.528194719853058,0.227536889731334,0.87,0,125.811003591653,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","baseline","genome_full","full","genome",430,60,9,0,413.069210545704,0,0.932588912436425,0,0.940354261081765,0.940354261081765,200,26587481,"27e7116465700d4845ff1bf86e6398a43ed90cb9b19dd56a6b46c221d550058a",0,0.343194515844459,0,0.105,0,144.859960119957,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare","target_full","full","target",360,60,9,0,359.886153246026,0,0.922765976618969,0,0.933006608681753,0.933006608681753,0,217571141,"6d7cfc0348f5b87f9ec6421add869133880ad9faa17de231b0db6b275360fff0",,,,,,,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare_read_supported","genome_full","full","genome",243,60,12,54.2195484247996,247.155519407924,0.21937421650419,0.921234974508961,2.30418823558196e-06,0.92605688872094,0.92598867635212,200,75770822,"721c70a0fb4c991eed05b9e497e4ba07fb094c093e6fcd71a9c1e7fb847de490",0,0.408853881304418,0,0.275,0,101.096419815776,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare","target_restricted","restricted","target",360,22,4,0,345.265189896646,0,0.883555280748911,3.77911353051634e-06,0.888708504201139,0.888584148345801,0,217571141,"54f4af11530f667ec283ff7c7e4778ddb377d696b6f341c3b139f46c5d35cf93",,,,,,,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare_read_supported","genome_restricted","restricted","genome",243,22,6,129.740256970897,241.557734517823,0.537098334813718,0.874766352802371,0.000633566333715813,0.877971098624444,0.857960674976797,200,75770822,"f007388e0fc8a715b207e6cf6f58b20925814b492c48f54447cbc19b7e2d860d",0.258610563439632,0.780883897065437,0.51061107238049,0.995,63.215043263578,183.456582603694,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","baseline","target_full","full","target",430,60,8,0,434.567458519594,0,0.939819702886839,0,0.950142740786561,0.950142740786561,200,26587481,"028dea08435f352b686d396140fefb12eec7006d8884ef72c4e63785a0b9f22f",0,0.191082968076459,0,0.085,0,81.3932643444008,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare","genome_full","full","genome",360,60,12,0,352.305661540758,0,0.911699141197094,0,0.916212959146162,0.916212959146162,0,217571141,"61a1826563d903c489242aa91e02fab980ba47f848949d1f567141dff118a7ac",,,,,,,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","baseline","target_restricted","restricted","target",430,22,4,0,421.333250367499,0,0.911383994754673,2.35085424931177e-07,0.915848298305531,0.915840783828993,200,26587481,"089886919b93f1b20a5c7396f73b696303bc6d5ef3b7d4ee958dae6b5bbce575",0,0.239168682638503,0,0.37,0,103.93149534919,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare","genome_restricted","restricted","genome",360,22,6,137.564967552358,334.171868507636,0.411659330172536,0.862882250005396,0.000288948084598029,0.866067716195731,0.856256106658493,0,217571141,"d9aa3a4c15c0851dd03505b0b1d4e1770a2957a44e02c27495861d83e2348d5b",,,,,,,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","rare_read_supported","target_full","full","target",243,60,9,33.2351122921051,254.568574863124,0.130554654320451,0.926683626972243,1.06375615323002e-05,0.93057893804121,0.930265516489377,200,75770822,"04e1e17c72a94a3adfdfec5effa2f6921053bdaa3eb204d9d544dd0ee67e8da5",0,0.266349471450795,0,0.245,0,67.7408369187189,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"OV3291","baseline","genome_restricted","restricted","genome",430,22,6,152.802578972248,408.861908550307,0.373726619615989,0.892388464895973,0.000220334327969542,0.897912708973399,0.890700129575898,200,26587481,"0bcbc3edcdf9366e308025eaee7cad82668f08db9bc9771202a995c8d6bc9455",0.1207936147202,0.589362685885295,0.36291635661301,0.98,48.6651814647256,246.39703968196,"3291","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare_read_supported","genome_restricted","restricted","genome",427,22,5,307.006676759418,411.976629725958,0.745204107727263,0.892828665249766,0.00101736747245944,0.895244214506866,0.858479382081614,200,39868034,"82e2c17c26fbcf91c3a114dd868d5e3a3aa895137aab5bfaa97786d90ab80611",0.519671999918008,0.88372392151386,0.706077581047282,1,209.038884665464,364.990672858041,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare","target_full","full","target",574,60,6,0,561.320198355128,0,0.917651622015955,1.99038550947186e-07,0.92809596224446,0.928089083412483,0,84651932,"08576fbb23c7cd8c81c59bcb58b5e7c0a3e462d0fbc665bca51c7dc41cbfbdc7",,,,,,,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare_read_supported","target_restricted","restricted","target",427,22,2,245.224099017981,401.60497341482,0.61061021464166,0.880678251446774,0.000464922943427378,0.89338015896173,0.876734713745667,200,39868034,"8eba8dd11cca67f1e1399cd1c8eea3f1394c274af27b4cf970eb2f5ffe47985d",0.229989160637272,0.699381116243356,0.477102384395158,1,91.8138084949895,299.310621365572,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare","genome_restricted","restricted","genome",574,22,4,243.754374518603,547.001978160588,0.44561881720845,0.887492066926414,0.000455390892826408,0.890104253242438,0.873539989925557,0,84651932,"020c2511189fc79912ee703cc3e26772d34b014d995f308d8eaaa78249ec1d2f",,,,,,,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","baseline","genome_full","full","genome",686,60,7,263.375650740445,659.271477088163,0.399494987867076,0.931146889106813,1.05603401834704e-05,0.943486759162813,0.943143503628178,200,248309595,"ffef09bfa271c18fc9c5601ec07e20f5dbbd811b822f80ddb604e47531c4e824",0,0.596765052316233,0.18853501082089,0.65,0,398.098868491547,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare","target_restricted","restricted","target",574,22,4,109.435371990079,551.565350060689,0.198408714358212,0.898854250083591,9.99816685476503e-05,0.905693354722362,0.902145552338411,0,84651932,"436165d352fa6c0d2c649b1f963083c32c97d1b5d8ce1c40b517e0e811f3ef2f",,,,,,,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","baseline","genome_restricted","restricted","genome",686,22,5,264.252818829272,656.176020531137,0.402716360490246,0.913524369712189,0.000338802532138346,0.914591278917191,0.903161488432896,200,248309595,"e82318b0e7753a7897c8cb3c5bb1cd9cee8abb61507d8b30e4da82c8a9670a48",0.224260425919084,0.608347078599664,0.401612318451775,0.995,146.694043123696,393.424594175871,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare_read_supported","genome_full","full","genome",427,60,6,153.823496637099,410.384747438514,0.374827518803305,0.909160585751523,5.62470914541176e-05,0.920324451465427,0.918385786938699,200,39868034,"11fb0a907e5f560916caf3d0561ee9fd6419c71cba0495d0960a34ed0e5170fa",0,0.622155069222083,0.234754694953105,0.73,0,261.169432593058,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","baseline","target_full","full","target",686,60,6,0,678.148226073847,0,0.938188822191287,1.00385993505768e-06,0.946744073729794,0.94671156167455,200,248309595,"237ace2fc369c53fb83a2e3af6b197b5be60448bd284e34bca1b3e5a7c949812",0,0.349809133610937,0,0.32,0,234.093645809183,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","baseline","target_restricted","restricted","target",686,22,6,128.254814922625,664.124970181397,0.193118495284997,0.930779519811247,7.37620791446257e-05,0.93124564879614,0.928813821345354,200,248309595,"251fbd8163c57bd3425bcea7e2099fbe25fb9f1c7f0cad6f005a7e05eab6f8a7",0,0.383980211267845,0.192868988486642,0.84,0,260.006434556177,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare","genome_full","full","genome",574,60,10,65.4035092016578,559.640245026921,0.116867058405551,0.925086558258543,1.82638619937465e-05,0.929517428202144,0.928886977460096,0,84651932,"4078b824010dc65c8af6bd27d5899203ab6a7145b4a0a28e7e6b95256cd2d47b",,,,,,,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV1369","rare_read_supported","target_full","full","target",427,60,9,43.6316430554087,427.324753791537,0.10210417877335,0.914151150603964,2.9906390924011e-05,0.918858821015993,0.917826903359076,200,39868034,"f80dbe8b5ce659d8f490f67adf9de29ad58995f9e1dbbb791cc550fa6452a0b6",0,0.471061381621212,0.12032131365171,0.61,0,202.484791448226,"1369","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","baseline","target_full","full","target",418,60,10,78.0371753364425,413.926091874443,0.188529249226728,0.953442329610751,1.48997490381449e-05,0.962509823665172,0.962083113128222,200,215296314,"d0e36b056ed4d2169eeac047f7e280f0d9901aad22d6e70cd22cc4e94397d28c",0,0.349639426751106,0.110985315559477,0.585,0,144.317270427353,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare_read_supported","genome_restricted","restricted","genome",249,22,5,132.018993827929,246.628931655485,0.535294026299985,0.840361880941575,0.000800541020617191,0.841284727816792,0.815836857226016,200,20864372,"4d4132d0a1a73436fc962f6b683ebd14b4c580fbe67fa408d35975b2553a0257",0.344147396616162,0.709043178741849,0.505176680275367,1,83.1199965918756,175.280233451758,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare","genome_full","full","genome",334,60,9,0,315.429100341205,0,0.915720009897495,0,0.929202165363406,0.929202165363406,0,262803034,"95b3dfc900b46a060d0c543d1b37bafa4572e349a873f2b5f3415097738b7532",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare_read_supported","target_restricted","restricted","target",249,22,4,78.483960209161,251.266368061758,0.312353622231968,0.859600912606144,0.000261781888231363,0.864655944147242,0.856644604949983,200,20864372,"8ffdf1429257ab8947dd5c637a80c48a34af5e0b44bb7a6101954a92800a7172",0,0.612303006436575,0.332578269201655,0.94,0,153.919580036785,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare","genome_restricted","restricted","genome",334,22,6,156.752401970229,321.747990254437,0.487189995643081,0.859971131729278,0.000647256424043048,0.860099624369884,0.838719721639295,0,262803034,"fefa1f85e7462aeabf1304731f338ae04dabe11a777cf5df48f4ca77acec0317",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare","target_full","full","target",334,60,12,36.9173199042209,336.002678160574,0.109872100146113,0.944597452200362,1.80269895756903e-06,0.947885034843166,0.947831673552765,0,262803034,"83aa33f4582c2e3e3ea5e2f5b737fc669f1b382b7c3bb10d3d4b64002c765ade",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare","target_restricted","restricted","target",334,22,4,85.4268128017162,333.704672143059,0.255995255484747,0.891981869256179,0.000200466283298138,0.89613692043589,0.889838343296529,0,262803034,"008c3c00289c128d9644dc1af307dfeec9254eea282eb42a9549625ee2f6f34b",,,,,,,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","baseline","genome_restricted","restricted","genome",418,22,6,187.912535997349,410.671524825998,0.457573814198508,0.889600584987716,0.000586793246076423,0.889601251182163,0.871233336755502,200,215296314,"b22b255d3a757c816ff153967f61f0e8b3a4fdfd3a862a31d87e2926111c6024",0.289959061085197,0.607421255055893,0.447269725519003,1,121.902372889798,247.934810569254,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","baseline","target_restricted","restricted","target",418,22,5,90.2297096760096,424.523349515107,0.212543573348958,0.914507166476792,0.000159791159030115,0.916928714912945,0.912113426144425,200,215296314,"8413070a66aa03300eef29524dc24b62ba4171440b7e0a9961aa5197a8b2a140",0,0.448660799343439,0.245328028661271,0.935,0,190.963096500074,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare_read_supported","genome_full","full","genome",249,60,11,40.4501804034207,243.053429475888,0.166425055143826,0.904738192984564,1.40331585538424e-06,0.914105426625836,0.914064991296356,200,20864372,"1fdddadf8d97fed09145d5767ccbeb198456252b464b0d2b1cda1cd69f79f353",0,0.307835565047672,0,0.245,0,76.4217230755987,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","baseline","genome_full","full","genome",418,60,10,67.7182619868153,405.99813676276,0.166794514198437,0.945495576961186,1.08767080272855e-05,0.951773167841733,0.951458176083589,200,215296314,"ce9fc9476e7fc45f1b773d51dad121fa24be753d365aad0fcbd1aa1958199725",0,0.458431828410056,0.0913362963163372,0.545,0,182.094190418212,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2295-R","rare_read_supported","target_full","full","target",249,60,13,31.6328495715993,251.708870090757,0.125672367287627,0.922436048172966,9.85224129916542e-06,0.924008781573664,0.923727903919196,200,20864372,"11a006286a88c5f310cbcc847c3c96b9973897869c0a2abbb6eda5824457b379",0,0.34330250856465,0,0.375,0,83.8467173334015,"2295","HGS",FALSE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare_read_supported","genome_restricted","restricted","genome",216,22,6,60.0733293128297,216.08686761171,0.278005461307239,0.873110452651246,0.000162909718542019,0.876642620960438,0.872305416781053,200,119752660,"975046a697dccc5dfa23d922e1ded5b731b78bcb53ee532d5533e6543139f69f",0,0.464444786823839,0.231236962336407,0.9,0,101.183889731909,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare_read_supported","target_restricted","restricted","target",216,22,4,0,223.246815958296,0,0.898191544945035,1.54367973949139e-05,0.903355301107201,0.902957373513577,200,119752660,"783f1086e7fbcb809341f140fbc6897013fe2a1f560a382367b9719e7b1e14bc",0,0.270359023311911,0,0.46,0,59.6724746311482,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare","genome_restricted","restricted","genome",412,22,7,71.1690383901059,396.297397197976,0.179584925092386,0.899219821963296,9.07794556166075e-05,0.902500576481337,0.899733556367629,0,38302123,"0b91a38c0514cb137192d5e4b3e983e4669e125a7f7d9c0505ca27de3337a09e",,,,,,,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare","target_restricted","restricted","target",412,22,5,0,416.822512737702,0,0.930013921620426,0,0.934937606230693,0.934937606230693,0,38302123,"4a329b02eddbe208be9274af9285455ec8641d8ed2c863194381f771dbe26559",,,,,,,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","baseline","genome_restricted","restricted","genome",514,22,7,86.742913437042,487.897999168913,0.177789032922455,0.905125596465808,0.000110765003972402,0.91122332421557,0.907866273473977,200,195334460,"a232efed96a23a29856464e7894cbbd5b833f728036f22881599d23a5da912d7",0,0.396344735871819,0.221525060348453,0.925,0,194.799680302001,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","baseline","target_restricted","restricted","target",514,22,5,0,524.52223671557,0,0.942500313642054,0,0.947128218383507,0.947128218383507,200,195334460,"261a3ca3335640168ef67d4180bebdb18eac2b0cc412d52bb2f7d57acf50e880",0,0.154956458107841,0,0.095,0,78.7706239479869,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare_read_supported","genome_full","full","genome",216,60,12,0,212.169431833734,0,0.92654370319279,0,0.936633447051637,0.936633447051637,200,119752660,"583d950de6a2d5980c926c137d517d62498b895fdda3787444bc98643601018a",0,0.00471272818429604,0,0.025,0,1.00137939052273,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare","target_full","full","target",412,60,5,0,421.568607913708,0,0.937285418580876,0,0.960241277718936,0.960241277718936,0,38302123,"f4091507aa8a2f6a9d149ee75c5344f75d05a1a3e97a6195ab843aff26d406ad",,,,,,,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","baseline","genome_full","full","genome",514,60,10,0,500.242272319184,0,0.948082643559284,-2.15156243322412e-19,0.958678521022237,0.958678521022237,200,195334460,"b04c879824f1fb174800d743fb892735da71f4feabbbe5e9d7071d48f83457b3",0,0,0,0,0,0,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare_read_supported","target_full","full","target",216,60,10,0,219.981996030052,0,0.938597800444107,0,0.948867867726811,0.948867867726811,200,119752660,"5df4329117c8137794e6b8fd07947c7ea2325c5c169aaffd625b8469259c5f31",0,0,0,0.01,0,0,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","rare","genome_full","full","genome",412,60,15,0,403.845771118757,0,0.944003517941312,0,0.949812714837781,0.949812714837781,0,38302123,"7b42ecbce730aa7c894611676bdc14a10e1494d5c0d06b70e639792b53945eac",,,,,,,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2835EP","baseline","target_full","full","target",514,60,16,0,508.564753751211,0,0.967845223472538,2.15156243322412e-19,0.971671510801939,0.971671510801939,200,195334460,"46b70c8538f9f717af6bcce38ff84ae58a6c6a53d8f3b9f07b932737ca3da525",0,0,0,0.005,0,0,"TOV2835EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","baseline","genome_restricted","restricted","genome",559,22,6,177.195259647612,533.508970538851,0.332131734296131,0.922616224569034,0.000118777516532984,0.925124375710172,0.921248926080272,200,105463584,"64e6d1ded3471b505db11a7de3cb96d7bbe41f252bfdd2b3aae9f3d72eb4b345",0.0626719203894377,0.482354455810266,0.280239442206735,0.985,33.70215679874,264.410448710092,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare","target_full","full","target",445,60,5,0,441.402546312696,0,0.947908813362467,1.43525865069582e-19,0.959949999333098,0.959949999333098,0,254214023,"60f051e145121ad954b53890061bf74172e816823bc944339954c98952c95159",,,,,,,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare","target_restricted","restricted","target",445,22,6,0,432.541950767563,0,0.92677052265327,0,0.930235504356985,0.930235504356985,0,254214023,"d02fbd105017416d30c6cf62c280daa370237ee2b9c43da2e7259ece220c4f87",,,,,,,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare_read_supported","genome_full","full","genome",268,60,15,0,269.458927184784,0,0.942323228221221,9.44608435401057e-08,0.949540853228993,0.949537851085251,200,244485283,"3a3c1d4c4a134ad68c832d00e60d7c2c6c81898a89c8ea13ebb64b83905e92fe",0,0.207186020875928,0,0.13,0,55.313519020581,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare_read_supported","genome_restricted","restricted","genome",268,22,7,75.8490380221826,263.532807555556,0.287816301604849,0.906377100273702,0.000287178342286346,0.912585763850232,0.90303917604808,200,244485283,"edf56543ec53ef97cfc6e4509255065af8ae223fbe01564a33065fcbbb237311",0.102354282560539,0.654775237671292,0.392682397214395,0.99,26.2946188238325,170.706432756482,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","baseline","target_full","full","target",559,60,8,0,554.449976572875,0,0.963721993253036,0,0.972012247257585,0.972012247257585,200,105463584,"1662a528f1527a4a3a5c2a6c803d7b7b8b6bfebf87fd2c02f1cecdf8a1c4dea1",0,0,0,0.005,0,0,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","baseline","target_restricted","restricted","target",559,22,7,0,545.992311096822,0,0.940143117256012,3.69185311184793e-07,0.941617178044708,0.941605368038219,200,105463584,"a1d851e5422e93874396a7f3c448722802f580ad9921de9cf97a1b97bf132654",0,0.223989862968733,0,0.395,0,122.178612300652,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare_read_supported","target_full","full","target",268,60,14,0,269.861840794714,0,0.94278382236334,1.97856631699738e-19,0.946379286500059,0.946379286500059,200,244485283,"3ca2b0ebce602375d5c0d89f0b8409ed47d1a031fd9f25db5e1f6caf6b32abef",0,0.151363643474861,0,0.075,0,40.7454185660227,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare","genome_restricted","restricted","genome",445,22,6,130.245203177744,420.153809487123,0.309994102723317,0.900062758500794,0.000124740893605552,0.905121659725633,0.90090152300572,0,254214023,"f5010e43ae9d629a3b50952e7b0bc3e6ce64a46d59c225b3d86c7132febf8ac5",,,,,,,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare_read_supported","target_restricted","restricted","target",268,22,7,21.2147088933796,262.314158928702,0.0808751955289835,0.906970575294499,6.54009883035633e-05,0.910584725600287,0.908414652381459,200,244485283,"46ba4ceee6d5b7b11e2ce2aba2f5fe8e9bda1c8e5aff43124afc75b8c72baed3",0,0.408390198304873,0.142844832994127,0.76,0,106.545201323308,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","baseline","genome_full","full","genome",559,60,8,0,536.920494652427,0,0.954723831177639,0,0.966044162795886,0.966044162795886,200,105463584,"696f92de8a2469b2498e4a0305c374a9f7f600130f7ad1cf428c49d9745d896e",0,0.0018136590824523,0,0.025,0,1.01324238624403,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2881EP","rare","genome_full","full","genome",445,60,7,0,413.476909012135,0,0.93611680225723,0,0.952559752587024,0.952559752587024,0,254214023,"d059a3afc6e1ea0c26e619abc1aa627448600373837745412cdcfa17b94220f1",,,,,,,"TOV2881EP","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
"TOV2929D","baseline","genome_full","full","genome",883,60,6,0,858.850254085224,0,0.960227350353136,0,0.970896354147945,0.970896354147945,200,224182886,"c0793d6d2221da56556f3b3384cc56d56117ed6c05dfd69eaf0e11aefc144fa3",0,0,0,0,0,0,"TOV2929D","HGS",TRUE,"conditional SBS3 fit; not an HRD classification; tumour-only, no sample-callable mask"
