"cell_line","patient_id","subtype","substrate","n_snv","baseline_n_snv","baseline_read_supported","baseline_missing_population_annotation","population_af_max","min_AD_sum","min_AD_alt","min_caller_AF","n_nonzero_contexts","fraction_retained","count_band"
"TOV81D","TOV81D","LGS","baseline",608,608,235,376,0.001,,,,91,1,">=500 SNVs"
"TOV81D","TOV81D","LGS","rare",498,608,235,376,1e-05,,,,89,0.819078947368421,"200-499 SNVs"
"TOV81D","TOV81D","LGS","rare_read_supported",171,608,235,376,1e-05,20,5,0.05,72,0.28125,"<200 SNVs"
"TOV21G","TOV21G","CC","baseline",2417,2417,1906,1636,0.001,,,,93,1,">=500 SNVs"
"TOV21G","TOV21G","CC","rare",2129,2417,1906,1636,1e-05,,,,93,0.880844021514274,">=500 SNVs"
"TOV21G","TOV21G","CC","rare_read_supported",1668,2417,1906,1636,1e-05,20,5,0.05,88,0.69011170872983,">=500 SNVs"
"TOV3392D","TOV3392D","CC","baseline",427,427,291,225,0.001,,,,83,1,"200-499 SNVs"
"TOV3392D","TOV3392D","CC","rare",309,427,291,225,1e-05,,,,78,0.723653395784543,"200-499 SNVs"
"TOV3392D","TOV3392D","CC","rare_read_supported",197,427,291,225,1e-05,20,5,0.05,71,0.46135831381733,"<200 SNVs"
"TOV112D","TOV112D","EC","baseline",336,336,218,181,0.001,,,,83,1,"200-499 SNVs"
"TOV112D","TOV112D","EC","rare",229,336,218,181,1e-05,,,,76,0.681547619047619,"200-499 SNVs"
"TOV112D","TOV112D","EC","rare_read_supported",127,336,218,181,1e-05,20,5,0.05,62,0.37797619047619,"<200 SNVs"
"TOV2414","TOV2414","MC","baseline",386,386,284,203,0.001,,,,88,1,"200-499 SNVs"
"TOV2414","TOV2414","MC","rare",303,386,284,203,1e-05,,,,84,0.784974093264249,"200-499 SNVs"
"TOV2414","TOV2414","MC","rare_read_supported",211,386,284,203,1e-05,20,5,0.05,77,0.546632124352332,"200-499 SNVs"
