cell_line,gene_id,symbol,primary_assembly,tpm_restored,counts_restored
VOA4841,ENSG00000124177,CHD6,TRUE,0,0
VOA4841,ENSG00000130021,PUDP,TRUE,0.106144,3.25495
VOA4841,ENSG00000188010,MORN2,TRUE,13.8934,368.329
VOA4841,ENSG00000179165,PXT1,TRUE,0,0
VOA4841,ENSG00000176624,MEX3C,TRUE,6.96405,1035.74
VOA4841,ENSG00000160111,CPAMD8,TRUE,0,0
VOA4841,ENSG00000152595,MEPE,TRUE,0,0
VOA4841,ENSG00000117868,ESYT2,TRUE,0,0
VOA4841,ENSG00000146872,TLK2,TRUE,0,0
VOA4841,ENSG00000123297,TSFM,TRUE,2.7234,263.354
VOA4841,ENSG00000221837,KRTAP10-9,TRUE,0,0
VOA4841,ENSG00000164078,MST1R,TRUE,26.35307,1211.56
VOA4841,ENSG00000104946,TBC1D17,TRUE,0.472944,49.8005
VOA4841,ENSG00000204007,GLT6D1,TRUE,0,0
VOA4841,ENSG00000169203,NPIPB12,TRUE,54.5484,3035.06
VOA4841,ENSG00000241852,C8orf58,TRUE,0,0
VOA4841,ENSG00000007047,MARK4,TRUE,1.24288,57.4459
VOA4841,ENSG00000112139,MDGA1,TRUE,0.372995,1
VOA4841,ENSG00000166257,SCN3B,TRUE,0,0
VOA4841,ENSG00000181585,TMIE,TRUE,0.916288,72.3168
VOA4841,ENSG00000121281,ADCY7,TRUE,0.452773,3.38336
VOA4841,ENSG00000168014,C2CD3,TRUE,0,0
VOA4841,ENSG00000023171,GRAMD1B,TRUE,0,0
VOA4841,ENSG00000105928,GSDME,TRUE,0.879184,63.6549
VOA4841,ENSG00000120616,EPC1,TRUE,0.850959,14.8405
VOA4841,ENSG00000185689,C6orf201,TRUE,0,0
VOA4841,ENSG00000085552,IGSF9,TRUE,1.30514,155.902
VOA4841,ENSG00000177570,SAMD12,TRUE,2.21762,6
VOA4841,ENSG00000174405,LIG4,TRUE,4.85144e-08,9.15349e-06
VOA4841,ENSG00000213658,LAT,TRUE,0,0
VOA4841,ENSG00000136261,BZW2,TRUE,0,0
VOA4841,ENSG00000168765,GSTM4,TRUE,0,0
VOA4841,ENSG00000225830,ERCC6,TRUE,1.38266e-05,0.0010632
VOA4841,ENSG00000185332,TMEM105,TRUE,0.0461437,6.9787
VOA4841,ENSG00000284755,AL049557.1,TRUE,0,0
VOA4841,ENSG00000111199,TRPV4,TRUE,0,0
VOA4841,ENSG00000198099,ADH4,TRUE,0.54947,47.3476
VOA4841,ENSG00000085433,WDR47,TRUE,0.714245,136.417
VOA4841,ENSG00000106603,COA1,TRUE,0,0
VOA4841,ENSG00000187553,CYP26C1,TRUE,0,0
VOA4841,ENSG00000250506,CDK3,TRUE,3.95123,72.6762
VOA4841,ENSG00000278674,ELOA3B,TRUE,0,0
VOA4841,ENSG00000176155,CCDC57,TRUE,4.62719,628.059
VOA4841,ENSG00000174197,MGA,TRUE,0.6192836,35.2747
VOA4841,ENSG00000101276,SLC52A3,TRUE,0,0
VOA4841,ENSG00000120500,ARR3,TRUE,0,0
VOA4841,ENSG00000186092,OR4F5,TRUE,0,0
VOA4841,ENSG00000204311,PJVK,TRUE,0,0
VOA4841,ENSG00000068366,ACSL4,TRUE,0.252763,4.68532
VOA4841,ENSG00000198399,ITSN2,TRUE,0.125173,33.951
VOA4841,ENSG00000109685,NSD2,TRUE,0,0
VOA4841,ENSG00000163682,RPL9,TRUE,5.11803,123.597
VOA4841,ENSG00000180035,ZNF48,TRUE,0,0
VOA4841,ENSG00000196267,ZNF836,TRUE,0.626944,79.3725
VOA4841,ENSG00000176697,BDNF,TRUE,0.455465,86.3021
VOA4841,ENSG00000108389,MTMR4,TRUE,0.797251,23.8703
VOA4841,ENSG00000125485,DDX31,TRUE,11.7982,1495.38
