cell_line,symbol_profile_spearman
OV1369-R2,0.998403001526447
OV1946,0.99821932884936
OV2085,0.998448784101425
OV2295,0.998193416497108
OV2295-R2,0.99845428709881
OV3133-R,0.998127054157657
OV4453,0.998041395890134
OV4485,0.998254652159829
OV866-2,0.998224726574466
TOV1369,0.998153369928793
TOV3041G,0.998453946084097
TOV3133G,0.998137011948207
TOV3291G,0.997951057195622
OV3331,0.998354960312528
OV90,0.998014118577448
TOV21G,0.998339578258774
TOV3392D,0.998360592556926
VOA10816,0.99804852383218
VOA12539,0.997963743929491
VOA295,0.998178105764604
VOA4841,0.998061201675687
VOA6861,0.998252470807476
TOV112D,0.998158083904501
VOA4395,0.998015247930861
TOV2414,0.998255125684723
VOA8762,0.998223063813003
VOA8771,0.998329637281199
VOA5217,0.998182156129456
VOA5436,0.998080747697905
BIN67,0.998226494606629
COV434,0.99845081592762
