symbol,cell_line,TPM_before,TPM_after
FOXL2,OV1369-R2,,0.701234
FOXL2,OV1946,,0.189878
FOXL2,OV2085,,0.0148296
FOXL2,OV2295,,0.321154
FOXL2,OV2295-R2,,0.748232
FOXL2,OV3133-R,,0.140088
FOXL2,OV4453,,10.0132
FOXL2,OV4485,,0.0654661
FOXL2,OV866-2,,19.6369
FOXL2,TOV1369,,0.1884
FOXL2,TOV3041G,,0.989042
FOXL2,TOV3133G,,0.726873
FOXL2,TOV3291G,,0.733152
FOXL2,OV3331,,2.93986
FOXL2,OV90,,2.37053
FOXL2,TOV21G,,0.0644489
FOXL2,TOV3392D,,0.0470741
FOXL2,VOA10816,,0.0102822
FOXL2,VOA12539,,0.0281405
FOXL2,VOA295,,0
FOXL2,VOA4841,,0.00759171
FOXL2,VOA6861,,0.28594
FOXL2,TOV112D,,0.104196
FOXL2,VOA4395,,0.0830378
FOXL2,TOV2414,,0
FOXL2,VOA8762,,0.215425
FOXL2,VOA8771,,3.96345
FOXL2,VOA5217,,0.0116587
FOXL2,VOA5436,,0.0275431
FOXL2,BIN67,,0.0428639
FOXL2,COV434,,0.0218825
SMARCA4,OV1369-R2,61.0617316267259,61.0617316267259
SMARCA4,OV1946,67.7339051483304,67.7339098889204
SMARCA4,OV2085,105.967828067689,105.967835381799
SMARCA4,OV2295,42.8876364308508,42.8972033908508
SMARCA4,OV2295-R2,81.6820652156081,81.6820652156081
SMARCA4,OV3133-R,32.5158631194348,32.5158631361661
SMARCA4,OV4453,129.023658,129.08795032
SMARCA4,OV4485,46.4632215656466,46.6606165656466
SMARCA4,OV866-2,97.0430025157598,97.0695963157598
SMARCA4,TOV1369,50.9935498408,50.9935498450202
SMARCA4,TOV3041G,57.5422837048,57.5471431848
SMARCA4,TOV3133G,59.1992053118075,59.1994270248075
SMARCA4,TOV3291G,76.36353387563,76.36353519636
SMARCA4,OV3331,72.9337231456684,72.9338265796684
SMARCA4,OV90,43.3751125597995,43.3751125597995
SMARCA4,TOV21G,97.5209070332331,97.6553876103431
SMARCA4,TOV3392D,64.2505940747278,64.8074070747279
SMARCA4,VOA10816,31.4553884687558,31.4553884687558
SMARCA4,VOA12539,302.405333316014,302.477816516014
SMARCA4,VOA295,103.45564958,103.519949480474
SMARCA4,VOA4841,4.99496670433,4.99496670433
SMARCA4,VOA6861,57.1852276089043,57.5496576089043
SMARCA4,TOV112D,11.9041050243461,11.9041050243461
SMARCA4,VOA4395,101.236986147778,101.236986147778
SMARCA4,TOV2414,72.6169640795384,72.6247163195384
SMARCA4,VOA8762,71.180954112863,71.180954257501
SMARCA4,VOA8771,53.0838806299,53.0838806299
SMARCA4,VOA5217,93.4532275239522,93.4532275239522
SMARCA4,VOA5436,104.758854494783,104.758854500433
SMARCA4,BIN67,94.706561619,94.706561619
SMARCA4,COV434,16.4568628601965,16.4568628601965
SMARCA2,OV1369-R2,9.70772025,9.70772025
SMARCA2,OV1946,31.187298684,31.187298684
SMARCA2,OV2085,0.1208805082,0.1208805082
SMARCA2,OV2295,6.57573413007188,6.57573413007188
SMARCA2,OV2295-R2,2.96850008,2.96850008
SMARCA2,OV3133-R,2.478011618,2.478011618
SMARCA2,OV4453,14.7419337459,14.7419337459
SMARCA2,OV4485,3.408791457297,3.408791457297
SMARCA2,OV866-2,2.69994463033354,2.69994463033354
SMARCA2,TOV1369,5.26691460450787,5.26691460450787
SMARCA2,TOV3041G,15.9527674039504,15.9527674039504
SMARCA2,TOV3133G,1.86665894802,1.86665894802
SMARCA2,TOV3291G,23.8926259018465,23.8926259018465
SMARCA2,OV3331,12.0502658,12.0502658
SMARCA2,OV90,0.499663,0.499663
SMARCA2,TOV21G,38.001826191,38.001826191
SMARCA2,TOV3392D,5.02849631064822,5.02849631064822
SMARCA2,VOA10816,12.3452590536493,12.3452590536493
SMARCA2,VOA12539,13.3621912306901,13.3621912306901
SMARCA2,VOA295,16.8707661743,16.8707661743
SMARCA2,VOA4841,21.0529094,21.0529094
SMARCA2,VOA6861,32.6320795663,32.6320795663
SMARCA2,TOV112D,0.35373847289,0.35373847289
SMARCA2,VOA4395,215.3005165,215.3005165
SMARCA2,TOV2414,16.413686749825,16.413686749825
SMARCA2,VOA8762,7.57390614179061,7.57390614179061
SMARCA2,VOA8771,21.241925929,21.241925929
SMARCA2,VOA5217,14.1338456000644,14.1338456000644
SMARCA2,VOA5436,42.9155706516956,42.9155706516956
SMARCA2,BIN67,0.02561418,0.02561418
SMARCA2,COV434,0.1080346,0.1080346
PAX8,OV1369-R2,195.972712,195.972712
PAX8,OV1946,0.76128651,0.76128651
PAX8,OV2085,91.50158,91.50158
PAX8,OV2295,193.004277,193.004277
PAX8,OV2295-R2,91.485342,91.485342
PAX8,OV3133-R,73.9067522,73.9067522
PAX8,OV4453,220.888292,220.888292
PAX8,OV4485,243.246593,243.246593
PAX8,OV866-2,178.487087,178.487087
PAX8,TOV1369,145.877148,145.877148
PAX8,TOV3041G,152.792818,152.792818
PAX8,TOV3133G,121.591318,121.591318
PAX8,TOV3291G,115.55596,115.55596
PAX8,OV3331,249.1415856,249.1415856
PAX8,OV90,1.2013075,1.2013075
PAX8,TOV21G,130.8462383,130.8462383
PAX8,TOV3392D,118.010993,118.010993
PAX8,VOA10816,593.762308,593.762308
PAX8,VOA12539,453.007925,453.007925
PAX8,VOA295,278.952914,278.952914
PAX8,VOA4841,218.625252,218.625252
PAX8,VOA6861,133.87003,133.87003
PAX8,TOV112D,0.00810653,0.00810653
PAX8,VOA4395,0.0313966,0.0313966
PAX8,TOV2414,90.8479080767677,90.8479080767677
PAX8,VOA8762,4.098045,4.098045
PAX8,VOA8771,3.3369858,3.3369858
PAX8,VOA5217,111.599316,111.599316
PAX8,VOA5436,62.308758,62.308758
PAX8,BIN67,0,0
PAX8,COV434,2.2520534,2.2520534
FOLR1,OV1369-R2,0.26896,0.26896
FOLR1,OV1946,0.0401551,0.0401551
FOLR1,OV2085,129.4970434,129.4970434
FOLR1,OV2295,277.29024,277.29024
FOLR1,OV2295-R2,30.95514,30.95514
FOLR1,OV3133-R,376.972112,376.972112
FOLR1,OV4453,31.52373,31.52373
FOLR1,OV4485,192.645749,192.645749
FOLR1,OV866-2,0.0750092,0.0750092
FOLR1,TOV1369,42.06002,42.06002
FOLR1,TOV3041G,47.147105,47.147105
FOLR1,TOV3133G,712.6388,712.6388
FOLR1,TOV3291G,2.67916,2.67916
FOLR1,OV3331,21.457442,21.457442
FOLR1,OV90,34.6031126,34.6031126
FOLR1,TOV21G,78.37844,78.37844
FOLR1,TOV3392D,204.992456,204.992456
FOLR1,VOA10816,48.50294,48.50294
FOLR1,VOA12539,16.98583,16.98583
FOLR1,VOA295,119.27339,119.27339
FOLR1,VOA4841,76.365918,76.365918
FOLR1,VOA6861,15.430483,15.430483
FOLR1,TOV112D,0.235291,0.235291
FOLR1,VOA4395,0.800624,0.800624
FOLR1,TOV2414,16.574805,16.574805
FOLR1,VOA8762,167.918,167.918
FOLR1,VOA8771,185.337832,185.337832
FOLR1,VOA5217,9.828783,9.828783
FOLR1,VOA5436,21.991406,21.991406
FOLR1,BIN67,0.396289,0.396289
FOLR1,COV434,0,0
