model_or_reference	run_id	metric	value	unit	denominator	target_file_id	source_path	status	notes
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_total_reads_before_filtering	130562922	reads (R1+R2)	all reads in provider BAM converted to FASTQ		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_total_reads_after_filtering	129094148	reads (R1+R2)	reads passing fastp --length_required 15 (adapter trimming disabled)		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_q30_rate_after_filtering	0.9238	fraction of bases	bases after filtering		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_gc_content_after_filtering	0.431	fraction	bases after filtering		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_duplication_rate	0.1284	fraction of reads	fastp sequence-level estimate before alignment		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_insert_size_peak	169	bp	fastp overlap-based estimate		wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	fastp_read_length_mean_R1	100	bp			wes/sarek_3.5.1_run/reports/fastp/OV1369_R2_P66/OV1369_R2_P66-6.fastp.json	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_raw_total_sequences	129094148	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_mapped	129050201	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_mapped_and_paired	129047494	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_properly_paired	128048344	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_duplicated	25523028	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_MQ0	18091465	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_reads_unmapped	43947	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_error_rate	4.653094e-03	fraction	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_average_length	100	bp	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_insert_size_average	221.9	bp	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_insert_size_standard_deviation	80.8	bp	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_percentage_of_properly_paired_reads_pct	99.2	percent	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_bases_mapped_cigar	12904981187	bp	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_md_average_quality	38.2	reads	all reads, genome-wide (duplicate-marked CRAM)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.md.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_raw_total_sequences	95340485	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_reads_mapped	95339246	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_reads_mapped_and_paired	95337609	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_reads_properly_paired	94936396	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_reads_duplicated	19200034	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_reads_MQ0	11940331	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_reads_unmapped	1239	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_error_rate	4.193022e-03	fraction	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_average_length	100	bp	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_insert_size_average	211.7	bp	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_insert_size_standard_deviation	73.7	bp	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_percentage_of_properly_paired_reads_pct	99.6	percent	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_bases_mapped_cigar	9514253075	bp	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	samtools_stats_recal_average_quality	33.9	reads	reads retained after per-interval ApplyBQSR (interval-restricted CRAM used for calling)		wes/sarek_3.5.1_run/reports/samtools/OV1369_R2_P66/OV1369_R2_P66.recal.cram.stats	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_mean_depth_genome	2.90	x	whole reference (3212846629 bp)		wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.summary.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_mean_depth_target	84.41	x	target bases (63709951 bp, --by intervals_sorted.bed)	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.summary.txt	found	mean of per-base depth over the target footprint; mosdepth counts duplicates unless flagged (Sarek default)
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_fraction_target_bases_ge_100x	0.24	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_fraction_target_bases_ge_50x	0.56	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_fraction_target_bases_ge_30x	0.77	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_fraction_target_bases_ge_20x	0.87	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_fraction_target_bases_ge_10x	0.95	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_md_fraction_target_bases_ge_1x	0.99	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.md.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_mean_depth_genome	2.19	x	whole reference (3092843764 bp)		wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.summary.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_mean_depth_target	84.41	x	target bases (63709444 bp, --by intervals_sorted.bed)	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.summary.txt	found	mean of per-base depth over the target footprint; mosdepth counts duplicates unless flagged (Sarek default)
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_fraction_target_bases_ge_100x	0.24	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_fraction_target_bases_ge_50x	0.56	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_fraction_target_bases_ge_30x	0.77	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_fraction_target_bases_ge_20x	0.87	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_fraction_target_bases_ge_10x	0.95	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	mosdepth_recal_fraction_target_bases_ge_1x	0.99	fraction	target bases	intervals_sorted.bed (242,421 hg38 intervals lifted from SeqCap EZ Exome v3; 63,709,951 bp summed, 63,514,049 bp merged)	wes/sarek_3.5.1_run/reports/mosdepth/OV1369_R2_P66/OV1369_R2_P66.recal.mosdepth.region.dist.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	gatk_calculatecontamination_estimate	0.004492365865977324	fraction	GetPileupSummaries on af-only-gnomad.hg38 sites within calling intervals; tumour-only		wes/sarek_3.5.1_run/variant_calling/mutect2/OV1369_R2_P66/OV1369_R2_P66.mutect2.contamination.table	found	cross-sample contamination estimate, error=0.0014274079589085605; not a stock-authentication result
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	cnvkit_reads_in_target_bins	60995339	reads	mapped reads in recal BAM (interval-restricted)	cnvkit.reference.target-tmp.bed (242,421 bins)	wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV1369_R2_P66.a5_a947cdda816a6ac440c35f5a99d7c7/.command.err	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	cnvkit_percent_mapped_reads_in_target_bins	63.933	percent	95405740 mapped reads in recal BAM (interval-restricted, so not a genome-wide on-target fraction)	cnvkit.reference.target-tmp.bed (242,421 bins)	wes/sarek_3.5.1_run/task_evidence/oct24_CNVKIT_BATCH_OV1369_R2_P66.a5_a947cdda816a6ac440c35f5a99d7c7/.command.err	found	Sarek-internal CNVkit batch (flat reference) task log; recal CRAM excludes off-interval reads, so genome-wide on-target fraction must use md CRAM stats
OV1369_R2_P66	manual CNVkit 0.9.10 batch (apptainer image cnvkit-0.9.10--pyhdfd78af_0.img), outputs dated 2025-11-14 to 2025-12-03	cnvkit_target_mean_depth_length_weighted	94.47	x	63514049 bp in 290475 target bins (CNVkit depth column)	intervals_sorted.target.bed (290,475 CNVkit autobin-split target bins, sha256 2177970f...; 63,514,049 bp)	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn	found	derived here from the retained coverage file; not a pipeline-reported number
OV1369_R2_P66	manual CNVkit 0.9.10 batch (apptainer image cnvkit-0.9.10--pyhdfd78af_0.img), outputs dated 2025-11-14 to 2025-12-03	cnvkit_target_bins_zero_depth	1645	bins	290475 target bins	intervals_sorted.target.bed (290,475 CNVkit autobin-split target bins, sha256 2177970f...; 63,514,049 bp)	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn	found	derived here
OV1369_R2_P66	manual CNVkit 0.9.10 batch (apptainer image cnvkit-0.9.10--pyhdfd78af_0.img), outputs dated 2025-11-14 to 2025-12-03	cnvkit_call_segments	138	segments		intervals_sorted.target.bed (290,475 CNVkit autobin-split target bins, sha256 2177970f...; 63,514,049 bp)	wes/cnvkit_0.9.10_manual/OV1369_R2_P66_new/OV1369_R2_P66.call.cns	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	bcftools_stats_filtered_vcf_number_of_records	26332	records	all records in mutect2.filtered.vcf.gz (PASS and non-PASS)		wes/sarek_3.5.1_run/multiqc/multiqc_data/multiqc_bcftools_stats.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	bcftools_stats_filtered_vcf_number_of_SNPs	15841	records	all records in mutect2.filtered.vcf.gz (PASS and non-PASS)		wes/sarek_3.5.1_run/multiqc/multiqc_data/multiqc_bcftools_stats.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	bcftools_stats_filtered_vcf_number_of_indels	8726	records	all records in mutect2.filtered.vcf.gz (PASS and non-PASS)		wes/sarek_3.5.1_run/multiqc/multiqc_data/multiqc_bcftools_stats.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	bcftools_stats_filtered_vcf_number_of_MNPs	2133	records	all records in mutect2.filtered.vcf.gz (PASS and non-PASS)		wes/sarek_3.5.1_run/multiqc/multiqc_data/multiqc_bcftools_stats.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	bcftools_stats_filtered_vcf_tstv	1.04	ratio	all records in mutect2.filtered.vcf.gz (PASS and non-PASS)		wes/sarek_3.5.1_run/multiqc/multiqc_data/multiqc_bcftools_stats.txt	found	
OV1369_R2_P66	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	vcftools_filtered_vcf_PASS_records	902	records	records in mutect2.filtered.vcf.gz		wes/sarek_3.5.1_run/reports/vcftools/mutect2/OV1369_R2_P66/OV1369_R2_P66.mutect2.filtered.FILTER.summary	found	
