cell_line	histotype	patient_id	wes_sample_id	wes_passage	flowcell_lane_PU	read_group_evidence	provider_bam_path	provider_bam_bytes	provider_bam_status	run_producing_retained_vcfs	mutect2_filtered_vcf_present	vep_annotated_vcf_present	annotated_vcf_sha256_matches_repo_manifest	annotated_vcf_sha256_uncompressed	recal_cram_path	recal_cram_bytes	recal_cram_mtime_utc	recal_cram_status	recal_crai_status	run_producing_current_recal_cram	md_cram_path	md_cram_bytes	md_cram_status	cnvkit_input_bam_workdir_path	cnvkit_input_bam_bytes	cnvkit_input_bam_status	manual_cnvkit_call_cns_present	contamination_estimate	mosdepth_md_mean_target_depth_x	fraction_target_ge_30x	duplication_fraction	qc_coverage	unresolved_items
TOV1369	HGS	1369	TOV1369_P65	P65	6	@RG ID:TOV1369_P65_6 PU:6 SM:TOV1369_P65_TOV1369_P65 LB:TOV1369_P65 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV1369_P65.bam	8068806108	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV1369_P65/TOV1369_P65.recal.cram	5594478470	2025-10-31T17:46Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV1369_P65/TOV1369_P65.md.cram	3951982786	accessible	/project/6090753/active/ovcan_gq_analysis/work/53/1bf2853629a711f0eb15998b1fd9bd/TOV1369_P65.recal.bam	8511604534	accessible	yes	0.0019656924881904007	85.02	0.78		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV21G	CC	TOV21G	TOV21G_P59	P59	7	@RG ID:TOV21G_P59_7 PU:7 SM:TOV21G_P59_TOV21G_P59 LB:TOV21G_P59 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV21G_P59.bam	7793022778	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV21G_P59/TOV21G_P59.recal.cram	5336734899	2025-10-24T22:58Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV21G_P59/TOV21G_P59.md.cram	3793231394	accessible	/project/6090753/active/ovcan_gq_analysis/work/7f/1eda368f1e037f4afbbda4d6425c70/TOV21G_P59.recal.bam	8217900526	accessible	yes	0.001355166405605494	87.63	0.84		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV2295-R	HGS	2295	TOV2295_R_P57	P57	5	@RG ID:TOV2295_R_P57_5 PU:5 SM:TOV2295_R_P57_TOV2295_R_P57 LB:TOV2295_R_P57 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV2295(R)_P57.bam	7030845615	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2295_R_P57/TOV2295_R_P57.recal.cram	5037072100	2025-10-31T17:52Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2295_R_P57/TOV2295_R_P57.md.cram	3414638996	accessible	/project/6090753/active/ovcan_gq_analysis/work/b6/ecdb564b1632e569b8ba3584395884/TOV2295_R_P57.recal.bam	7714215555	accessible	yes	0.0024913094107494845	78.33	0.77		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV2414	MC	TOV2414	TOV2414_P65	P65	7	@RG ID:TOV2414_P65_7 PU:7 SM:TOV2414_P65_TOV2414_P65 LB:TOV2414_P65 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV2414_P65.bam	7163312371	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	c0065979e014cf53e6eaa38815555ed1d3f6d5dba03948d96d1b49066486e4ba	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2414_P65/TOV2414_P65.recal.cram	4489032834	2025-10-31T17:53Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2414_P65/TOV2414_P65.md.cram	3469178227	accessible	/project/6090753/active/ovcan_gq_analysis/work/ad/34d92ef2d6e1ba0272c5fd188d3a96/TOV2414_P65.recal.bam	6869698857	accessible	yes	0.0030809458525387964	71.93	0.82		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV2835EP	HGS	TOV2835EP	TOV2835EP_P64	P64	6	@RG ID:TOV2835EP_P64_6 PU:6 SM:TOV2835EP_P64_TOV2835EP_P64 LB:TOV2835EP_P64 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV2835EP_P64.bam	7350519342	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2835EP_P64/TOV2835EP_P64.recal.cram	5177201110	2025-11-01T00:21Z	accessible	accessible	nf-core/sarek 3.5.1 run disturbed_kilby (session 1d80816f-4d0e-4a07-8fa8-818e7b7f9db6, Slurm 3731446, 2025-10-31, killed by 12h59m walltime)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2835EP_P64/TOV2835EP_P64.md.cram	3576032477	accessible	/project/6090753/active/ovcan_gq_analysis/work/36/d2b6b1fc50b36bdee99aeaaae32dcf/TOV2835EP_P64.recal.bam	7937635798	accessible	yes	0.0016888575511987722	82.46	0.77		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-31 partial run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV2881EP	HGS	TOV2881EP	TOV2881EP_P64	P64	7	@RG ID:TOV2881EP_P64_7 PU:7 SM:TOV2881EP_P64_TOV2881EP_P64 LB:TOV2881EP_P64 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV2881EP_P64.bam	7922942869	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2881EP_P64/TOV2881EP_P64.recal.cram	5129922861	2025-10-24T22:58Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2881EP_P64/TOV2881EP_P64.md.cram	3864633556	accessible	/project/6090753/active/ovcan_gq_analysis/work/ec/03f6bb30a3faac68cadaac88840ace/TOV2881EP_P64.recal.bam	7889266861	accessible	yes	0.0029953580935624066	83.12	0.78		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV2929D	HGS	TOV2929D	TOV2929D_P57	P57	6	@RG ID:TOV2929D_P57_6 PU:6 SM:TOV2929D_P57_TOV2929D_P57 LB:TOV2929D_P57 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV2929D_P57.bam	6451756411	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV2929D_P57/TOV2929D_P57.recal.cram	4714704840	2025-10-24T23:00Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV2929D_P57/TOV2929D_P57.md.cram	3198239132	accessible	/project/6090753/active/ovcan_gq_analysis/work/e4/cf2272b3a898107c8fd5d1b2d00216/TOV2929D_P57.recal.bam	7267545767	accessible	yes	0.003517672257772209	69.72	0.66		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV3121D	HGS	3121	TOV3121D_P68	P68	7	@RG ID:TOV3121D_P68_7 PU:7 SM:TOV3121D_P68_TOV3121D_P68 LB:TOV3121D_P68 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV3121D_P68.bam	7348092995	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	a6c71297b6a6af58f6b1b51aad2db6718403920f90afd173ef2c6f710154c6b7	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3121D_P68/TOV3121D_P68.recal.cram	4971828327	2025-10-24T22:58Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3121D_P68/TOV3121D_P68.md.cram	3548672126	accessible	/project/6090753/active/ovcan_gq_analysis/work/96/ceaa2123d23bcdaae717012af0de56/TOV3121D_P68.recal.bam	7625602730	accessible	yes	0.0025036593485037732	82.35	0.79		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV3121EP	HGS	3121	TOV3121EP_P68	P68	7	@RG ID:TOV3121EP_P68_7 PU:7 SM:TOV3121EP_P68_TOV3121EP_P68 LB:TOV3121EP_P68 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV3121EP_P68.bam	6577390906	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3121EP_P68/TOV3121EP_P68.recal.cram	4495795855	2025-10-24T23:01Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3121EP_P68/TOV3121EP_P68.md.cram	3187402477	accessible	/project/6090753/active/ovcan_gq_analysis/work/16/fda4442888f0e2b4b65817a33a17d5/TOV3121EP_P68.recal.bam	6970195592	accessible	yes	0.00426324697416046	76.90	0.75		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV3133D	HGS	3133	TOV3133D_P66	P66	5	@RG ID:TOV3133D_P66_5 PU:5 SM:TOV3133D_P66_TOV3133D_P66 LB:TOV3133D_P66 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV3133D_P66.bam	7277852196	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3133D_P66/TOV3133D_P66.recal.cram	5249956907	2025-10-24T22:59Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3133D_P66/TOV3133D_P66.md.cram	3530102771	accessible	/project/6090753/active/ovcan_gq_analysis/work/3d/de394ce78ca6f4f7430349d2d49c90/TOV3133D_P66.recal.bam	8059188323	accessible	yes	0.0	83.27	0.79		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV3133G	HGS	3133	TOV3133G_P65	P65	5	@RG ID:TOV3133G_P65_5 PU:5 SM:TOV3133G_P65_TOV3133G_P65 LB:TOV3133G_P65 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV3133G_P65.bam	6483570277	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3133G_P65/TOV3133G_P65.recal.cram	4802174229	2025-10-24T22:58Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3133G_P65/TOV3133G_P65.md.cram	3148679765	accessible	/project/6090753/active/ovcan_gq_analysis/work/88/4b018ca712993eb48e717c6f5af079/TOV3133G_P65.recal.bam	7392448916	accessible	yes	0.0016895085088341583	75.41	0.75		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV3392D	CC	TOV3392D	TOV3392D_P69	P69	7	@RG ID:TOV3392D_P69_7 PU:7 SM:TOV3392D_P69_TOV3392D_P69 LB:TOV3392D_P69 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV3392D_P69.bam	7334333705	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	a2fa446d4b60f520c5f477bb961742ae92c5cb2aebe2eb4c834804355ff9e6d4	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV3392D_P69/TOV3392D_P69.recal.cram	4675877435	2025-10-24T23:01Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV3392D_P69/TOV3392D_P69.md.cram	3467118055	accessible	/project/6090753/active/ovcan_gq_analysis/work/a0/b412be85b4ae656bd8ffb7530b658f/TOV3392D_P69.recal.bam	7172458037	accessible	yes	0.002808991798824329	78.68	0.83		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
TOV81D	LGS	TOV81D	TOV81D_P23	P23	6	@RG ID:TOV81D_P23_6 PU:6 SM:TOV81D_P23_TOV81D_P23 LB:TOV81D_P23 PL:ILLUMINA (404 read groups after FASTQ splitting)	/project/6090753/active/ovcan_gq/ammmasson_OvCAN_WES_bioinformatics_analysis_R004741/bam/TOV81D_P23.bam	7592054793	accessible	nf-core/sarek 3.5.1 run angry_allen (session 26cf85bf-0ac3-4237-8f48-c36b2ab20bd2, Slurm 3273686, completed 2025-10-23 23:48:40 EDT)	yes	yes	True	a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/recalibrated/TOV81D_P23/TOV81D_P23.recal.cram	4898843076	2025-10-24T23:01Z	accessible	accessible	nf-core/sarek 3.5.1 run angry_kilby (session 26cf85bf, Slurm 3377445, 2025-10-24, failed at GETPILEUPSUMMARIES TOV3133D_P66)	/project/6090753/active/ovcan_gq_analysis/wes_sarek_results_20251022/preprocessing/markduplicates/TOV81D_P23/TOV81D_P23.md.cram	3686943885	accessible	/project/6090753/active/ovcan_gq_analysis/work/a5/c66150f956d90d786643f4b3d08453/TOV81D_P23.recal.bam	7716767325	accessible	yes	0.0013929743228100265	78.76	0.78		yes (MultiQC 2025-10-23; fastp, FastQC, MarkDuplicates, samtools stats, mosdepth, bcftools/vcftools stats)	retained recal CRAM is a re-execution (Oct-24 run), not the byte-identical Oct-23 CRAM that fed the retained VCF; sequencing run/flowcell/date and library kit lot: not in cluster records; see WES 2014/2017/2018 spreadsheets and USB QC report (not parsed here)
