cell_line,patient_id,histotype_code,rna_tpm,rna_log2_tpm_plus1,protein_log2_normalised,cohort,gene,ranking_direction,rna_preference_percentile,protein_preference_percentile,joint_mean_score,joint_weaker_assay_score,joint_rna25_score,joint_rna75_score,joint_mean_rank,joint_weaker_assay_rank,joint_rna25_rank,joint_rna75_rank,rank_best_across_methods,rank_worst_across_methods,absolute_assay_percentile_gap,both_assays_same_direction,n_ranked,protein_isodoping,patient_mean_rank,patient_mean_n,HGS_rank,HGS_n,CC_rank,CC_n,rna_passage,wes_passage,tmt_plex,tmt_channel,protein_unique_peptides_global
OV2295,2295,HGS,18.6955463,4.299797528765963,12.66163440556081,selected_patient_representatives,ESR1,higher,1.0,0.8076923076923077,0.9038461538461539,0.8076923076923077,0.8557692307692308,0.9519230769230769,1.0,1.0,1.0,1.0,1.0,1.0,0.1923076923076923,True,27,True,1.0,27,1.0,12.0,NA,NA,p64,P61,5.0,ch4,3
OV4453,OV4453,HGS,0.8140433,0.8592088924429082,12.70562755595061,selected_patient_representatives,ESR1,higher,0.7307692307692307,0.8846153846153846,0.8076923076923077,0.7307692307692307,0.8461538461538461,0.7692307692307692,2.0,2.0,2.0,4.0,2.0,4.0,0.15384615384615385,True,27,True,3.0,27,2.0,12.0,NA,NA,p60,NA,4.0,ch2,3
TOV3041G,TOV3041G,HGS,3.6721986,2.224101599805587,12.63230967955755,selected_patient_representatives,ESR1,higher,0.8461538461538461,0.7307692307692307,0.7884615384615384,0.7307692307692307,0.7596153846153846,0.8173076923076923,3.0,2.0,4.0,2.0,2.0,4.0,0.11538461538461542,True,27,True,2.0,27,2.0,12.0,NA,NA,p67,NA,3.0,ch4,3
OV2295,2295,HGS,277.29024,8.120446502143453,13.23451349569614,selected_patient_representatives,FOLR1,higher,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,8.0,27,1.0,12.0,NA,NA,p64,P61,5.0,ch4,12
VOA8771,VOA8771,MC,185.337832,7.54177680285054,13.39543017464236,selected_patient_representatives,FOLR1,higher,0.8461538461538461,1.0,0.9230769230769231,0.8461538461538461,0.9615384615384616,0.8846153846153846,2.0,3.0,1.0,5.0,1.0,5.0,0.15384615384615385,True,27,False,1.0,27,NA,NA,NA,NA,p28,NA,5.0,ch8,12
OV4485,OV4485,HGS,192.645749,7.597276020787592,13.08795244061893,selected_patient_representatives,FOLR1,higher,0.8846153846153846,0.9230769230769231,0.9038461538461539,0.8846153846153846,0.9134615384615384,0.8942307692307692,3.0,2.0,3.0,4.0,2.0,4.0,0.03846153846153855,True,27,False,1.0,27,2.0,12.0,NA,NA,p60,NA,2.0,ch3,12
TOV21G,TOV21G,CC,1.6853063446420002,1.4250866828791975,12.16376862158856,selected_patient_representatives,MLH1,lower,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,1.0,27,NA,NA,1.0,6.0,p63,P59,5.0,ch5,22
OV90,OV90,HGS,10.522388,3.526367839335204,12.25373383585814,selected_patient_representatives,MLH1,lower,0.9615384615384616,0.9230769230769231,0.9423076923076923,0.9230769230769231,0.9326923076923077,0.9519230769230769,2.0,2.0,2.0,2.0,2.0,2.0,0.038461538461538436,True,27,False,2.0,27,1.0,12.0,NA,NA,p70,P63,5.0,ch3,22
OV4485,OV4485,HGS,13.658380000000005,3.8736537648591045,12.41305366703742,selected_patient_representatives,MLH1,lower,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,0.8461538461538461,3.0,3.0,3.0,3.0,3.0,3.0,0.0,True,27,False,3.0,27,2.0,12.0,NA,NA,p60,NA,2.0,ch3,22
TOV3291G,3291,HGS,1.652102,1.4071362626542494,13.86809326810961,selected_patient_representatives,MSH2,lower,1.0,0.9615384615384616,0.9807692307692308,0.9615384615384616,0.9711538461538461,0.9903846153846154,1.0,1.0,1.0,1.0,1.0,1.0,0.038461538461538436,True,27,False,1.0,27,1.0,12.0,NA,NA,p62,NA,2.0,ch8,51
TOV2414,TOV2414,MC,2.1212374000000005,1.6421180922066057,14.03775600318507,selected_patient_representatives,MSH2,lower,0.9615384615384616,0.9230769230769231,0.9423076923076923,0.9230769230769231,0.9326923076923077,0.9519230769230769,2.0,2.0,2.0,2.0,2.0,2.0,0.038461538461538436,True,27,False,2.0,27,NA,NA,NA,NA,p69,P65,5.0,ch6,51
OV4485,OV4485,HGS,5.305048300000001,2.656507422401802,14.32413005895364,selected_patient_representatives,MSH2,lower,0.9230769230769231,0.7692307692307693,0.8461538461538463,0.7692307692307693,0.8076923076923077,0.8846153846153846,3.0,3.0,5.0,3.0,3.0,5.0,0.15384615384615385,True,27,False,3.0,27,2.0,12.0,NA,NA,p60,NA,2.0,ch3,51
TOV3291G,3291,HGS,5.80272982572766,2.7661137927960255,14.12840226742416,selected_patient_representatives,MSH6,lower,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,1.0,27,1.0,12.0,NA,NA,p62,NA,2.0,ch8,68
OV3133-R,3133,HGS,10.295053144500002,3.497619153677344,14.5241551810074,selected_patient_representatives,MSH6,lower,0.9230769230769231,0.8461538461538461,0.8846153846153846,0.8461538461538461,0.8653846153846154,0.9038461538461539,2.0,2.0,4.0,2.0,2.0,4.0,0.07692307692307698,True,27,False,4.0,27,2.0,12.0,NA,NA,p64,P71,1.0,ch3,68
VOA4841,VOA4841,CC,17.700561534000002,4.225009686398881,14.39945479030256,selected_patient_representatives,MSH6,lower,0.8461538461538461,0.8846153846153846,0.8653846153846154,0.8461538461538461,0.875,0.8557692307692307,3.0,2.0,2.0,4.0,2.0,4.0,0.038461538461538436,True,27,False,2.0,27,NA,NA,1.0,6.0,p43,NA,3.0,ch7,68
OV4485,OV4485,HGS,385.762,8.595302244401626,13.08073185568899,selected_patient_representatives,MSLN,higher,0.9230769230769231,1.0,0.9615384615384616,0.9230769230769231,0.9807692307692308,0.9423076923076923,1.0,1.0,1.0,2.0,1.0,2.0,0.07692307692307687,True,27,False,1.0,27,1.0,12.0,NA,NA,p60,NA,2.0,ch3,19
OV3133-R,3133,HGS,441.97086,8.791067986712521,12.70479614793991,selected_patient_representatives,MSLN,higher,1.0,0.8461538461538461,0.9230769230769231,0.8461538461538461,0.8846153846153846,0.9615384615384616,2.0,3.0,5.0,1.0,1.0,5.0,0.15384615384615385,True,27,False,3.0,27,2.0,12.0,NA,NA,p64,P71,1.0,ch3,19
OV3331,OV3331,HGS,429.083669,8.748473540541069,13.01409137489341,selected_patient_representatives,MSLN,higher,0.9615384615384616,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.9038461538461539,0.9423076923076923,2.0,2.0,3.0,2.0,2.0,3.0,0.07692307692307698,True,27,False,2.0,27,2.0,12.0,NA,NA,p71,P54,4.0,ch3,19
TOV2414,TOV2414,MC,5.5196060000000005,2.704784780557348,10.28744409539977,selected_patient_representatives,PMS2,lower,0.9230769230769231,1.0,0.9615384615384616,0.9230769230769231,0.9807692307692308,0.9423076923076923,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307687,True,27,False,1.0,27,NA,NA,NA,NA,p69,P65,5.0,ch6,16
OV90,OV90,HGS,4.36632489724,2.423934403358666,10.49839221196672,selected_patient_representatives,PMS2,lower,0.9615384615384616,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.9038461538461539,0.9423076923076923,2.0,2.0,2.0,1.0,1.0,2.0,0.07692307692307698,True,27,False,2.0,27,1.0,12.0,NA,NA,p70,P63,5.0,ch3,16
TOV3041G,TOV3041G,HGS,6.669965,2.939219994359025,10.5924349610557,selected_patient_representatives,PMS2,lower,0.8846153846153846,0.8461538461538461,0.8653846153846154,0.8461538461538461,0.8557692307692307,0.875,3.0,3.0,4.0,4.0,3.0,4.0,0.038461538461538436,True,27,False,3.0,27,2.0,12.0,NA,NA,p67,NA,3.0,ch4,16
VOA12539,VOA12539,CC,425.436165,8.736185984470481,13.57464614219026,selected_patient_representatives,SLC34A2,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,1.0,27,NA,NA,1.0,6.0,p41,NA,2.0,ch7,13
OV4485,OV4485,HGS,352.074085,8.46382712354843,12.58177764733317,selected_patient_representatives,SLC34A2,higher,0.9615384615384616,0.8461538461538461,0.9038461538461539,0.8461538461538461,0.875,0.9326923076923077,2.0,2.0,4.0,2.0,2.0,4.0,0.11538461538461542,True,27,False,2.0,27,1.0,12.0,NA,NA,p60,NA,2.0,ch3,13
OV3133-R,3133,HGS,171.83359000000002,7.433239820569131,12.86097225242256,selected_patient_representatives,SLC34A2,higher,0.8076923076923077,0.9615384615384616,0.8846153846153846,0.8076923076923077,0.9230769230769231,0.8461538461538463,3.0,4.0,2.0,6.0,2.0,6.0,0.15384615384615385,True,27,False,2.0,27,1.0,12.0,NA,NA,p64,P71,1.0,ch3,13
OV2085,OV2085,HGS,0.1208805082,0.1646324874066616,10.96053806450502,selected_patient_representatives,SMARCA2,lower,0.9230769230769231,1.0,0.9615384615384616,0.9230769230769231,0.9807692307692308,0.9423076923076923,1.0,1.0,1.0,1.0,1.0,1.0,0.07692307692307687,True,27,False,1.0,27,1.0,12.0,NA,NA,p68,P64,2.0,ch2,18
COV434,COV434,SCCOHT,0.1080346,0.14800293235193634,11.35131306247691,selected_patient_representatives,SMARCA2,lower,0.9615384615384616,0.8461538461538461,0.9038461538461539,0.8461538461538461,0.875,0.9326923076923077,2.0,2.0,3.0,2.0,2.0,3.0,0.11538461538461542,True,27,False,2.0,27,NA,NA,NA,NA,p46,NA,1.0,ch10,18
OV90,OV90,HGS,0.4996629999999999,0.5846383388197525,11.17357825958146,selected_patient_representatives,SMARCA2,lower,0.8461538461538461,0.9615384615384616,0.9038461538461539,0.8461538461538461,0.9326923076923077,0.875,2.0,2.0,2.0,4.0,2.0,4.0,0.11538461538461542,True,27,False,2.0,27,2.0,12.0,NA,NA,p70,P63,5.0,ch3,18
VOA4841,VOA4841,CC,4.99496670433,2.583751741023755,13.30633588651286,selected_patient_representatives,SMARCA4,lower,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,False,1.0,27,NA,NA,1.0,6.0,p43,NA,3.0,ch7,42
COV434,COV434,SCCOHT,16.456862860196477,4.125722413151023,13.4202026098836,selected_patient_representatives,SMARCA4,lower,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,2.0,2.0,2.0,3.0,2.0,3.0,0.0,True,27,False,2.0,27,NA,NA,NA,NA,p46,NA,1.0,ch10,42
TOV112D,TOV112D,EC,11.90410502434607,3.689758180394257,13.57750866172423,selected_patient_representatives,SMARCA4,lower,0.9615384615384616,0.8846153846153846,0.9230769230769231,0.8846153846153846,0.9038461538461539,0.9423076923076923,2.0,3.0,3.0,2.0,2.0,3.0,0.07692307692307698,True,27,False,2.0,27,NA,NA,NA,NA,p63,P83,4.0,ch6,42
OV4485,OV4485,HGS,930.943,9.864097908461053,14.97367785261104,selected_patient_representatives,TACSTD2,higher,1.0,0.9615384615384616,0.9807692307692308,0.9615384615384616,0.9711538461538461,0.9903846153846154,1.0,1.0,2.0,1.0,1.0,2.0,0.038461538461538436,True,27,False,1.0,27,1.0,12.0,NA,NA,p60,NA,2.0,ch3,24
OV4453,OV4453,HGS,807.272,9.658697060742165,15.18369396371216,selected_patient_representatives,TACSTD2,higher,0.9230769230769231,1.0,0.9615384615384616,0.9230769230769231,0.9807692307692308,0.9423076923076923,2.0,2.0,1.0,2.0,1.0,2.0,0.07692307692307687,True,27,False,2.0,27,1.0,12.0,NA,NA,p60,NA,4.0,ch2,24
OV2295,2295,HGS,797.746,9.641592991052368,14.44543274819214,selected_patient_representatives,TACSTD2,higher,0.8846153846153846,0.9230769230769231,0.9038461538461539,0.8846153846153846,0.9134615384615384,0.8942307692307692,3.0,3.0,3.0,4.0,3.0,4.0,0.03846153846153855,True,27,False,3.0,27,3.0,12.0,NA,NA,p64,P61,5.0,ch4,24
OV3331,OV3331,HGS,99.8904800312026,6.656646238750821,12.7258953045242,selected_patient_representatives,VTCN1,higher,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,True,27,True,1.0,27,1.0,12.0,NA,NA,p71,P54,4.0,ch3,4
OV3133-R,3133,HGS,99.187487962,6.646558536807934,12.69559073404541,selected_patient_representatives,VTCN1,higher,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,0.9615384615384616,2.0,2.0,2.0,2.0,2.0,2.0,0.0,True,27,True,2.0,27,2.0,12.0,NA,NA,p64,P71,1.0,ch3,4
OV2295,2295,HGS,67.538477,6.09884222883725,12.16004594054413,selected_patient_representatives,VTCN1,higher,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,0.9230769230769231,3.0,3.0,3.0,3.0,3.0,3.0,0.0,True,27,True,2.0,27,3.0,12.0,NA,NA,p64,P61,5.0,ch4,4
