cell_line,source_vcf,source_vcf_sha256,source_vcf_hash_scope,source_maf,source_maf_sha256,vcf_maf_records,selected_candidates,source_hashes_match,row_counts_match
OV1369-R2,judy_archive/data/wes - old/mutect2/OV1369_R2/OV1369_R2_P66.mutect2.filtered_VEP.ann.vcf,6ee40ee9d92eaa1bdd81f631326dd8f82262b5a5f797c14bf81a37fe2344a012,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV1369_R2/OV1369_R2.maf,29fa5c150c287dd28263e62146c6f02ff008346e04419d2391354da825c0d88b,26332,1,True,True
OV2085,judy_archive/data/wes - old/mutect2/OV2085/OV2085_P64.mutect2.filtered_VEP.ann.vcf,f7e46fa89e31757ea4e55f6a3b72d7305b80759a5855888aebf8e45a4258f1e5,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV2085/OV2085.maf,594d06c2b0b63a8c1d28646eda842b3123944392d414868f1a39f479452866cb,25019,1,True,True
OV2295,judy_archive/data/wes - old/mutect2/OV2295/OV2295_P61.mutect2.filtered_VEP.ann.vcf,03cd3c66d5ab5d7584fa6ac4e7da6fa4c957bbf6b781780f6c871f7f6a912e41,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV2295/OV2295.maf,5271e809838e1b6395fa6ba47342ae9d90e39565adb0c8a1ecbb294f1f05694a,25914,4,True,True
OV2295-R2,judy_archive/data/wes - old/mutect2/OV2295_R2/OV2295_R2_P70.mutect2.filtered_VEP.ann.vcf,ba4ee76295f53d902e4e4e4570e1c41548ccd77cdabd648fec5fd170053b4d02,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV2295_R2/OV2295_R2.maf,a09ca0e8501363333ed7bfea05c541efda9428553da0118431818fdfca9c2426,25038,2,True,True
OV3133-R,judy_archive/data/wes - old/mutect2/OV3133_R/OV3133_R_P71.mutect2.filtered_VEP.ann.vcf,cd1d6f698d369e9b9e0eb244315ab239ca2603589494245e621dd5b55d1ad972,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV3133_R/OV3133_R.maf,265b32a90d4415edb573b01b5877bdc24f791db7711d3d9b0b74cba98e3d9b0b,22442,3,True,True
OV3133-R2,judy_archive/data/wes - old/mutect2/OV3133_R2/OV3133_R2_P58.mutect2.filtered_VEP.ann.vcf,eca0e95e6714daa3aa9c784ecc331533abf2e6227d5591717ea6599708f1821e,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV3133_R2/OV3133_R2.maf,464acdf9bfd30b66f452fcd2a31ca77cc4ef147398bb332d24775fae14fcbed6,27303,3,True,True
OV3291,judy_archive/data/wes - old/mutect2/OV3291/OV3291_P46.mutect2.filtered_VEP.ann.vcf,26e837b0ff29e60cb9e889252df170eafdd5cbe0fdce8865732afb79182bda48,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV3291/OV3291.maf,a10bad617c03b421eabdab9bd5a7e7f9065a78c1f8489354a18988b3db6087a3,25299,3,True,True
TOV1369,judy_archive/data/wes - old/mutect2/TOV1369/TOV1369_P65.mutect2.filtered_VEP.ann.vcf,743c276ef96f646a864035543d85e21d437757d980b937f501f2a737b6dbd35d,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV1369/TOV1369.maf,fbff811ec0222451be696ec6d003d08a899596cd81faa856df28fec7877544da,20960,2,True,True
TOV2295-R,judy_archive/data/wes - old/mutect2/TOV2295_R_P57/TOV2295_R_P57.mutect2.filtered_VEP.ann.vcf,9999fbf859aaa24b231b3c24af272c3b70334c4e720ddfb224bd956eebc6e632,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV2295_R_P57/TOV2295_R_P57.maf,aa2e8957f5741e504a91640621c832d917ae708b09f79dd3f08a27148b0bf6fc,27940,1,True,True
TOV2835EP,judy_archive/data/wes - old/mutect2/TOV2835EP_P64/TOV2835EP_P64.mutect2.filtered_VEP.ann.vcf,4755740b1641192bf65f7a8a2477fa462f49c5295995b8630f17c3978496a472,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV2835EP_P64/TOV2835EP_P64.maf,18f7c3a71080f931818f04c40272de43347f7c9fd4b4d3044f7a269ed3d3bc44,29323,2,True,True
TOV2881EP,judy_archive/data/wes - old/mutect2/TOV2881EP_P64/TOV2881EP_P64.mutect2.filtered_VEP.ann.vcf,a3df69bd6c525754c33383e5e0e6c1a5b52502473ae32674d5f66d81f81d3b99,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV2881EP_P64/TOV2881EP_P64.maf,09b10c1fb2bac91caaa5962cb777aca1962b5b5b5422f39ba233bed9e908ac71,23317,3,True,True
TOV2929D,judy_archive/data/wes - old/mutect2/TOV2929D_P57/TOV2929D_P57.mutect2.filtered_VEP.ann.vcf,fc4d9c9f4d8fe24f93ae344195ffd63565aef8f168eaa156e92fadc0839ea2c3,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV2929D_P57/TOV2929D_P57.maf,d99ae9eb3823364841087aa35bea3fb9b707b9d24df2f24dc0c694c0ea834641,23201,6,True,True
TOV3121D,judy_archive/data/wes - old/mutect2/TOV3121D_P68/TOV3121D_P68.mutect2.filtered_VEP.ann.vcf.gz,a6c71297b6a6af58f6b1b51aad2db6718403920f90afd173ef2c6f710154c6b7,compressed file bytes,output/recovered_maf/TOV3121D_P68.maf,e9c1d9ba271a4f26f7c54fb74ba939ab89337171eef7f03a3b049a35a872b81b,25082,1,True,True
TOV3121EP,judy_archive/data/wes - old/mutect2/TOV3121EP_P68/TOV3121EP_P68.mutect2.filtered_VEP.ann.vcf,c5317adf4effe3cc0bfcde4feab2cc1e3fbbd077114f06d689028f8a1c2867f6,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV3121EP_P68/TOV3121EP_P68.maf,7a4343b985ace84f19097f38969fc4a26c279acf510e3b68f7100fdb47dc5d67,23833,2,True,True
TOV3133D,judy_archive/data/wes - old/mutect2/TOV3133D/TOV3133D_P66.mutect2.filtered_VEP.ann.vcf,5397f0ac1ff4de19a9a0bad921adb0311da6fa2d9aca9c54c242b3e6eb9e5c8f,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV3133D/TOV3133D.maf,5df63e9187a37cd558e7e502473548a7009b43cfd87e7a93a0bc50478ab189c0,26942,4,True,True
TOV3133G,judy_archive/data/wes - old/mutect2/TOV3133G/TOV3133G_P65.mutect2.filtered_VEP.ann.vcf,60af492225c46daa095647111f1ab65ec4d14c1f0e18d72e50c83c92eb977079,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV3133G/TOV3133G.maf,0907d74076e74bd5bbd5a5151818e54e624f25afa84e3ad73b8a7f6dcc4f6421,23802,3,True,True
OV3331,judy_archive/data/wes - old/mutect2/OV3331/OV3331_P54.mutect2.filtered_VEP.ann.vcf,d426bee14957fc0ed63c9e61b0f9c9e957aed2eb1cef36bcce6975aaf95d4e52,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV3331/OV3331.maf,307278dd7abab8fc64cbe334c4981605049908dde75a903647a670b206e488f0,26204,2,True,True
OV90,judy_archive/data/wes - old/mutect2/OV90_P63/OV90_P63.mutect2.filtered_VEP.ann.vcf,0ec397cc47d0a90232713c24a5cb5f8bc7682d28635e9399f3ed451be72593a4,uncompressed file bytes,judy_archive/data/wes - old/mutect2/OV90_P63/OV90_P63.maf,3678188be8f91a70287d51e79afb48e1a66407f93d17d95daf298f881c516b89,23364,4,True,True
TOV81D,judy_archive/data/wes - old/mutect2/TOV81D_P23/TOV81D_P23.mutect2.filtered_VEP.ann.vcf,a18315003ddedcb913b2ac6f710c9eb5728cc06b462b333e3b7bac0d51131895,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV81D_P23/TOV81D_P23.maf,9cb62fee7c7467eea60991caf529c56d12f4deaeabb63414d546a175db82f88a,28980,1,True,True
TOV21G,judy_archive/data/wes - old/mutect2/TOV21G_P59/TOV21G_P59.mutect2.filtered_VEP.ann.vcf,831e6598d8ed3b31b54f043d98ade3f8231ef20d4075816ba5bf5a646bd71988,uncompressed file bytes,judy_archive/data/wes - old/mutect2/TOV21G_P59/TOV21G_P59.maf,969c18dc3779275a12ad259b31c1bb1e3e5ca3d761adf164446feabc230a218f,32953,9,True,True
