kind,returned_path,bytes,sha256,comparator_count,all_comparators_match,comparator_paths,comparator_checksum_evidence
previous_returned_command,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/command_diagram.txt,2791,b6a9aab9ccc7e59ea6108b9d67e9d20af6efd649556a1124cc89adbee1520d60,1,True,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/cnvkit_0.9.10_manual/command_diagram.txt,current file bytes
previous_returned_command,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/commands.txt,10749,3d47d39646843ea4f283e309a5faa1b79159e5d2c1c5c9fbfcf1dbfd67cf8866,1,True,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/cnvkit_0.9.10_manual/commands.txt,current file bytes
previous_returned_command,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/commands1.txt,2790,4f968d4d25bf1898cde503a13371a26b77d5d73fd31967bbbec440b22d1d3bd2,1,True,data/cluster_wes_retrieval/2026-09-05/ovcan_human_wes_handoff_2026-09-05/cnvkit_0.9.10_manual/commands1.txt,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV1369_R2_P66.antitargetcoverage.cnn,1745733,d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15,2,True,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.antitargetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV1369_R2_P66_new/OV1369_R2_P66.antitargetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV1369_R2_P66.targetcoverage.cnn,18501417,47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca,2,True,judy_archive/data/cnvkit wes - new/All samples/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV1369_R2_P66_new/OV1369_R2_P66.targetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV2085_P64.antitargetcoverage.cnn,1745730,7dd950f692215cecbc9906762ebdce68393aa0ed6c55b89f000ec9319af24bdd,2,True,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.antitargetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV2085_P64_new/OV2085_P64.antitargetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV2085_P64.targetcoverage.cnn,18502083,fd2cd05886f8bb15fda26a9cefe713f4c28772e9885ea02766be2828be01daaa,2,True,judy_archive/data/cnvkit wes - new/All samples/OV2085_P64_new/OV2085_P64.targetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV2085_P64_new/OV2085_P64.targetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV2295_P61.antitargetcoverage.cnn,1745733,5d487c7ced96e97b3a35d0360d69d39e9eeee186592bb0df4049e3b580a8f6ee,2,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.antitargetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV2295_P61_new/OV2295_P61.antitargetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV2295_P61.targetcoverage.cnn,18500031,5ecbfccfc2914eb9d135c1ceba612196489ff86999701a47e634ee7590d3acac,2,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_P61_new/OV2295_P61.targetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV2295_P61_new/OV2295_P61.targetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV2295_R2_P70.antitargetcoverage.cnn,1745733,a99db128ac72c3a33f0484c36fe0ea6793966c23a2072f3b2fa7e4cf856d2aa5,2,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.antitargetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV2295_R2_P70_new/OV2295_R2_P70.antitargetcoverage.cnn,current file bytes
archived_model_CNN,data/cluster_wes_retrieval/2026-09-06/ovcan_human_wes_cnv_coverage_2026-09-06/models/OV2295_R2_P70.targetcoverage.cnn,18501177,0eb5149e3c9d85d0f04509742fdc912c5ea67be39a88564ada64d0c930e883ca,2,True,judy_archive/data/cnvkit wes - new/All samples/OV2295_R2_P70_new/OV2295_R2_P70.targetcoverage.cnn | judy_archive/data/cnvkit wes - new/HGS/OV2295_R2_P70_new/OV2295_R2_P70.targetcoverage.cnn,current file bytes
