center_definition,center,fga_on_target_only_segments,frac_gain,frac_loss,autosomal_span_bp
archived_segment_probe_weighted_median,-0.18947446748229216,0.6715485083213747,0.504853561017001,0.16669494730437373,2652975301
target_only_segment_probe_weighted_median,-0.11787364130434794,0.8591733609961716,0.4982874211085616,0.36088593988761,2652975301
positive_target_bin_unweighted_median,-0.013716450000000002,0.9114028547829288,0.44035385009413625,0.4710490046887926,2652975301
positive_target_bin_CNR_weighted_median,-0.02015515817200833,0.9383436106855787,0.46729460599678607,0.4710490046887926,2652975301
no_additional_centering,0,0.9060690162075504,0.43305538749906364,0.4730136287084868,2652975301
