relative_path,bytes,declared_sha256,sha256,manifest_match,status
command_diagram.txt,2791,b6a9aab9ccc7e59ea6108b9d67e9d20af6efd649556a1124cc89adbee1520d60,b6a9aab9ccc7e59ea6108b9d67e9d20af6efd649556a1124cc89adbee1520d60,True,verified_payload
commands1.txt,2790,4f968d4d25bf1898cde503a13371a26b77d5d73fd31967bbbec440b22d1d3bd2,4f968d4d25bf1898cde503a13371a26b77d5d73fd31967bbbec440b22d1d3bd2,True,verified_payload
commands.txt,10749,3d47d39646843ea4f283e309a5faa1b79159e5d2c1c5c9fbfcf1dbfd67cf8866,3d47d39646843ea4f283e309a5faa1b79159e5d2c1c5c9fbfcf1dbfd67cf8866,True,verified_payload
models/OV1369_R2_P66.antitargetcoverage.cnn,1745733,d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15,d37e487792274f3230a79791653fa2fae343a1ca3acf71e6a719f8c354453b15,True,verified_payload
models/OV1369_R2_P66.targetcoverage.cnn,18501417,47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca,47b10700303c1bc3b3d836f35ff6f90068d624e285d08cd6760fba6d066da1ca,True,verified_payload
models/OV2085_P64.antitargetcoverage.cnn,1745730,7dd950f692215cecbc9906762ebdce68393aa0ed6c55b89f000ec9319af24bdd,7dd950f692215cecbc9906762ebdce68393aa0ed6c55b89f000ec9319af24bdd,True,verified_payload
models/OV2085_P64.targetcoverage.cnn,18502083,fd2cd05886f8bb15fda26a9cefe713f4c28772e9885ea02766be2828be01daaa,fd2cd05886f8bb15fda26a9cefe713f4c28772e9885ea02766be2828be01daaa,True,verified_payload
models/OV2295_P61.antitargetcoverage.cnn,1745733,5d487c7ced96e97b3a35d0360d69d39e9eeee186592bb0df4049e3b580a8f6ee,5d487c7ced96e97b3a35d0360d69d39e9eeee186592bb0df4049e3b580a8f6ee,True,verified_payload
models/OV2295_P61.targetcoverage.cnn,18500031,5ecbfccfc2914eb9d135c1ceba612196489ff86999701a47e634ee7590d3acac,5ecbfccfc2914eb9d135c1ceba612196489ff86999701a47e634ee7590d3acac,True,verified_payload
models/OV2295_R2_P70.antitargetcoverage.cnn,1745733,a99db128ac72c3a33f0484c36fe0ea6793966c23a2072f3b2fa7e4cf856d2aa5,a99db128ac72c3a33f0484c36fe0ea6793966c23a2072f3b2fa7e4cf856d2aa5,True,verified_payload
models/OV2295_R2_P70.targetcoverage.cnn,18501177,0eb5149e3c9d85d0f04509742fdc912c5ea67be39a88564ada64d0c930e883ca,0eb5149e3c9d85d0f04509742fdc912c5ea67be39a88564ada64d0c930e883ca,True,verified_payload
models/OV3133_R2_P58.antitargetcoverage.cnn,1745731,c35a2ed597e546381ff13c815daae0c25688f37e81959cf012654c7dec38f08f,c35a2ed597e546381ff13c815daae0c25688f37e81959cf012654c7dec38f08f,True,verified_payload
models/OV3133_R2_P58.targetcoverage.cnn,18502858,ac070c20cf5af208cc12041b6b6bf806177fa2bd798fb6ca420cf30e07d158bb,ac070c20cf5af208cc12041b6b6bf806177fa2bd798fb6ca420cf30e07d158bb,True,verified_payload
models/OV3133_R_P71.antitargetcoverage.cnn,1745732,20c9242cffde9f201523d65ef9f6129bdf89cf9eb2d2b827a6ff724935c668e2,20c9242cffde9f201523d65ef9f6129bdf89cf9eb2d2b827a6ff724935c668e2,True,verified_payload
models/OV3133_R_P71.targetcoverage.cnn,18502173,39b3cf80e7137f201618acce256d5602defde6e9926dc3f9f8255813580c1f16,39b3cf80e7137f201618acce256d5602defde6e9926dc3f9f8255813580c1f16,True,verified_payload
models/OV3291_P46.antitargetcoverage.cnn,1745735,fd882a1a054ae1041590012f072085f743e28546e8c8a945a01b00fee2aea58a,fd882a1a054ae1041590012f072085f743e28546e8c8a945a01b00fee2aea58a,True,verified_payload
models/OV3291_P46.targetcoverage.cnn,18502725,e2326f217cb5eef134a5a951abe7926af4b6e2a935a1d2305c393f1833986b9e,e2326f217cb5eef134a5a951abe7926af4b6e2a935a1d2305c393f1833986b9e,True,verified_payload
models/OV3331_P54.antitargetcoverage.cnn,1745730,f4065890a1315a124138b79fb2fd8d56a11f311e41456ed94c04c439c56286cc,f4065890a1315a124138b79fb2fd8d56a11f311e41456ed94c04c439c56286cc,True,verified_payload
models/OV3331_P54.targetcoverage.cnn,18501230,07822d8a3d34205b3a42cd5a8634e0247f1a6ba8a37fc6ffff6275dd84cb1bdf,07822d8a3d34205b3a42cd5a8634e0247f1a6ba8a37fc6ffff6275dd84cb1bdf,True,verified_payload
models/OV90_P63.antitargetcoverage.cnn,1745731,ec1137448e506cd47bb883a78e2db3b6eb61c9b0c14b8daaaf5975dd31da93f1,ec1137448e506cd47bb883a78e2db3b6eb61c9b0c14b8daaaf5975dd31da93f1,True,verified_payload
models/OV90_P63.targetcoverage.cnn,18502159,29100f7de5be32f5ce9451a1228f0792089437742259dbecc690cdae90172aa3,29100f7de5be32f5ce9451a1228f0792089437742259dbecc690cdae90172aa3,True,verified_payload
models/TOV112D_P83.antitargetcoverage.cnn,1745734,84a289656fbf03850ddd2a44dc184630a662f59d9f28de4a0c889a57e6f05fd1,84a289656fbf03850ddd2a44dc184630a662f59d9f28de4a0c889a57e6f05fd1,True,verified_payload
models/TOV112D_P83.targetcoverage.cnn,18502080,175d943434f76c7f05d3a197bf283aa9367b299f5348bb7c8a87265a0611447f,175d943434f76c7f05d3a197bf283aa9367b299f5348bb7c8a87265a0611447f,True,verified_payload
