ModelID,StrippedCellLineName,RRID,OncotreeSubtype,OncotreePrimaryDisease
ACH-001628,PEA1,CVCL_2682,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-001630,PEO1,CVCL_2686,Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-001632,PEO4,CVCL_2690,Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-001719,OCIC4P,CVCL_DH05,Clear Cell Ovarian Cancer,Ovarian Epithelial Tumor
ACH-001991,NZOV9,CVCL_LJ73,Endometrioid Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002038,HSKTC,CVCL_8234,"Ovarian Cancer, Other","Ovarian Cancer, Other"
ACH-002140,HEY,CVCL_0297,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002146,JHOS3,CVCL_4648,Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002149,KGN,CVCL_0375,Granulosa Cell Tumor,Sex Cord Stromal Tumor
ACH-002181,OVCA420,CVCL_3935,Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002182,OVCA433,CVCL_0475,Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002183,OVMIU,CVCL_3112,High-Grade Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002486,MESOV,CVCL_CZ92,Serous Ovarian Cancer,Ovarian Epithelial Tumor
ACH-002524,SNU251,CVCL_5040,Endometrioid Ovarian Cancer,Ovarian Epithelial Tumor
